"Program","Year","University","Grades","Percent"
"AGR","2016","ALG",">=95",0
"AGR","2016","ALG","90-94",0
"AGR","2016","ALG","85-89",0
"AGR","2016","ALG","80-84",0
"AGR","2016","ALG","75-79",0
"AGR","2016","ALG","70-74",0
"AGR","2016","ALG","<70",0
"AGR","2016","ALG","Avg",0
"AGR","2016","BRO",">=95",0
"AGR","2016","BRO","90-94",0
"AGR","2016","BRO","85-89",0
"AGR","2016","BRO","80-84",0
"AGR","2016","BRO","75-79",0
"AGR","2016","BRO","70-74",0
"AGR","2016","BRO","<70",0
"AGR","2016","BRO","Avg",0
"AGR","2016","CAR",">=95",0
"AGR","2016","CAR","90-94",0
"AGR","2016","CAR","85-89",0
"AGR","2016","CAR","80-84",0
"AGR","2016","CAR","75-79",0
"AGR","2016","CAR","70-74",0
"AGR","2016","CAR","<70",0
"AGR","2016","CAR","Avg",0
"AGR","2016","GUE",">=95",0
"AGR","2016","GUE","90-94",0
"AGR","2016","GUE","85-89",0
"AGR","2016","GUE","80-84",0
"AGR","2016","GUE","75-79",0
"AGR","2016","GUE","70-74",0
"AGR","2016","GUE","<70",0
"AGR","2016","GUE","Avg",0
"AGR","2016","LAK",">=95",0
"AGR","2016","LAK","90-94",0
"AGR","2016","LAK","85-89",0
"AGR","2016","LAK","80-84",0
"AGR","2016","LAK","75-79",0
"AGR","2016","LAK","70-74",0
"AGR","2016","LAK","<70",0
"AGR","2016","LAK","Avg",0
"AGR","2016","LAU",">=95",0
"AGR","2016","LAU","90-94",0
"AGR","2016","LAU","85-89",0
"AGR","2016","LAU","80-84",0
"AGR","2016","LAU","75-79",0
"AGR","2016","LAU","70-74",0
"AGR","2016","LAU","<70",0
"AGR","2016","LAU","Avg",0
"AGR","2016","MCM",">=95",0
"AGR","2016","MCM","90-94",0
"AGR","2016","MCM","85-89",0
"AGR","2016","MCM","80-84",0
"AGR","2016","MCM","75-79",0
"AGR","2016","MCM","70-74",0
"AGR","2016","MCM","<70",0
"AGR","2016","MCM","Avg",0
"AGR","2016","NIP",">=95",0
"AGR","2016","NIP","90-94",0
"AGR","2016","NIP","85-89",0
"AGR","2016","NIP","80-84",0
"AGR","2016","NIP","75-79",0
"AGR","2016","NIP","70-74",0
"AGR","2016","NIP","<70",0
"AGR","2016","NIP","Avg",0
"AGR","2016","OCA",">=95",0
