"School","Year","Confirmed","Choice","Count"
"ALG","08-09","N",1,0
"ALG","08-09","N",2,0
"ALG","08-09","N",3,0
"ALG","08-09","N",4,0
"ALG","09-10","N",1,0
"ALG","09-10","N",2,0
"ALG","09-10","N",3,0
"ALG","09-10","N",4,0
"ALG","10-11","N",1,388
"ALG","10-11","N",2,185
"ALG","10-11","N",3,198
"ALG","10-11","N",4,308
"ALG","11-12","N",1,382
"ALG","11-12","N",2,238
"ALG","11-12","N",3,255
"ALG","11-12","N",4,402
"ALG","12-13","N",1,410
"ALG","12-13","N",2,283
"ALG","12-13","N",3,262
"ALG","12-13","N",4,448
"ALG","13-14","N",1,398
"ALG","13-14","N",2,292
"ALG","13-14","N",3,261
"ALG","13-14","N",4,403
"ALG","14-15","N",1,386
"ALG","14-15","N",2,260
"ALG","14-15","N",3,266
"ALG","14-15","N",4,445
"ALG","15-16","N",1,295
"ALG","15-16","N",2,209
"ALG","15-16","N",3,215
"ALG","15-16","N",4,341
"ALG","16-17","N",1,263
"ALG","16-17","N",2,196
"ALG","16-17","N",3,191
"ALG","16-17","N",4,340
"BRO","07-08","N",1,4614
"BRO","07-08","N",2,4399
"BRO","07-08","N",3,4659
"BRO","07-08","N",4,6900
"BRO","08-09","N",1,4831
"BRO","08-09","N",2,4416
"BRO","08-09","N",3,4676
"BRO","08-09","N",4,7291
"BRO","09-10","N",1,4647
"BRO","09-10","N",2,4430
"BRO","09-10","N",3,4639
"BRO","09-10","N",4,6743
"BRO","10-11","N",1,4497
"BRO","10-11","N",2,4299
"BRO","10-11","N",3,4357
"BRO","10-11","N",4,6577
"BRO","11-12","N",1,4478
"BRO","11-12","N",2,4411
"BRO","11-12","N",3,4436
"BRO","11-12","N",4,6294
"BRO","12-13","N",1,4550
"BRO","12-13","N",2,4410
"BRO","12-13","N",3,4599
"BRO","12-13","N",4,6644
"BRO","13-14","N",1,4531
"BRO","13-14","N",2,4550
"BRO","13-14","N",3,4508
"BRO","13-14","N",4,7060
"BRO","14-15","N",1,4522
"BRO","14-15","N",2,4232
"BRO","14-15","N",3,4218
"BRO","14-15","N",4,7211
"BRO","15-16","N",1,3987
"BRO","15-16","N",2,3886
"BRO","15-16","N",3,4027
"BRO","15-16","N",4,6914
"BRO","16-17","N",1,3922
"BRO","16-17","N",2,3976
"BRO","16-17","N",3,3847
"BRO","16-17","N",4,7438
"CAR","07-08","N",1,6962
"CAR","07-08","N",2,6317
"CAR","07-08","N",3,5697
"CAR","07-08","N",4,7246
"CAR","08-09","N",1,7153
"CAR","08-09","N",2,6775
"CAR","08-09","N",3,5891
