"School","Year","Metric","Value","Headcount"
"ALG","12-13","Age","0 - 17","360"
"ALG","13-14","Age","0 - 17","362"
"ALG","14-15","Age","0 - 17","309"
"ALG","15-16","Age","0 - 17","359"
"ALG","12-13","Age","18 - 19","5061"
"ALG","13-14","Age","18 - 19","5350"
"ALG","14-15","Age","18 - 19","5329"
"ALG","15-16","Age","18 - 19","5196"
"ALG","12-13","Age","20 - 24","7149"
"ALG","13-14","Age","20 - 24","7346"
"ALG","14-15","Age","20 - 24","7442"
"ALG","15-16","Age","20 - 24","7787"
"ALG","12-13","Age","25 - 29","1919"
"ALG","13-14","Age","25 - 29","2064"
"ALG","14-15","Age","25 - 29","2153"
"ALG","15-16","Age","25 - 29","2282"
"ALG","12-13","Age","30 - 34","630"
"ALG","13-14","Age","30 - 34","716"
"ALG","14-15","Age","30 - 34","742"
"ALG","15-16","Age","30 - 34","742"
"ALG","12-13","Age","35 - 39","379"
"ALG","13-14","Age","35 - 39","398"
"ALG","14-15","Age","35 - 39","435"
"ALG","15-16","Age","35 - 39","406"
"ALG","12-13","Age","40 - 44","248"
"ALG","13-14","Age","40 - 44","272"
"ALG","14-15","Age","40 - 44","286"
"ALG","15-16","Age","40 - 44","309"
"ALG","12-13","Age","45 - 49","167"
"ALG","13-14","Age","45 - 49","186"
"ALG","14-15","Age","45 - 49","182"
"ALG","15-16","Age","45 - 49","200"
"ALG","12-13","Age","50 - 54","90"
"ALG","13-14","Age","50 - 54","95"
"ALG","14-15","Age","50 - 54","98"
"ALG","15-16","Age","50 - 54","88"
"ALG","12-13","Age","55 - 59","52"
"ALG","13-14","Age","55 - 59","41"
"ALG","14-15","Age","55 - 59","33"
"ALG","15-16","Age","55 - 59","50"
"ALG","12-13","Age","60+","13"
"ALG","13-14","Age","60+","14"
"ALG","14-15","Age","60+","16"
"ALG","15-16","Age","60+","16"
"BOR","12-13","Age","0 - 17","48"
"BOR","13-14","Age","0 - 17","50"
"BOR","14-15","Age","0 - 17","51"
"BOR","15-16","Age","0 - 17","50"
"BOR","12-13","Age","18 - 19","667"
"BOR","13-14","Age","18 - 19","600"
"BOR","14-15","Age","18 - 19","589"
"BOR","15-16","Age","18 - 19","559"
"BOR","12-13","Age","20 - 24","510"
"BOR","13-14","Age","20 - 24","499"
"BOR","14-15","Age","20 - 24","500"
"BOR","15-16","Age","20 - 24","506"
"BOR","12-13","Age","25 - 29","113"
"BOR","13-14","Age","25 - 29","122"
"BOR","14-15","Age","25 - 29","105"
"BOR","15-16","Age","25 - 29","98"
"BOR","12-13","Age","30 - 34","70"
"BOR","13-14","Age","30 - 34","76"
"BOR","14-15","Age","30 - 34","74"
"BOR","15-16","Age","30 - 34","53"
"BOR","12-13","Age","35 - 39","56"
"BOR","13-14","Age","35 - 39","64"
"BOR","14-15","Age","35 - 39","59"
"BOR","15-16","Age","35 - 39","59"
"BOR","12-13","Age","40 - 44","46"
"BOR","13-14","Age","40 - 44","53"
"BOR","14-15","Age","40 - 44","50"
"BOR","15-16","Age","40 - 44","55"
"BOR","12-13","Age","45 - 49","31"
"BOR","13-14","Age","45 - 49","46"
"BOR","14-15","Age","45 - 49","37"
"BOR","15-16","Age","45 - 49","43"
"BOR","12-13","Age","50 - 54","13"
"BOR","13-14","Age","50 - 54","9"
"BOR","14-15","Age","50 - 54","16"
"BOR","15-16","Age","50 - 54","24"
"CAM","12-13","Age","0 - 17","75"
"CAM","13-14","Age","0 - 17","65"
"CAM","14-15","Age","0 - 17","84"
"CAM","15-16","Age","0 - 17","83"
"CAM","12-13","Age","18 - 19","1298"
"CAM","13-14","Age","18 - 19","1428"
"CAM","14-15","Age","18 - 19","1499"
"CAM","15-16","Age","18 - 19","1570"
"CAM","12-13","Age","20 - 24","2233"
"CAM","13-14","Age","20 - 24","2508"
"CAM","14-15","Age","20 - 24","2473"
"CAM","15-16","Age","20 - 24","2859"
"CAM","12-13","Age","25 - 29","613"
"CAM","13-14","Age","25 - 29","571"
"CAM","14-15","Age","25 - 29","555"
"CAM","15-16","Age","25 - 29","647"
"CAM","12-13","Age","30 - 34","197"
"CAM","13-14","Age","30 - 34","231"
"CAM","14-15","Age","30 - 34","230"
"CAM","15-16","Age","30 - 34","205"
"CAM","12-13","Age","35 - 39","99"
"CAM","13-14","Age","35 - 39","101"
"CAM","14-15","Age","35 - 39","105"
"CAM","15-16","Age","35 - 39","97"
"CAM","12-13","Age","40 - 44","74"
"CAM","13-14","Age","40 - 44","56"
"CAM","14-15","Age","40 - 44","78"
"CAM","15-16","Age","40 - 44","48"
"CAM","12-13","Age","45 - 49","40"
"CAM","13-14","Age","45 - 49","39"
"CAM","14-15","Age","45 - 49","30"
"CAM","15-16","Age","45 - 49","26"
"CAM","12-13","Age","50 - 54","22"
"CAM","13-14","Age","50 - 54","24"
"CAM","14-15","Age","50 - 54","25"
"CAM","15-16","Age","50 - 54","22"
"CAN","12-13","Age","0 - 17","46"
"CAN","13-14","Age","0 - 17","67"
"CAN","14-15","Age","0 - 17","44"
"CAN","15-16","Age","0 - 17","58"
"CAN","12-13","Age","18 - 19","767"
"CAN","13-14","Age","18 - 19","793"
"CAN","14-15","Age","18 - 19","795"
"CAN","15-16","Age","18 - 19","736"
"CAN","12-13","Age","20 - 24","1149"
"CAN","13-14","Age","20 - 24","1120"
"CAN","14-15","Age","20 - 24","1218"
"CAN","15-16","Age","20 - 24","1263"
"CAN","12-13","Age","25 - 29","250"
"CAN","13-14","Age","25 - 29","272"
"CAN","14-15","Age","25 - 29","273"
"CAN","15-16","Age","25 - 29","343"
"CAN","12-13","Age","30 - 34","130"
"CAN","13-14","Age","30 - 34","134"
"CAN","14-15","Age","30 - 34","126"
"CAN","15-16","Age","30 - 34","124"
"CAN","12-13","Age","35 - 39","71"
"CAN","13-14","Age","35 - 39","76"
"CAN","14-15","Age","35 - 39","81"
"CAN","15-16","Age","35 - 39","85"
"CAN","12-13","Age","40 - 44","64"
"CAN","13-14","Age","40 - 44","68"
"CAN","14-15","Age","40 - 44","55"
"CAN","15-16","Age","40 - 44","54"
"CAN","12-13","Age","45 - 49","42"
"CAN","13-14","Age","45 - 49","42"
"CAN","14-15","Age","45 - 49","43"
"CAN","15-16","Age","45 - 49","42"
"CAN","12-13","Age","50 - 54","23"
"CAN","13-14","Age","50 - 54","18"
"CAN","14-15","Age","50 - 54","17"
"CAN","15-16","Age","50 - 54","17"
"CAN","12-13","Age","55 - 59",
"CAN","13-14","Age","55 - 59","12"
"CAN","14-15","Age","55 - 59",
"CAN","15-16","Age","55 - 59","11"
"CEN","12-13","Age","0 - 17","180"
"CEN","13-14","Age","0 - 17","204"
"CEN","14-15","Age","0 - 17","169"
"CEN","15-16","Age","0 - 17","203"
"CEN","12-13","Age","18 - 19","2575"
"CEN","13-14","Age","18 - 19","2861"
"CEN","14-15","Age","18 - 19","3030"
"CEN","15-16","Age","18 - 19","3246"
"CEN","12-13","Age","20 - 24","6103"
"CEN","13-14","Age","20 - 24","6249"
"CEN","14-15","Age","20 - 24","6504"
"CEN","15-16","Age","20 - 24","6732"
"CEN","12-13","Age","25 - 29","2139"
"CEN","13-14","Age","25 - 29","2261"
"CEN","14-15","Age","25 - 29","2379"
"CEN","15-16","Age","25 - 29","2567"
"CEN","12-13","Age","30 - 34","789"
"CEN","13-14","Age","30 - 34","883"
"CEN","14-15","Age","30 - 34","859"
"CEN","15-16","Age","30 - 34","955"
"CEN","12-13","Age","35 - 39","518"
"CEN","13-14","Age","35 - 39","538"
"CEN","14-15","Age","35 - 39","554"
"CEN","15-16","Age","35 - 39","547"
"CEN","12-13","Age","40 - 44","483"
"CEN","13-14","Age","40 - 44","413"
"CEN","14-15","Age","40 - 44","398"
"CEN","15-16","Age","40 - 44","347"
"CEN","12-13","Age","45 - 49","306"
"CEN","13-14","Age","45 - 49","272"
"CEN","14-15","Age","45 - 49","240"
"CEN","15-16","Age","45 - 49","218"
"CEN","12-13","Age","50 - 54","144"
"CEN","13-14","Age","50 - 54","109"
"CEN","14-15","Age","50 - 54","100"
"CEN","15-16","Age","50 - 54","99"
"CEN","12-13","Age","55 - 59","65"
"CEN","13-14","Age","55 - 59","55"
"CEN","14-15","Age","55 - 59","45"
"CEN","15-16","Age","55 - 59","31"
"CEN","12-13","Age","60+","14"
"CEN","13-14","Age","60+","14"
"CEN","14-15","Age","60+","15"
"CEN","15-16","Age","60+",
"CFD","12-13","Age","0 - 17","57"
"CFD","13-14","Age","0 - 17","58"
"CFD","14-15","Age","0 - 17","72"
"CFD","15-16","Age","0 - 17","77"
"CFD","12-13","Age","18 - 19","929"
"CFD","13-14","Age","18 - 19","963"
"CFD","14-15","Age","18 - 19","1000"
"CFD","15-16","Age","18 - 19","977"
"CFD","12-13","Age","20 - 24","1312"
"CFD","13-14","Age","20 - 24","1333"
"CFD","14-15","Age","20 - 24","1386"
"CFD","15-16","Age","20 - 24","1402"
"CFD","12-13","Age","25 - 29","459"
"CFD","13-14","Age","25 - 29","446"
"CFD","14-15","Age","25 - 29","459"
"CFD","15-16","Age","25 - 29","460"
"CFD","12-13","Age","30 - 34","190"
"CFD","13-14","Age","30 - 34","194"
"CFD","14-15","Age","30 - 34","196"
"CFD","15-16","Age","30 - 34","208"
"CFD","12-13","Age","35 - 39","117"
"CFD","13-14","Age","35 - 39","121"
"CFD","14-15","Age","35 - 39","115"
"CFD","15-16","Age","35 - 39","101"
"CFD","12-13","Age","40 - 44","65"
"CFD","13-14","Age","40 - 44","53"
"CFD","14-15","Age","40 - 44","68"
"CFD","15-16","Age","40 - 44","81"
"CFD","12-13","Age","45 - 49","46"
"CFD","13-14","Age","45 - 49","36"
"CFD","14-15","Age","45 - 49","51"
"CFD","15-16","Age","45 - 49","50"
"CFD","12-13","Age","50 - 54","38"
"CFD","13-14","Age","50 - 54","23"
"CFD","14-15","Age","50 - 54","23"
"CFD","15-16","Age","50 - 54","31"
"CFD","12-13","Age","55 - 59",
"CFD","13-14","Age","55 - 59","15"
"CFD","14-15","Age","55 - 59",
"CFD","15-16","Age","55 - 59",
"CST","12-13","Age","0 - 17","121"
"CST","13-14","Age","0 - 17","145"
"CST","14-15","Age","0 - 17","148"
"CST","15-16","Age","0 - 17","174"
"CST","12-13","Age","18 - 19","2956"
"CST","13-14","Age","18 - 19","2943"
"CST","14-15","Age","18 - 19","3086"
"CST","15-16","Age","18 - 19","3243"
"CST","12-13","Age","20 - 24","5022"
"CST","13-14","Age","20 - 24","5160"
"CST","14-15","Age","20 - 24","5209"
"CST","15-16","Age","20 - 24","5415"
"CST","12-13","Age","25 - 29","1220"
"CST","13-14","Age","25 - 29","1340"
"CST","14-15","Age","25 - 29","1367"
"CST","15-16","Age","25 - 29","1403"
"CST","12-13","Age","30 - 34","454"
"CST","13-14","Age","30 - 34","485"
"CST","14-15","Age","30 - 34","499"
"CST","15-16","Age","30 - 34","502"
"CST","12-13","Age","35 - 39","270"
"CST","13-14","Age","35 - 39","276"
"CST","14-15","Age","35 - 39","267"
"CST","15-16","Age","35 - 39","306"
"CST","12-13","Age","40 - 44","189"
"CST","13-14","Age","40 - 44","195"
"CST","14-15","Age","40 - 44","214"
"CST","15-16","Age","40 - 44","221"
"CST","12-13","Age","45 - 49","118"
"CST","13-14","Age","45 - 49","147"
"CST","14-15","Age","45 - 49","116"
"CST","15-16","Age","45 - 49","132"
"CST","12-13","Age","50 - 54","81"
"CST","13-14","Age","50 - 54","83"
"CST","14-15","Age","50 - 54","71"
"CST","15-16","Age","50 - 54","62"
"CST","12-13","Age","55 - 59","22"
"CST","13-14","Age","55 - 59","23"
"CST","14-15","Age","55 - 59","22"
"CST","15-16","Age","55 - 59","24"
"DUR","12-13","Age","0 - 17","196"
"DUR","13-14","Age","0 - 17","212"
"DUR","14-15","Age","0 - 17","231"
"DUR","15-16","Age","0 - 17","205"
"DUR","12-13","Age","18 - 19","2887"
"DUR","13-14","Age","18 - 19","3271"
"DUR","14-15","Age","18 - 19","3353"
"DUR","15-16","Age","18 - 19","3430"
"DUR","12-13","Age","20 - 24","4290"
"DUR","13-14","Age","20 - 24","4521"
"DUR","14-15","Age","20 - 24","4662"
"DUR","15-16","Age","20 - 24","4612"
"DUR","12-13","Age","25 - 29","806"
"DUR","13-14","Age","25 - 29","966"
"DUR","14-15","Age","25 - 29","968"
"DUR","15-16","Age","25 - 29","1013"
"DUR","12-13","Age","30 - 34","241"
"DUR","13-14","Age","30 - 34","270"
"DUR","14-15","Age","30 - 34","281"
"DUR","15-16","Age","30 - 34","322"
"DUR","12-13","Age","35 - 39","151"
"DUR","13-14","Age","35 - 39","148"
"DUR","14-15","Age","35 - 39","151"
"DUR","15-16","Age","35 - 39","193"
"DUR","12-13","Age","40 - 44","114"
"DUR","13-14","Age","40 - 44","111"
"DUR","14-15","Age","40 - 44","115"
"DUR","15-16","Age","40 - 44","98"
"DUR","12-13","Age","45 - 49","69"
"DUR","13-14","Age","45 - 49","78"
"DUR","14-15","Age","45 - 49","62"
"DUR","15-16","Age","45 - 49","74"
"DUR","12-13","Age","50 - 54","50"
"DUR","13-14","Age","50 - 54","41"
"DUR","14-15","Age","50 - 54","40"
"DUR","15-16","Age","50 - 54","31"
"DUR","12-13","Age","55 - 59","15"
"DUR","13-14","Age","55 - 59","18"
"DUR","14-15","Age","55 - 59","20"
"DUR","15-16","Age","55 - 59","22"
"FAN","12-13","Age","0 - 17","218"
"FAN","13-14","Age","0 - 17","199"
"FAN","14-15","Age","0 - 17","228"
"FAN","15-16","Age","0 - 17","212"
"FAN","12-13","Age","18 - 19","4628"
"FAN","13-14","Age","18 - 19","4628"
"FAN","14-15","Age","18 - 19","4679"
"FAN","15-16","Age","18 - 19","4687"
"FAN","12-13","Age","20 - 24","6871"
"FAN","13-14","Age","20 - 24","7143"
"FAN","14-15","Age","20 - 24","6922"
"FAN","15-16","Age","20 - 24","6879"
"FAN","12-13","Age","25 - 29","1376"
"FAN","13-14","Age","25 - 29","1550"
"FAN","14-15","Age","25 - 29","1510"
"FAN","15-16","Age","25 - 29","1675"
"FAN","12-13","Age","30 - 34","469"
"FAN","13-14","Age","30 - 34","474"
"FAN","14-15","Age","30 - 34","500"
"FAN","15-16","Age","30 - 34","533"
"FAN","12-13","Age","35 - 39","244"
"FAN","13-14","Age","35 - 39","253"
"FAN","14-15","Age","35 - 39","254"
"FAN","15-16","Age","35 - 39","293"
"FAN","12-13","Age","40 - 44","209"
"FAN","13-14","Age","40 - 44","190"
"FAN","14-15","Age","40 - 44","190"
"FAN","15-16","Age","40 - 44","189"
"FAN","12-13","Age","45 - 49","125"
"FAN","13-14","Age","45 - 49","125"
"FAN","14-15","Age","45 - 49","104"
"FAN","15-16","Age","45 - 49","131"
"FAN","12-13","Age","50 - 54","66"
"FAN","13-14","Age","50 - 54","67"
"FAN","14-15","Age","50 - 54","58"
"FAN","15-16","Age","50 - 54","55"
"FAN","12-13","Age","55 - 59","18"
"FAN","13-14","Age","55 - 59","18"
"FAN","14-15","Age","55 - 59","22"
"FAN","15-16","Age","55 - 59","24"
"GEO","12-13","Age","0 - 17","187"
"GEO","13-14","Age","0 - 17","190"
"GEO","14-15","Age","0 - 17","171"
"GEO","15-16","Age","0 - 17","195"
"GEO","12-13","Age","18 - 19","2999"
"GEO","13-14","Age","18 - 19","3271"
"GEO","14-15","Age","18 - 19","3291"
"GEO","15-16","Age","18 - 19","3206"
"GEO","12-13","Age","20 - 24","4506"
"GEO","13-14","Age","20 - 24","4591"
"GEO","14-15","Age","20 - 24","4573"
"GEO","15-16","Age","20 - 24","4372"
"GEO","12-13","Age","25 - 29","1004"
"GEO","13-14","Age","25 - 29","1037"
"GEO","14-15","Age","25 - 29","1119"
"GEO","15-16","Age","25 - 29","1155"
"GEO","12-13","Age","30 - 34","350"
"GEO","13-14","Age","30 - 34","373"
"GEO","14-15","Age","30 - 34","405"
"GEO","15-16","Age","30 - 34","445"
"GEO","12-13","Age","35 - 39","221"
"GEO","13-14","Age","35 - 39","240"
"GEO","14-15","Age","35 - 39","191"
"GEO","15-16","Age","35 - 39","214"
"GEO","12-13","Age","40 - 44","170"
"GEO","13-14","Age","40 - 44","164"
"GEO","14-15","Age","40 - 44","171"
"GEO","15-16","Age","40 - 44","167"
