"Year","Status","TradeCode","TradeType","Gender","Age-Mean","Age-SD","N-Ongoing","N-Completed","N-Discontinued","N-NA","Duration-Mean","Reg-Date-Mean"
2011,"AR","200G","V","F",42.00195695,6.472815336,6,0,1,0,9.016438356,"2002-12-27"
2011,"AR","200G","V","M",39.45227006,9.518639674,128,7,5,0,9.941976517,"2002-01-23"
2011,"AR","207S","V","M",35.01369863,5.414855157,9,1,0,0,3.405479452,"2008-08-05"
2011,"AR","211W","V","M",28.32739726,3.182052669,6,0,0,0,6.256164384,"2005-09-29"
2011,"AR","225A","V","M",26.83013699,3.877524696,9,1,0,0,2.713972603,"2009-04-14"
2011,"AR","237S","V","M",34.41590809,8.98779581,60,1,1,0,5.953733981,"2006-01-17"
2011,"AR","237T","V","M",33.70164384,8.641417392,40,0,0,0,4.967876712,"2007-01-12"
2011,"AR","240P","V","F",34.38272295,11.27922567,45,3,1,0,4.447190383,"2007-07-21"
2011,"AR","240P","V","M",34.55178694,12.58285639,158,14,7,0,5.092278258,"2006-11-28"
2011,"AR","241A","V","M",32.53212875,7.344340533,151,9,3,0,4.698142701,"2007-04-21"
2011,"AR","244G","V","M",34.6207932,9.457140667,222,0,7,0,6.247041933,"2005-10-02"
2011,"AR","244H","V","M",42.22988792,12.05937581,11,0,0,0,11.63188045,"2000-05-16"
2011,"AR","244K","V","M",47.39005047,12.14281698,18,0,1,0,14.46142754,"1997-07-18"
2011,"AR","245R","V","M",28.22044647,8.849855977,96,7,5,0,3.975697615,"2008-01-09"
2011,"AR","246F","V","F",37.58943249,13.10452013,6,1,0,0,2.813307241,"2009-03-09"
2011,"AR","246F","V","M",37.49351689,10.17207287,162,39,1,0,4.484226231,"2007-07-08"
2011,"AR","246R","V","F",30.5519827,7.824751252,30,8,0,0,2.521557318,"2009-06-23"
2011,"AR","246R","V","M",34.01735468,10.7485696,230,66,0,0,2.287699,"2009-09-16"
2011,"AR","246T","V","F",43.22305149,10.09965415,29,0,0,0,2.285781767,"2009-09-17"
2011,"AR","246T","V","M",43.59749344,8.324349551,47,0,0,0,3.111104634,"2008-11-20"
2011,"AR","253A","V","M",32.8283738,8.403161231,346,57,1,0,3.48996338,"2008-07-05"
2011,"AR","253H","V","M",39.09204314,13.36715021,40,6,1,0,1.277295249,"2010-09-20"
2011,"AR","255B","V","F",43.35890411,11.97567285,5,0,1,0,4.369863014,"2007-08-19"
2011,"AR","255B","V","M",41.40285388,11.60142694,88,4,4,0,8.175456621,"2003-10-29"
2011,"AR","255W","V","F",45.50776256,10.17223647,15,0,0,0,10.44310502,"2001-07-24"
2011,"AR","255W","V","M",45.44324853,12.4266,146,2,6,0,11.05577299,"2000-12-12"
2011,"AR","259L","V","M",33.41924331,11.20329702,38,4,0,0,4.50332681,"2007-07-01"
2011,"AR","268A","V","M",49.93816047,8.422085618,14,0,0,0,7.153816047,"2004-11-05"
