"Year","AgeGroup","Occupation","Employment","Sex","Count"
2001,"15-24","AS","LF","M",8.2
2001,"15-24","AS","FT","M",6.6
2001,"15-24","CA","LF","M",4.1
2001,"15-24","CA","FT","M",2.8
2001,"15-24","EL","LF","M",5.6
2001,"15-24","EL","FT","M",5.1
2001,"15-24","EI","LF","M",10.2
2001,"15-24","EI","LF","F",1.9
2001,"15-24","EI","FT","M",7.2
2001,"15-24","EI","FT","F",1.6
2001,"15-24","EI","UN","M",1.7
2001,"15-24","EI","UR","M",16.7
2001,"15-24","EF","LF","M",2.6
2001,"15-24","EF","FT","M",2
2001,"15-24","FS","LF","M",26.8
2001,"15-24","FS","LF","F",13
2001,"15-24","FS","FT","M",11.1
2001,"15-24","FS","FT","F",4.3
2001,"15-24","FS","PT","M",13.4
2001,"15-24","FS","PT","F",7.7
2001,"15-24","FS","UN","M",2.3
2001,"15-24","FS","UR","M",8.6
2001,"15-24","HE","LF","F",6.8
2001,"15-24","HE","FT","F",5.1
2001,"15-24","HE","PT","F",1.6
2001,"15-24","TH","LF","M",3.8
2001,"15-24","TH","FT","M",3.4
2001,"15-24","HE","LF","M",1.5
2001,"15-24","IF","LF","M",5.7
2001,"15-24","IF","FT","M",4.4
2001,"15-24","LH","LF","M",8.7
2001,"15-24","LH","FT","M",4.7
2001,"15-24","LH","PT","M",1.9
2001,"15-24","LH","UN","M",2.1
2001,"15-24","LH","UR","M",24.1
2001,"15-24","MA","LF","M",4.9
2001,"15-24","MA","FT","M",4.5
2001,"15-24","PP","LF","M",4.8
2001,"15-24","PP","FT","M",4
2001,"15-24","LH","LF","M",5
2001,"15-24","LH","FT","M",4.2
2001,"15-24","PP","LF","M",2.3
2001,"15-24","PP","FT","M",2.2
2001,"15-24","TH","LF","M",43.4
2001,"15-24","TH","LF","F",5.4
2001,"15-24","TH","FT","M",25.3
2001,"15-24","TH","FT","F",2.4
2001,"15-24","TH","PT","M",12
2001,"15-24","TH","PT","F",2.5
2001,"15-24","TH","UN","M",6
2001,"15-24","TH","UR","M",13.8
2001,"15-24","WE","LF","M",4.7
2001,"15-24","WE","FT","M",4
2001,"15-24","OG","LF","M",9.6
2001,"15-24","OG","LF","F",3.3
2001,"15-24","OG","FT","M",7.4
2001,"15-24","OG","FT","F",2.7
2001,"15-24","TH","LF","M",375.2
2001,"15-24","TH","LF","F",464.4
2001,"15-24","TH","FT","M",167.6
2001,"15-24","TH","FT","F",186.2
2001,"15-24","TH","PT","M",151.5
2001,"15-24","TH","PT","F",226.6
2001,"15-24","TH","UN","M",56.1
2001,"15-24","TH","UN","F",51.6
2001,"15-24","TH","UR","M",15
2001,"15-24","TH","UR","F",11.1
2001,"25-34","AS","LF","M",17.1
2001,"25-34","AS","FT","M",16.5
2001,"25-34","CA","LF","M",9.2
2001,"25-34","CA","FT","M",8.2
2001,"25-34","EL","LF","M",11.5
2001,"25-34","EL","FT","M",10.3
2001,"25-34","EI","LF","M",21.1
2001,"25-34","EI","LF","F",5
2001,"25-34","EI","FT","M",19.6
2001,"25-34","EI","FT","F",4.7
2001,"25-34","EF","LF","M",6.2
2001,"25-34","EF","FT","M",4.9
2001,"25-34","FS","LF","M",14.1
2001,"25-34","FS","LF","F",6.6
2001,"25-34","FS","FT","M",12.3
2001,"25-34","FS","FT","F",4.6
2001,"25-34","FS","PT","F",1.6
2001,"25-34","HE","LF","F",11.2
2001,"25-34","HE","FT","F",7.8
2001,"25-34","HE","PT","F",3
2001,"25-34","TH","LF","M",17.6
2001,"25-34","TH","FT","M",16.4
2001,"25-34","HE","LF","M",5.7
2001,"25-34","HE","FT","M",5.1
2001,"25-34","IF","LF","M",9.2
2001,"25-34","IF","FT","M",8.1
2001,"25-34","LH","LF","M",4.3
2001,"25-34","LH","FT","M",3.7
2001,"25-34","MA","LF","M",14.3
2001,"25-34","MA","FT","M",13.4
2001,"25-34","PP","LF","M",10.8
2001,"25-34","PP","LF","F",2.9
2001,"25-34","PP","FT","M",9.6
2001,"25-34","PP","FT","F",2.6
2001,"25-34","LH","LF","M",13.2
2001,"25-34","LH","FT","M",12.6
2001,"25-34","PP","LF","M",5.8
2001,"25-34","PP","FT","M",5.5
2001,"25-34","TH","LF","M",35.5
2001,"25-34","TH","LF","F",3.7
2001,"25-34","TH","FT","M",30.1
2001,"25-34","TH","FT","F",2.9
2001,"25-34","TH","PT","M",2.5
2001,"25-34","TH","UN","M",2.9
2001,"25-34","TH","UR","M",8.2
2001,"25-34","WE","LF","M",8.3
2001,"25-34","WE","FT","M",7.6
2001,"25-34","OG","LF","M",27.7
2001,"25-34","OG","LF","F",9.6
2001,"25-34","OG","FT","M",26
2001,"25-34","OG","FT","F",8.9
2001,"25-34","TH","LF","M",549.2
2001,"25-34","TH","LF","F",643.2
2001,"25-34","TH","FT","M",488.8
2001,"25-34","TH","FT","F",497
2001,"25-34","TH","PT","M",27.1
2001,"25-34","TH","PT","F",108
2001,"25-34","TH","UN","M",33.3
2001,"25-34","TH","UN","F",38.3
2001,"25-34","TH","UR","M",6.1
2001,"25-34","TH","UR","F",6
2001,"35-44","AS","LF","M",19.8
2001,"35-44","AS","FT","M",18.8
2001,"35-44","CA","LF","M",11.1
2001,"35-44","CA","FT","M",10
2001,"35-44","EL","LF","M",16
2001,"35-44","EL","LF","F",1.5
2001,"35-44","EL","FT","M",15.5
2001,"35-44","EI","LF","M",25.1
2001,"35-44","EI","LF","F",8.2
2001,"35-44","EI","FT","M",23.2
2001,"35-44","EI","FT","F",7.8
2001,"35-44","EF","LF","M",7.8
2001,"35-44","EF","FT","M",7
2001,"35-44","FS","LF","M",14.8
2001,"35-44","FS","LF","F",11.2
2001,"35-44","FS","FT","M",13.1
2001,"35-44","FS","FT","F",7.5
2001,"35-44","FS","PT","F",3.1
2001,"35-44","HE","LF","M",2
2001,"35-44","HE","LF","F",9.4
2001,"35-44","HE","FT","M",1.8
2001,"35-44","HE","FT","F",6.8
2001,"35-44","HE","PT","F",2.4
2001,"35-44","TH","LF","M",34.9
2001,"35-44","TH","FT","M",33.1
2001,"35-44","HE","LF","M",6.7
2001,"35-44","HE","FT","M",6.1
2001,"35-44","IF","LF","M",14.2
2001,"35-44","IF","FT","M",12.5
2001,"35-44","LH","LF","M",5.5
2001,"35-44","LH","FT","M",4.7
2001,"35-44","MA","LF","M",17.5
2001,"35-44","MA","LF","F",1.5
2001,"35-44","MA","FT","M",16.7
2001,"35-44","PP","LF","M",12.7
2001,"35-44","PP","LF","F",5.6
2001,"35-44","PP","FT","M",12.1
2001,"35-44","PP","FT","F",5.2
2001,"35-44","LH","LF","M",23.6
2001,"35-44","LH","FT","M",22.4
2001,"35-44","PP","LF","M",5.6
2001,"35-44","PP","FT","M",5.3
2001,"35-44","TH","LF","M",39.8
2001,"35-44","TH","LF","F",9.8
2001,"35-44","TH","FT","M",35.4
2001,"35-44","TH","FT","F",7.1
2001,"35-44","TH","PT","M",1.6
2001,"35-44","TH","PT","F",2.3
2001,"35-44","TH","UN","M",2.8
2001,"35-44","TH","UR","M",7
2001,"35-44","WE","LF","M",11.8
2001,"35-44","WE","FT","M",11.1
2001,"35-44","OG","LF","M",29.9
2001,"35-44","OG","LF","F",9.3
2001,"35-44","OG","FT","M",28.8
2001,"35-44","OG","FT","F",8.1
2001,"35-44","TH","LF","M",643.9
2001,"35-44","TH","LF","F",762.3
2001,"35-44","TH","FT","M",589.9
2001,"35-44","TH","FT","F",566.7
2001,"35-44","TH","PT","M",23.4
2001,"35-44","TH","PT","F",152
2001,"35-44","TH","UN","M",30.6
2001,"35-44","TH","UN","F",43.6
2001,"35-44","TH","UR","M",4.8
2001,"35-44","TH","UR","F",5.7
2001,"45-54","AS","LF","M",11.9
2001,"45-54","AS","FT","M",11
2001,"45-54","CA","LF","M",8.5
2001,"45-54","CA","FT","M",7.3
2001,"45-54","EL","LF","M",13.2
2001,"45-54","EL","LF","F",2.4
2001,"45-54","EL","FT","M",12.1
2001,"45-54","EL","FT","F",2.2
2001,"45-54","EI","LF","M",10.2
2001,"45-54","EI","LF","F",4.6
2001,"45-54","EI","FT","M",9.6
2001,"45-54","EI","FT","F",4.2
2001,"45-54","EF","LF","M",4.1
2001,"45-54","EF","FT","M",3.7
2001,"45-54","FS","LF","M",9.9
2001,"45-54","FS","LF","F",10
2001,"45-54","FS","FT","M",9.4
2001,"45-54","FS","FT","F",7.1
2001,"45-54","FS","PT","F",2.7
2001,"45-54","HE","LF","F",6.7
2001,"45-54","HE","FT","F",4.2
2001,"45-54","HE","PT","F",2.5
2001,"45-54","TH","LF","M",20
2001,"45-54","TH","FT","M",19.1
2001,"45-54","HE","LF","M",6.4
2001,"45-54","HE","FT","M",5.9
2001,"45-54","IF","LF","M",8
