Sectors / Secteurs
------------------

A	Automotive       	Automobile
C	Construction     	Construction
I	Industry         	Industrie
S	Service          	Service


Trades / Métiers
----------------

200G	Precision Metal Fabricator                                                 	Tôlier(ière) de précision
207S	Light Rail Overhead Contact Systems Lineperson                             	Monteur(se) de systèmes de lignes aériennes de contact pour le transport léger sur rail
211W	Wooden Boat Rebuilder                                                      	Reconstructeur(trice)-réparateur(trice) de bateaux de bois
219C	Saddlery                                                                   	Sellerie
219D	Horse Harness Maker                                                        	Sellier(ère)-harnacheur(se)
225A	Optics Technician (Lens and Prism Maker)                                   	Fabricant(e) de prismes et de lentilles de précision
225F	Thin Film Technician                                                       	Opticien(ne) de pellicules minces
237S	Pool, Hot Tub and Spa - Service Technician                                 	Technicien(ne) d'entretien de piscines et de bains à remous
237T	Pool, Hot Tub and Spa - Installer                                          	Installateur(trice) de piscines et de bains à remous
239b	Tool and Gauge Inspector                                                   	Inspecteur(trice) d'outils et d'appareils de contrôle
240P	Parts Technician                                                           	Préposé(e) aux pièces
241A	Terrazzo, Tile and Marble Setter                                           	Poseur(euse) de carrelage
244G	Cement (Concrete ) Finisher                                                	Finisseur(euse) de ciment (béton)
244H	Restoration Mason                                                          	Ma&ccedil;on(ne) en restauration
244K	Precast Concrete Erector                                                   	Monteur(trice) de béton préfabriqué
244L	Precast Concrete Finisher                                                  	Finisseur(euse) de béton préfabriqué
245R	Retail Meat Cutter                                                         	Découpeur(se) de viande au détail
246F	Process Operator: Refinery, Chemical and Liquid Processes                  	Opérateur(trice) de procédés industriels: raffinerie, chimique et liquide
246R	Process Operator - Power                                                   	Opérateur(trice) de procédés industriels – Secteur de l'énergie
246T	Process Operator - Food Manufacturing                                      	Opérateur(trice) de procédés industriels – Secteur de la transformation des aliments
253A	Heat and Frost Insulator                                                   	Poseur(euse) de matériaux isolants
253H	Hazardous Materials Worker                                                 	Travailleur(euse) en décontamination
255B	Facilities Technician                                                      	Technicien(ne) en systèmes de bâtiment
255W	Facilities Mechanic                                                        	Mécanicien(ne) d'entretien de bâtiment
259L	Locksmith                                                                  	Serrurier(ière)
263F	Pump Systems Installer                                                     	Installateur(trice)/mécanicien(ne) de systèmes de pompage
267G	Composite Structures Technician                                            	Technicien(ne) en structures composites
268A	Carperson (Railway)                                                        	Technicien(ne) en voitures et wagons de chemin de fer (ancien titre : préposé(e) aux voitures et wagons de chemin de fer)
268R	Railway Car Technician                                                     	Technicien(ne) en voitures et wagons de chemin de fer (ancien titre : préposé(e) aux voitures et wagons de chemin de fer)
269E	Entertainment Industry Power Technician                                    	Technicien(ne) en électricité pour l'industrie du spectacle
274L	Automotive Glass Technician                                                	Technicien(ne) vitrier(ière) d'automobile
277Z	Hydraulic/Pneumatic Mechanic                                               	Mécanicien(ne) en hydraulique/pneumatique
278B	Surface Blaster                                                            	Dynamiteur(se) – exploitation à ciel ouvert
282E	Powered Lift Truck Technician                                              	Technicien(ne) de chariot élévateur
288R	Relay and Instrumentation Technician                                       	Technicien(ne) relais et instruments
289F	Electrician (Signal Maintenance)                                           	Électricien(ne) en entretien des signaux
295A	Tire Wheel and Rim Mechanic                                                	Mécanicien(ne) – pneus, roues et jantes
296A	Native Residential Construction Worker                                     	Ouvrier(ière) de construction résidentielle autochtone
296B	Native Clothing and Crafts Artisan                                         	Artisan(e) autochtone
297A	Ski Lift Mechanic                                                          	Mécanicien(ne) de remontées mécaniques
297B	Special Events Coordinator                                                 	Coordonnateur(trice) d'événements spéciaux
297C	Bicycle Mechanic                                                           	Mécanicien de vélo
306A	Plumber                                                                    	Plombier(ière)
307A	Steamfitter                                                                	Monteur(euse) de tuyaux de vapeurs
308A	Sheet Metal Worker                                                         	Tôlier(ière)
308R	Residential (Low-Rise) Sheet Metal Installer                               	Poseur(euse) de tôles pour systèmes résidentiels (petits immeubles)
309A	Electrician - Construction and Maintenance                                 	Électricien(ne) bâtiment/entretien
