"TradeCode","Sector","RedSeal?","Participants-Total","Participants-F","Participants-M","Participants-<20","Participants-20-29","Participants-30-44","Participants-45-54","Participants->55","Sponsors","TDAs-Public","TDAs-Private"
"452A","C","Y",540,"<20",">20","<20",270,229,28,"<20",8,1,3
"308R","C","N",68,"<20",">20","<20",35,26,"<20","<20",55,3,0
"313D","C","N",350,"<20",">20","<20",163,146,29,"<20",251,7,0
"244H","C","N","<20","<20","<20",0,"<20","<20",0,0,4,0,1
"449A","C","Y",173,"<20",">20","<20",82,70,"<20","<20",56,2,0
"308A","C","Y",1876,"<20",">20",40,1103,621,92,20,726,4,2
"427A","C","Y",443,"<20",">20","<20",283,137,"<20","<20",23,0,1
"307A","C","Y",523,"<20",">20","<20",286,191,30,"<20",79,4,1
"241A","C","Y",207,"<20",">20","<20",80,109,"<20",0,23,0,1
"610C","I","N",143,"<20",">20",0,90,45,"<20","<20",45,0,0
"615A","I","N",0,0,0,0,0,0,0,0,0,0,0
"600P","I","N","<20",0,"<20",0,"<20","<20",0,0,4,0,0
"438A","I","Y",679,38,641,50,468,143,"<20","<20",438,4,0
"268A","I","N","<20",0,"<20",0,0,"<20","<20","<20",1,0,0
"267G","I","N","<20",0,"<20",0,0,"<20",0,0,1,0,0
"670C","I","N",38,"<20",">20",0,"<20","<20","<20",0,21,1,0
"670D","I","N",0,0,0,0,0,0,0,0,0,0,0
"614A","I","N","<20","<20","<20","<20","<20","<20",0,0,6,0,0
"614B","I","N","<20","<20","<20",0,"<20","<20","<20",0,9,0,0
"614C","I","N","<20",0,"<20",0,0,"<20",0,0,1,0,0
"446A","I","Y",37,"<20",">20",0,"<20","<20","<20",0,19,0,0
"617A","I","N","<20","<20","<20",0,"<20","<20",0,0,3,0,0
"289F","I","N",36,0,36,0,"<20",20,"<20","<20",1,0,0
"636E","I","N",653,"<20",">20","<20",296,289,61,"<20",57,1,1
"269E","I","N","<20",0,"<20",0,"<20","<20","<20",0,2,0,0
"278B","I","N",31,0,31,0,"<20","<20","<20",0,14,0,0
"255W","I","N",83,"<20",">20","<20","<20",21,33,"<20",55,1,0
"425A","A","Y",366,"<20",">20",">20",">20",">20","<20",0,174,9,1
"630B","I","N","<20","<20","<20",0,0,"<20","<20","<20",3,0,0
"255B","I","N",109,"<20",">20","<20","<20",43,34,"<20",50,1,0
"310E","A","N",48,"<20",">20",0,"<20","<20","<20","<20",25,1,0
"225F","I","N","<20","<20",0,0,"<20","<20",0,0,1,0,0
"661H","I","N",0,0,0,0,0,0,0,0,0,0,0
"310B","A","Y",1160,36,1124,">20",">20",">20",">20","<20",806,5,0
"602C","I","N",0,0,0,0,0,0,0,0,0,0,0
"636G","I","N",44,0,44,0,21,"<20","<20","<20",18,1,0
"310Q","A","N",144,"<20",">20","<20",71,46,"<20","<20",137,5,0
"430A","I","Y",997,24,973,">20",">20",">20",">20","<20",478,12,0
"310K","A","N",60,0,60,0,40,"<20","<20","<20",46,0,0
"429A","I","Y",2150,63,2087,">20",">20",">20",">20","<20",1002,14,0
"239b","I","N",0,0,0,0,0,0,0,0,0,0,0
"274L","A","N",37,"<20",">20",0,"<20","<20","<20","<20",18,0,0
"410N","A","Y",121,"<20",">20","<20",82,32,"<20","<20",106,1,0
"277Z","I","N",26,0,26,0,"<20","<20","<20",0,7,0,0
"630T","I","N",46,"<20",">20","<20",29,"<20","<20",0,29,12,0
"310S","A","Y",10917,368,10549,1437,7163,1984,270,63,5603,16,0
"442A","I","Y",2418,94,2324,98,1312,761,191,56,751,20,0
"638A","I","N",1101,42,1059,"<20",">20",">20",">20",">20",91,0,0
"421A","A","Y",1565,26,1539,">20",">20",">20",">20","<20",553,11,1
"433A","I","Y",3614,73,3541,153,1807,1269,309,76,1448,14,0
"800A","I","N",1715,27,1688,21,803,567,186,138,662,0,0
"447A","I","Y",526,55,471,"<20",245,196,61,"<20",60,7,0
"435B","A","N",213,"<20",">20","<20",139,50,"<20","<20",156,4,0
"605B","I","N",33,"<20",">20",0,"<20","<20","<20",0,8,0,0
"410K","A","N",40,0,40,"<20","<20","<20","<20","<20",20,0,0
"207S","I","N",44,0,44,0,"<20",24,"<20",0,1,0,0
"456A","I","Y",1512,86,1426,">20",">20",">20",">20","<20",634,12,7
"211W","I","N","<20",0,"<20","<20","<20","<20",0,0,5,0,0
"259L","I","N",27,"<20",">20",0,"<20","<20","<20","<20",22,0,0
"310G","A","Y",297,"<20",">20",24,165,82,"<20","<20",181,2,0
"282E","A","N",64,"<20",">20","<20",35,25,"<20","<20",47,9,1
"430M","I","N",50,"<20",">20","<20","<20",27,"<20",0,35,12,0
"620B","S","N","<20","<20",0,0,"<20",0,0,0,1,0,0
"690H","A","Y",67,"<20",">20","<20","<20",31,"<20","<20",32,1,0
"640D","S","N",69,"<20",">20","<20",53,"<20",0,0,67,0,1
"437A","I","Y",543,20,523,">20",">20",">20",">20","<20",252,11,5
"435A","A","N",244,"<20",">20",27,160,38,"<20","<20",210,4,0
"431A","I","N",342,"<20",">20",31,149,146,"<20","<20",132,12,0
"640F","S","N","<20",0,"<20",0,0,"<20","<20",0,2,0,0
"295A","A","N","<20",0,"<20","<20","<20","<20","<20","<20",13,0,0
"225A","I","N","<20","<20","<20",0,"<20","<20",0,0,1,0,0
"640S","S","N","<20","<20","<20","<20","<20","<20","<20",0,10,0,0
"310D","A","N",70,"<20",">20","<20",25,29,"<20","<20",56,1,0
"609C","I","N","<20",0,"<20",0,0,"<20","<20","<20",3,0,0
"310T","A","Y",3645,50,3595,272,2150,964,216,43,1731,11,1
"445A","S","Y",42,"<20",">20","<20",23,"<20","<20","<20",37,0,0
"443A","I","N","<20","<20",">20",0,"<20","<20","<20",0,13,12,0
"444A","S","N",377,25,352,"<20",214,128,23,"<20",158,2,0
"310J","A","Y",221,0,221,"<20",84,94,31,"<20",116,1,0
"200G","I","N",96,"<20",">20","<20","<20",54,22,"<20",48,1,0
"421C","A","N","<20",0,"<20",0,"<20","<20",0,0,8,1,0
"415B","S","N",270,124,146,">20",">20",">20",">20","<20",200,19,1
"456P","I","N",21,"<20","<20","<20","<20","<20","<20",0,2,0,3
"423A","S","N",154,98,56,55,80,"<20","<20",0,115,3,0
"424A","C","Y",251,"<20",">20","<20",127,99,"<20","<20",45,0,2
"246T","I","N",137,35,102,0,"<20",74,38,"<20",17,2,0
"401A","C","Y",1595,"<20",">20",33,884,542,105,31,444,6,4
"423C","S","Y",404,298,106,62,242,86,"<20","<20",280,2,0
"246R","I","N",336,48,288,"<20",179,112,24,"<20",2,0,0
"297C","S","N","<20",0,"<20","<20","<20",0,0,"<20",3,0,0
"244G","C","N",293,"<20",">20","<20",95,154,27,"<20",22,0,5
"246F","I","N",276,20,256,"<20",134,90,30,"<20",19,0,0
"415C","S","N","<20","<20","<20",0,"<20","<20","<20","<20",19,1,0
"419A","C","N","<20",0,"<20","<20",0,0,0,0,1,0,0
"263F","I","N","<20",0,"<20",0,"<20","<20",0,0,5,0,0
"620A","S","N",1110,839,271,70,424,332,191,93,479,4,0
"637C","C","N",24,0,24,0,"<20","<20",0,0,2,0,1
"268R","I","N",115,"<20",">20","<20",61,41,"<20","<20",6,1,0
"620C","S","N",5754,5394,360,398,2330,1913,858,255,2274,15,0
"428A","C","Y",198,"<20",">20",0,">20",">20","<20",0,2,1,0
"288R","I","N","<20",0,"<20",0,0,"<20",0,"<20",1,0,0
"620G","S","N",66,">20","<20",0,"<20",33,"<20","<20",50,1,0
"450A","C","Y",2338,53,2285,120,1311,737,146,24,132,2,11
"602H","I","N",0,0,0,0,0,0,0,0,0,0,0
"426A","C","N",370,"<20",">20","<20",215,133,"<20","<20",25,4,0
"415A","S","Y",5467,1830,3637,636,3474,1098,187,72,2395,21,1
"611B","I","N","<20",0,"<20",0,"<20","<20","<20","<20",7,1,0
"620D","S","N",1432,1059,373,"<20",">20",">20",">20",">20",226,11,0
"453A","C","Y",405,"<20",">20","<20",179,176,37,"<20",31,0,1
"297A","I","N","<20",0,"<20",0,0,"<20","<20","<20",2,0,0
"451A","C","Y",1169,"<20",">20",">20",">20",">20",">20","<20",37,0,4
"620E","S","N",629,544,85,68,179,197,135,50,268,5,0
"416E","S","Y",34,"<20",">20",0,"<20","<20","<20","<20",8,0,0
"455A","C","N",52,0,52,0,21,"<20","<20","<20",3,0,1
"309A","C","Y",9260,191,9069,536,6074,2215,355,80,3510,19,1
"606G","S","N","<20",0,"<20",0,"<20",0,0,0,2,0,0
"332A","S","Y",7496,6637,859,594,4474,1913,393,122,4071,12,2
"309C","C","N",114,"<20",">20","<20",73,22,"<20","<20",84,18,0
"448A","C","Y",305,"<20",">20","<20",169,105,"<20","<20",52,1,1
"606W","S","N",53,"<20",">20","<20","<20",22,"<20","<20",31,0,0
"600H","S","N",83,">20","<20","<20",46,"<20","<20","<20",30,0,1
"403A","C","Y",6019,167,5852,425,4076,1336,153,29,2609,17,1
"253H","C","N",212,"<20",">20","<20",80,82,34,"<20",1,0,3
"219D","S","N",0,0,0,0,0,0,0,0,0,0,0
"441C","S","Y",836,196,640,20,491,248,56,21,517,4,1
"253A","C","N",351,"<20",">20",0,">20",">20",">20","<20",5,0,1
"634E","S","N",11706,6631,5075,151,5467,3897,1358,833,103,7,0
"636C","C","N",207,"<20",">20","<20",141,39,"<20","<20",28,1,1
"636B","C","N",259,"<20",">20",21,171,54,"<20","<20",52,1,1
"634D","S","N",2606,1396,1210,"<20",">20",">20",">20",">20",39,6,0
"636A","C","N",239,"<20",">20",26,141,61,"<20","<20",42,1,1
"634A","S","N",3173,695,2478,"<20",">20",">20",">20",">20",47,5,0
"339A","C","Y",351,"<20",">20","<20",169,138,26,"<20",92,1,2
"634B","S","N",115,"<20",">20","<20",86,"<20","<20",0,70,1,0
"634C","S","N",64,"<20",">20","<20","<20",30,"<20","<20",30,1,0
"339C","C","N",107,"<20",">20",0,35,47,"<20","<20",40,1,1
"339B","C","Y",129,"<20",">20","<20",69,49,"<20","<20",29,1,1
"415D","S","N",36,">20","<20","<20","<20","<20","<20","<20",19,3,0
"630A","S","N",196,103,93,0,"<20",99,60,"<20",5,1,0
"420B","C","Y","<20",0,"<20",0,"<20","<20",0,0,1,0,1
"420A","C","Y",737,"<20",">20","<20",434,259,38,"<20",11,1,3
"296B","S","N",0,0,0,0,0,0,0,0,0,0,0
"296A","C","N",33,"<20",">20","<20","<20","<20","<20","<20",7,0,0
"631A","S","N",257,"<20",">20","<20",91,102,52,"<20",72,1,1
"240P","S","Y",340,66,274,"<20",">20",">20",">20",">20",157,2,0
"404C","C","Y",87,"<20",">20","<20",47,28,"<20","<20",41,0,1
"237T","S","N",34,0,34,0,"<20",21,"<20",0,15,0,0
"404D","C","N",65,"<20",">20","<20",37,23,"<20","<20",9,0,2
"237S","S","N",60,"<20",">20",0,"<20",34,"<20","<20",24,0,0
"306A","C","Y",3337,51,3286,268,2124,813,106,26,1586,12,1
"245R","S","N",111,"<20",">20","<20",61,27,"<20","<20",82,0,1
"434A","C","Y",1222,"<20",">20",">20",">20",">20",">20","<20",147,0,4
"244K","C","N","<20",0,"<20",0,"<20","<20","<20","<20",3,0,0
"219C","S","N","<20",0,"<20",0,0,0,"<20",0,1,0,0
"244L","C","N","<20",0,"<20",0,0,0,"<20",0,1,0,0
"297B","S","N",46,">20","<20","<20","<20","<20","<20","<20",24,0,0
"313A","C","Y",1863,"<20",">20",">20",">20",">20",">20","<20",904,6,1
"444B","S","N",235,"<20",">20","<20",140,79,"<20","<20",37,2,1
