"NOC","Year","AvgHourlyWage","Vacancies"
632,2015,24,70
632,2016,20.15,
6313,2015,19.7,
1431,2015,18.71666667,565
1431,2016,17.675,627.5
1311,2015,19.8,282.5
1311,2016,17.625,382.5
1241,2015,19.26666667,1183.333333
1241,2016,18.65,885
1221,2015,21.46666667,761.6666667
1221,2016,21.025,772.5
421,2015,40.25,71.66666667
421,2016,48.4,80
124,2015,39.45,858.3333333
124,2016,37.2,1097.5
2146,2015,36.275,15
2146,2016,34.3,20
8252,2015,16.6,
8252,2016,15.2,
2271,2015,41.4,90
7315,2015,22.8,60
6523,2015,13.9,425
6523,2016,14,
3124,2015,44.35,135
3124,2016,40.325,120
3213,2015,14.85,
3213,2016,16.325,110
5231,2015,16,30
2151,2015,31.1,
2151,2016,35.8,
2251,2015,18.6,
2251,2016,16.9,
212,2015,44.96666667,121.6666667
212,2016,48.3,130
9525,2015,14.5,
1314,2015,22.3,
1314,2016,28.475,15
5225,2015,17.1,10
5225,2016,24.625,10
3141,2015,35.53333333,37.5
3141,2016,36.625,20
5121,2015,29.1,160
5121,2016,28.8,72.5
7321,2015,22.36666667,1088.333333
7321,2016,22.375,762.5
6332,2015,11.85,185
6332,2016,15.9,
122,2015,41.56666667,540
122,2016,40.675,822.5
1434,2015,19.125,280
1434,2016,20.25,495
6512,2015,10.55,488.3333333
6512,2016,10.8,382.5
9473,2015,15.925,35
9473,2016,16.6,
2221,2016,21.8,35
2121,2015,32.35,20
2121,2016,33,10
7281,2015,32.65,360
5224,2015,17.35,
5224,2016,28.975,
7512,2015,15.65,716.6666667
7512,2016,14.5,830
4163,2015,28.2,506.6666667
4163,2016,28.725,675
6331,2015,13.83333333,
6331,2016,14.9,
4423,2015,27.93333333,33.33333333
4423,2016,23.775,50
7272,2015,17.4,
7272,2016,20.4,
7247,2015,15.9,
3217,2015,31.6,20
3217,2016,29.75,10
7271,2015,21.18333333,467.5
7271,2016,21.125,
6611,2015,11.28333333,3476.666667
6611,2016,11.325,3022.5
6533,2016,12.2,210
6321,2015,15.83333333,580
6321,2016,16.7,447.5
2134,2015,32,55
2134,2016,35.3,22.5
9421,2015,15.725,
2211,2015,20.68333333,186.6666667
2211,2016,20.225,97.5
2112,2015,27.78333333,45
2112,2016,28.5,35
2231,2015,24.9,176.6666667
2231,2016,23.225,115
2131,2015,33.88333333,245
2131,2016,39.35,390
