"Program","Year","Schedule","Period","Relatedness-Type","Relatedness-Level","Relatedness-N"
"ABS",2013,"FT",6,"U",3,208
"ABS",2013,"FT",6,"U",2,216
"ABS",2013,"FT",6,"U",1,302
"ABS",2013,"FT",6,"K",3,242
"ABS",2013,"FT",6,"K",2,293
"ABS",2013,"FT",6,"K",1,193
"ALA",2013,"FT",6,"U",3,62
"ALA",2013,"FT",6,"U",2,16
"ALA",2013,"FT",6,"U",1,10
"ALA",2013,"FT",6,"K",3,62
"ALA",2013,"FT",6,"K",2,22
"BCO",2013,"FT",6,"U",3,1517
"BCO",2013,"FT",6,"U",2,1085
"BCO",2013,"FT",6,"U",1,456
"BCO",2013,"FT",6,"K",3,1544
"BCO",2013,"FT",6,"K",2,1251
"BCO",2013,"FT",6,"K",1,266
"CSC",2013,"FT",6,"U",3,255
"CSC",2013,"FT",6,"U",2,96
"CSC",2013,"FT",6,"U",1,27
"CSC",2013,"FT",6,"K",3,259
"CSC",2013,"FT",6,"K",2,103
"CSC",2013,"FT",6,"K",1,16
"DEN",2013,"FT",6,"U",3,47
"DEN",2013,"FT",6,"K",3,45
"EDU",2013,"FT",6,"U",3,1232
"EDU",2013,"FT",6,"U",2,350
"EDU",2013,"FT",6,"U",1,310
"EDU",2013,"FT",6,"K",3,1204
"EDU",2013,"FT",6,"K",2,473
"EDU",2013,"FT",6,"K",1,213
"ENG",2013,"FT",6,"U",3,790
"ENG",2013,"FT",6,"U",2,590
"ENG",2013,"FT",6,"U",1,192
"ENG",2013,"FT",6,"K",3,951
"ENG",2013,"FT",6,"K",2,541
"ENG",2013,"FT",6,"K",1,81
"FAA",2013,"FT",6,"U",3,246
"FAA",2013,"FT",6,"U",2,140
"FAA",2013,"FT",6,"U",1,235
"FAA",2013,"FT",6,"K",3,245
"FAA",2013,"FT",6,"K",2,216
"FAA",2013,"FT",6,"K",1,159
"FSN",2013,"FT",6,"U",3,64
"FSN",2013,"FT",6,"U",2,40
"FSN",2013,"FT",6,"U",1,64
"FSN",2013,"FT",6,"K",3,71
"FSN",2013,"FT",6,"K",2,59
"FSN",2013,"FT",6,"K",1,39
"HPR",2013,"FT",6,"U",3,172
"HPR",2013,"FT",6,"U",2,62
"HPR",2013,"FT",6,"U",1,105
"HPR",2013,"FT",6,"K",3,176
"HPR",2013,"FT",6,"K",2,99
"HPR",2013,"FT",6,"K",1,62
"HUM",2013,"FT",6,"U",3,370
"HUM",2013,"FT",6,"U",2,450
"HUM",2013,"FT",6,"U",1,834
"HUM",2013,"FT",6,"K",3,496
"HUM",2013,"FT",6,"K",2,682
"HUM",2013,"FT",6,"K",1,478
"JOU",2013,"FT",6,"U",3,32
"JOU",2013,"FT",6,"U",2,21
"JOU",2013,"FT",6,"U",1,21
"JOU",2013,"FT",6,"K",3,39
"JOU",2013,"FT",6,"K",2,21
"JOU",2013,"FT",6,"K",1,14
"KRP",2013,"FT",6,"U",3,187
"KRP",2013,"FT",6,"U",2,160
"KRP",2013,"FT",6,"U",1,188
"KRP",2013,"FT",6,"K",3,196
"KRP",2013,"FT",6,"K",2,228
"KRP",2013,"FT",6,"K",1,109
"LAW",2013,"FT",6,"U",3,484
"LAW",2013,"FT",6,"U",2,49
"LAW",2013,"FT",6,"U",1,37
"LAW",2013,"FT",6,"K",3,435
"LAW",2013,"FT",6,"K",2,111
"LAW",2013,"FT",6,"K",1,24
"MAT",2013,"FT",6,"U",3,111
"MAT",2013,"FT",6,"U",2,92
"MAT",2013,"FT",6,"U",1,62
"MAT",2013,"FT",6,"K",3,124
"MAT",2013,"FT",6,"K",2,98
"MAT",2013,"FT",6,"K",1,42
"MED",2013,"FT",6,"U",3,238
"MED",2013,"FT",6,"K",3,231
"MED",2013,"FT",6,"K",2,12
"NUR",2013,"FT",6,"U",3,1004
"NUR",2013,"FT",6,"U",2,91
"NUR",2013,"FT",6,"U",1,21
"NUR",2013,"FT",6,"K",3,983
"NUR",2013,"FT",6,"K",2,117
