"Program","Year","Schedule","Period","University","N-Surveys","N-Employed","%-Employed"
"ABS",2013,"All","All","BRO",35,,
"ABS",2013,"All",6,"BRO",,,.739130434782609
"ABS",2013,"All",24,"BRO",,,.833333333333333
"ABS",2013,"All","All","CAR",50,,
"ABS",2013,"All",6,"CAR",,,.848484848484849
"ABS",2013,"All",24,"CAR",,,.894736842105263
"ABS",2013,"All","All","GUE",279,,
"ABS",2013,"All",6,"GUE",,,.860215053763441
"ABS",2013,"All",24,"GUE",,,.923913043478261
"ABS",2013,"All","All","LAK",32,,
"ABS",2013,"All",6,"LAK",,,.944444444444444
"ABS",2013,"All",24,"LAK",,,.944444444444444
"ABS",2013,"All","All","LAU",33,,
"ABS",2013,"All",6,"LAU",,,.722222222222222
"ABS",2013,"All",24,"LAU",,,.947368421052632
"ABS",2013,"All","All","MCM",236,,
"ABS",2013,"All",6,"MCM",,,.809090909090909
"ABS",2013,"All",24,"MCM",,,.900826446280992
"ABS",2013,"All","All","NIP",12,,
"ABS",2013,"All",6,"NIP",,,.8
"ABS",2013,"All",24,"NIP",,,1
"ABS",2013,"All","All","OTT",174,,
"ABS",2013,"All",6,"OTT",,,.76
"ABS",2013,"All",24,"OTT",,,.918181818181818
"ABS",2013,"All","All","QUE",338,,
"ABS",2013,"All",6,"QUE",,,.900584795321637
"ABS",2013,"All",24,"QUE",,,.890173410404624
"ABS",2013,"All","All","RYE",33,,
"ABS",2013,"All",6,"RYE",,,.75
"ABS",2013,"All",24,"RYE",,,.91304347826087
"ABS",2013,"All","All","TOR",424,,
"ABS",2013,"All",6,"TOR",,,.739130434782609
"ABS",2013,"All",24,"TOR",,,.88477366255144
"ABS",2013,"All","All","TRE",73,,
"ABS",2013,"All",6,"TRE",,,.879310344827586
"ABS",2013,"All",24,"TRE",,,.964912280701754
"ABS",2013,"All","All","UOI",38,,
"ABS",2013,"All",6,"UOI",,,.888888888888889
"ABS",2013,"All",24,"UOI",,,.909090909090909
"ABS",2013,"All","All","WAT",148,,
"ABS",2013,"All",6,"WAT",,,.666666666666667
"ABS",2013,"All",24,"WAT",,,.8875
"ABS",2013,"All","All","WES",160,,
"ABS",2013,"All",6,"WES",,,.807228915662651
"ABS",2013,"All",24,"WES",,,.938271604938272
"ABS",2013,"All","All","WLA",64,,
"ABS",2013,"All",6,"WLA",,,.840909090909091
"ABS",2013,"All",24,"WLA",,,.875
"ABS",2013,"All","All","WIN",73,,
"ABS",2013,"All",6,"WIN",,,.916666666666667
"ABS",2013,"All",24,"WIN",,,.86046511627907
"ABS",2013,"All","All","YOR",92,,
"ABS",2013,"All",6,"YOR",,,.721311475409836
"ABS",2013,"All",24,"YOR",,,.810344827586207
"ABS",2013,"FT",6,"All",,750,.56095736724009
"ABS",2013,"PT",6,"All",,323,.241585639491399
"ABS",2013,"FT",24,"All",,877,.649148778682457
"ABS",2013,"PT",24,"All",,337,.249444855662472
"ALA",2013,"All","All","CAR",30,,
"ALA",2013,"All",6,"CAR",,,.961538461538462
"ALA",2013,"All",24,"CAR",,,.956521739130435
"ALA",2013,"All","All","GUE",23,,
"ALA",2013,"All",6,"GUE",,,.714285714285714
"ALA",2013,"All",24,"GUE",,,.909090909090909
"ALA",2013,"All","All","RYE",35,,
"ALA",2013,"All",6,"RYE",,,.827586206896552
"ALA",2013,"All",24,"RYE",,,.90625
"ALA",2013,"All","All","WAT",46,,
"ALA",2013,"All",6,"WAT",,,.972972972972973
"ALA",2013,"All",24,"WAT",,,.9
"ALA",2013,"FT",6,"All",,92,.793103448275862
"ALA",2013,"PT",6,"All",,11,9.48275862068965E-02
"ALA",2013,"FT",24,"All",,81,.786407766990291
"ALA",2013,"PT",24,"All",,14,.135922330097087
"BCO",2013,"All","All","ALG",16,,
"BCO",2013,"All",6,"ALG",,,.8125
"BCO",2013,"All",24,"ALG",,,.875
"BCO",2013,"All","All","BRO",171,,
"BCO",2013,"All",6,"BRO",,,.8875
"BCO",2013,"All",24,"BRO",,,.950310559006211
"BCO",2013,"All","All","CAR",166,,
"BCO",2013,"All",6,"CAR",,,.867088607594937
"BCO",2013,"All",24,"CAR",,,.98
"BCO",2013,"All","All","GUE",213,,
"BCO",2013,"All",6,"GUE",,,.884422110552764
"BCO",2013,"All",24,"GUE",,,.955223880597015
"BCO",2013,"All","All","LAK",46,,
"BCO",2013,"All",6,"LAK",,,.976744186046512
"BCO",2013,"All",24,"LAK",,,.977777777777778
"BCO",2013,"All","All","LAU",195,,
"BCO",2013,"All",6,"LAU",,,.958549222797927
"BCO",2013,"All",24,"LAU",,,.958333333333333
"BCO",2013,"All","All","MCM",183,,
"BCO",2013,"All",6,"MCM",,,.91358024691358
"BCO",2013,"All",24,"MCM",,,.957831325301205
"BCO",2013,"All","All","NIP",94,,
"BCO",2013,"All",6,"NIP",,,.901098901098901
"BCO",2013,"All",24,"NIP",,,.946236559139785
"BCO",2013,"All","All","OTT",213,,
"BCO",2013,"All",6,"OTT",,,.904522613065327
"BCO",2013,"All",24,"OTT",,,.964646464646465
"BCO",2013,"All","All","QUE",156,,
"BCO",2013,"All",6,"QUE",,,.972602739726027
"BCO",2013,"All",24,"QUE",,,.993288590604027
"BCO",2013,"All","All","RYE",599,,
"BCO",2013,"All",6,"RYE",,,.836805555555556
"BCO",2013,"All",24,"RYE",,,.928321678321678
"BCO",2013,"All","All","TOR",340,,
"BCO",2013,"All",6,"TOR",,,.844236760124611
"BCO",2013,"All",24,"TOR",,,.956521739130435
"BCO",2013,"All","All","TRE",61,,
"BCO",2013,"All",6,"TRE",,,.859649122807018
"BCO",2013,"All",24,"TRE",,,.928571428571429
"BCO",2013,"All","All","UOI",111,,
"BCO",2013,"All",6,"UOI",,,.822429906542056
"BCO",2013,"All",24,"UOI",,,.915094339622642
"BCO",2013,"All","All","WAT",188,,
"BCO",2013,"All",6,"WAT",,,.888888888888889
"BCO",2013,"All",24,"WAT",,,.989071038251366
"BCO",2013,"All","All","WES",457,,
"BCO",2013,"All",6,"WES",,,.897129186602871
"BCO",2013,"All",24,"WES",,,.962264150943396
"BCO",2013,"All","All","WLA",404,,
"BCO",2013,"All",6,"WLA",,,.921259842519685
"BCO",2013,"All",24,"WLA",,,.96875
"BCO",2013,"All","All","WIN",121,,
"BCO",2013,"All",6,"WIN",,,.888888888888889
"BCO",2013,"All",24,"WIN",,,.956896551724138
"BCO",2013,"All","All","YOR",497,,
"BCO",2013,"All",6,"YOR",,,.858974358974359
"BCO",2013,"All",24,"YOR",,,.941176470588235
"BCO",2013,"FT",6,"All",,3199,.800951427140711
"BCO",2013,"PT",6,"All",,329,8.23735603405108E-02
"BCO",2013,"FT",24,"All",,3629,.904536390827517
"BCO",2013,"PT",24,"All",,193,4.81056829511466E-02
"CSC",2013,"All","All","BRO",10,,
"CSC",2013,"All",6,"BRO",,,.8
"CSC",2013,"All",24,"BRO",,,1
"CSC",2013,"All","All","CAR",60,,
"CSC",2013,"All",6,"CAR",,,.882352941176471
"CSC",2013,"All",24,"CAR",,,.875
"CSC",2013,"All","All","GUE",11,,
"CSC",2013,"All",6,"GUE",,,1
"CSC",2013,"All",24,"GUE",,,1
"CSC",2013,"All","All","MCM",12,,
"CSC",2013,"All",6,"MCM",,,1
"CSC",2013,"All",24,"MCM",,,1
"CSC",2013,"All","All","OTT",13,,
"CSC",2013,"All",6,"OTT",,,.846153846153846
"CSC",2013,"All",24,"OTT",,,1
"CSC",2013,"All","All","QUE",25,,
"CSC",2013,"All",6,"QUE",,,.80952380952381
"CSC",2013,"All",24,"QUE",,,1
"CSC",2013,"All","All","RYE",29,,
"CSC",2013,"All",6,"RYE",,,.964285714285714
"CSC",2013,"All",24,"RYE",,,.962962962962963
"CSC",2013,"All","All","TOR",71,,
"CSC",2013,"All",6,"TOR",,,.984615384615385
"CSC",2013,"All",24,"TOR",,,.953846153846154
"CSC",2013,"All","All","UOI",50,,
"CSC",2013,"All",6,"UOI",,,.91304347826087
"CSC",2013,"All",24,"UOI",,,.936170212765957
"CSC",2013,"All","All","WAT",109,,
"CSC",2013,"All",6,"WAT",,,.959183673469388
"CSC",2013,"All",24,"WAT",,,1
"CSC",2013,"All","All","WES",18,,
"CSC",2013,"All",6,"WES",,,.846153846153846
"CSC",2013,"All",24,"WES",,,1
"CSC",2013,"All","All","WLA",13,,
"CSC",2013,"All",6,"WLA",,,.916666666666667
"CSC",2013,"All",24,"WLA",,,1
"CSC",2013,"All","All","WIN",18,,
"CSC",2013,"All",6,"WIN",,,.888888888888889
"CSC",2013,"All",24,"WIN",,,.944444444444444
"CSC",2013,"All","All","YOR",59,,
"CSC",2013,"All",6,"YOR",,,.824561403508772
"CSC",2013,"All",24,"YOR",,,.931034482758621
"CSC",2013,"FT",6,"All",,386,.826552462526767
"CSC",2013,"PT",6,"All",,41,8.77944325481799E-02
"CSC",2013,"FT",24,"All",,447,.923553719008264
"CSC",2013,"PT",24,"All",,17,3.51239669421488E-02
"DEN",2013,"All","All","TOR",39,,
"DEN",2013,"All",6,"TOR",,,.972222222222222
"DEN",2013,"All",24,"TOR",,,.973684210526316
"DEN",2013,"All","All","WES",23,,
"DEN",2013,"All",6,"WES",,,.863636363636364
"DEN",2013,"All",24,"WES",,,1
"DEN",2013,"FT",6,"All",,48,.827586206896552
"DEN",2013,"FT",24,"All",,49,.830508474576271
"EDU",2013,"All","All","BRO",210,,
"EDU",2013,"All",6,"BRO",,,.887254901960784
"EDU",2013,"All",24,"BRO",,,.966019417475728
"EDU",2013,"All","All","LAK",205,,
"EDU",2013,"All",6,"LAK",,,.921052631578947
"EDU",2013,"All",24,"LAK",,,.964646464646465
"EDU",2013,"All","All","LAU",84,,
"EDU",2013,"All",6,"LAU",,,.961538461538462
"EDU",2013,"All",24,"LAU",,,.98780487804878
"EDU",2013,"All","All","NIP",481,,
"EDU",2013,"All",6,"NIP",,,.911255411255411
"EDU",2013,"All",24,"NIP",,,.966101694915254
"EDU",2013,"All","All","OTT",491,,
"EDU",2013,"All",6,"OTT",,,.915074309978769
"EDU",2013,"All",24,"OTT",,,.968152866242038
"EDU",2013,"All","All","QUE",243,,
"EDU",2013,"All",6,"QUE",,,.899563318777293
"EDU",2013,"All",24,"QUE",,,.965217391304348
"EDU",2013,"All","All","RYE",116,,
"EDU",2013,"All",6,"RYE",,,.989010989010989
"EDU",2013,"All",24,"RYE",,,.927272727272727
"EDU",2013,"All","All","TOR",409,,
"EDU",2013,"All",6,"TOR",,,.860158311345646
"EDU",2013,"All",24,"TOR",,,.974025974025974
"EDU",2013,"All","All","TRE",103,,
"EDU",2013,"All",6,"TRE",,,.872549019607843
"EDU",2013,"All",24,"TRE",,,.96969696969697
"EDU",2013,"All","All","UOI",113,,
"EDU",2013,"All",6,"UOI",,,.918918918918919
"EDU",2013,"All",24,"UOI",,,.954545454545455
"EDU",2013,"All","All","WES",211,,
"EDU",2013,"All",6,"WES",,,.873015873015873
"EDU",2013,"All",24,"WES",,,.970443349753695
"EDU",2013,"All","All","WLA",80,,
"EDU",2013,"All",6,"WLA",,,.922077922077922
"EDU",2013,"All",24,"WLA",,,.9625
"EDU",2013,"All","All","WIN",226,,
"EDU",2013,"All",6,"WIN",,,.84037558685446
"EDU",2013,"All",24,"WIN",,,.930875576036866
"EDU",2013,"All","All","YOR",214,,
"EDU",2013,"All",6,"YOR",,,.808612440191388
"EDU",2013,"All",24,"YOR",,,.938967136150235
"EDU",2013,"FT",6,"All",,1950,.64891846921797
"EDU",2013,"PT",6,"All",,723,.240599001663894
"EDU",2013,"FT",24,"All",,2268,.737321196358908
"EDU",2013,"PT",24,"All",,684,.222366710013004
"ENG",2013,"All","All","CAR",233,,
"ENG",2013,"All",6,"CAR",,,.795918367346939
"ENG",2013,"All",24,"CAR",,,.918269230769231
"ENG",2013,"All","All","GUE",46,,
"ENG",2013,"All",6,"GUE",,,.948717948717949
"ENG",2013,"All",24,"GUE",,,.976744186046512
"ENG",2013,"All","All","LAK",119,,
"ENG",2013,"All",6,"LAK",,,.864406779661017
"ENG",2013,"All",24,"LAK",,,.932203389830508
"ENG",2013,"All","All","LAU",20,,
"ENG",2013,"All",6,"LAU",,,.842105263157895
"ENG",2013,"All",24,"LAU",,,.894736842105263
"ENG",2013,"All","All","MCM",294,,
"ENG",2013,"All",6,"MCM",,,.845559845559846
"ENG",2013,"All",24,"MCM",,,.935018050541516
"ENG",2013,"All","All","OTT",115,,
"ENG",2013,"All",6,"OTT",,,.801980198019802
"ENG",2013,"All",24,"OTT",,,.917431192660551
"ENG",2013,"All","All","QUE",283,,
"ENG",2013,"All",6,"QUE",,,.887931034482759
"ENG",2013,"All",24,"QUE",,,.923076923076923
"ENG",2013,"All","All","RYE",176,,
"ENG",2013,"All",6,"RYE",,,.723684210526316
"ENG",2013,"All",24,"RYE",,,.880503144654088
"ENG",2013,"All","All","TOR",361,,
"ENG",2013,"All",6,"TOR",,,.875862068965517
"ENG",2013,"All",24,"TOR",,,.926751592356688
"ENG",2013,"All","All","UOI",106,,
"ENG",2013,"All",6,"UOI",,,.783505154639175
"ENG",2013,"All",24,"UOI",,,.902912621359223
"ENG",2013,"All","All","WAT",497,,
"ENG",2013,"All",6,"WAT",,,.908665105386417
"ENG",2013,"All",24,"WAT",,,.961538461538462
"ENG",2013,"All","All","WES",100,,
"ENG",2013,"All",6,"WES",,,.787234042553192
"ENG",2013,"All",24,"WES",,,.895833333333333
"ENG",2013,"All","All","WIN",58,,
"ENG",2013,"All",6,"WIN",,,.846153846153846
"ENG",2013,"All",24,"WIN",,,.938775510204082
"ENG",2013,"All","All","YOR",14,,
"ENG",2013,"All",6,"YOR",,,1
"ENG",2013,"All",24,"YOR",,,.818181818181818
"ENG",2013,"FT",6,"All",,1642,.787907869481766
"ENG",2013,"PT",6,"All",,127,6.09404990403071E-02
"ENG",2013,"FT",24,"All",,1940,.883826879271071
"ENG",2013,"PT",24,"All",,93,.042369020501139
"FAA",2013,"All","All","BRO",40,,
"FAA",2013,"All",6,"BRO",,,.806451612903226
"FAA",2013,"All",24,"BRO",,,.868421052631579
"FAA",2013,"All","All","CAR",30,,
"FAA",2013,"All",6,"CAR",,,.851851851851852
"FAA",2013,"All",24,"CAR",,,.884615384615385
"FAA",2013,"All","All","GUE",28,,
"FAA",2013,"All",6,"GUE",,,.894736842105263
"FAA",2013,"All",24,"GUE",,,.916666666666667
"FAA",2013,"All","All","LAK",17,,
"FAA",2013,"All",6,"LAK",,,.882352941176471
"FAA",2013,"All",24,"LAK",,,1
"FAA",2013,"All","All","MCM",29,,
"FAA",2013,"All",6,"MCM",,,.894736842105263
"FAA",2013,"All",24,"MCM",,,.863636363636364
"FAA",2013,"All","All","OCA",272,,
"FAA",2013,"All",6,"OCA",,,.788844621513944
"FAA",2013,"All",24,"OCA",,,.911196911196911
"FAA",2013,"All","All","OTT",47,,
"FAA",2013,"All",6,"OTT",,,.888888888888889
"FAA",2013,"All",24,"OTT",,,.973684210526316
"FAA",2013,"All","All","QUE",106,,
"FAA",2013,"All",6,"QUE",,,.9
"FAA",2013,"All",24,"QUE",,,.943181818181818
"FAA",2013,"All","All","RYE",225,,
"FAA",2013,"All",6,"RYE",,,.887323943661972
"FAA",2013,"All",24,"RYE",,,.930232558139535
"FAA",2013,"All","All","TOR",103,,
"FAA",2013,"All",6,"TOR",,,.855263157894737
"FAA",2013,"All",24,"TOR",,,.931818181818182
"FAA",2013,"All","All","TRE",24,,
"FAA",2013,"All",6,"TRE",,,.733333333333333
"FAA",2013,"All",24,"TRE",,,1
"FAA",2013,"All","All","WAT",37,,
"FAA",2013,"All",6,"WAT",,,.966666666666667
"FAA",2013,"All",24,"WAT",,,.909090909090909
"FAA",2013,"All","All","WES",42,,
"FAA",2013,"All",6,"WES",,,.911764705882353
"FAA",2013,"All",24,"WES",,,.864864864864865
"FAA",2013,"All","All","WLA",35,,
"FAA",2013,"All",6,"WLA",,,.958333333333333
"FAA",2013,"All",24,"WLA",,,1
"FAA",2013,"All","All","WIN",46,,
"FAA",2013,"All",6,"WIN",,,.815789473684211
"FAA",2013,"All",24,"WIN",,,.921052631578947
"FAA",2013,"All","All","YOR",233,,
"FAA",2013,"All",6,"YOR",,,.891509433962264
"FAA",2013,"All",24,"YOR",,,.940366972477064
"FAA",2013,"FT",6,"All",,638,.560632688927944
"FAA",2013,"PT",6,"All",,340,.298769771528998
"FAA",2013,"FT",24,"All",,835,.690653432588916
"FAA",2013,"PT",24,"All",,283,.234077750206782
"FSN",2013,"All","All","GUE",243,,
"FSN",2013,"All",6,"GUE",,,.87027027027027
"FSN",2013,"All",24,"GUE",,,.931707317073171
"FSN",2013,"All","All","OTT",24,,
"FSN",2013,"All",6,"OTT",,,.863636363636364
"FSN",2013,"All",24,"OTT",,,.956521739130435
"FSN",2013,"All","All","RYE",48,,
"FSN",2013,"All",6,"RYE",,,.8
"FSN",2013,"All",24,"RYE",,,.951219512195122
"FSN",2013,"All","All","TOR",24,,
"FSN",2013,"All",6,"TOR",,,.888888888888889
"FSN",2013,"All",24,"TOR",,,.875
"FSN",2013,"All","All","WES",102,,
"FSN",2013,"All",6,"WES",,,.852941176470588
"FSN",2013,"All",24,"WES",,,.931034482758621
"FSN",2013,"FT",6,"All",,171,.536050156739812
"FSN",2013,"PT",6,"All",,100,.313479623824451
"FSN",2013,"FT",24,"All",,261,.717032967032967
"FSN",2013,"PT",24,"All",,77,.211538461538462
"FOR",2013,"All","All","LAK",10,,
"FOR",2013,"All",6,"LAK",,,.9
"FOR",2013,"All",24,"LAK",,,1
"FOR",2013,"FT",6,"All",,10,.833333333333333
"FOR",2013,"FT",24,"All",,12,1
"HPR",2013,"All","All","BRO",58,,
"HPR",2013,"All",6,"BRO",,,.837837837837838
"HPR",2013,"All",24,"BRO",,,.945945945945946
"HPR",2013,"All","All","LAU",18,,
"HPR",2013,"All",6,"LAU",,,.764705882352941
"HPR",2013,"All",24,"LAU",,,.875
"HPR",2013,"All","All","MCM",195,,
"HPR",2013,"All",6,"MCM",,,.918181818181818
"HPR",2013,"All",24,"MCM",,,.942307692307692
"HPR",2013,"All","All","OTT",104,,
"HPR",2013,"All",6,"OTT",,,.9375
"HPR",2013,"All",24,"OTT",,,.862068965517241
"HPR",2013,"All","All","RYE",64,,
"HPR",2013,"All",6,"RYE",,,.631578947368421
"HPR",2013,"All",24,"RYE",,,.758064516129032
"HPR",2013,"All","All","TOR",155,,
"HPR",2013,"All",6,"TOR",,,.731182795698925
"HPR",2013,"All",24,"TOR",,,.9375
"HPR",2013,"All","All","UOI",90,,
"HPR",2013,"All",6,"UOI",,,.851351351351351
"HPR",2013,"All",24,"UOI",,,.924050632911392
"HPR",2013,"All","All","WAT",47,,
"HPR",2013,"All",6,"WAT",,,.730769230769231
"HPR",2013,"All",24,"WAT",,,.939393939393939
"HPR",2013,"All","All","WES",282,,
"HPR",2013,"All",6,"WES",,,.862903225806452
"HPR",2013,"All",24,"WES",,,.89922480620155
"HPR",2013,"FT",6,"All",,346,.583473861720067
"HPR",2013,"PT",6,"All",,143,.24114671163575
"HPR",2013,"FT",24,"All",,416,.670967741935484
"HPR",2013,"PT",24,"All",,143,.230645161290323
"HUM",2013,"All","All","ALG",12,,
"HUM",2013,"All",6,"ALG",,,1
"HUM",2013,"All",24,"ALG",,,1
"HUM",2013,"All","All","BRO",156,,
"HUM",2013,"All",6,"BRO",,,.919642857142857
"HUM",2013,"All",24,"BRO",,,.936619718309859
"HUM",2013,"All","All","CAR",272,,
"HUM",2013,"All",6,"CAR",,,.867256637168142
"HUM",2013,"All",24,"CAR",,,.918803418803419
"HUM",2013,"All","All","GUE",114,,
"HUM",2013,"All",6,"GUE",,,.869565217391304
"HUM",2013,"All",24,"GUE",,,.904761904761905
"HUM",2013,"All","All","LAK",71,,
"HUM",2013,"All",6,"LAK",,,.893939393939394
"HUM",2013,"All",24,"LAK",,,.9375
"HUM",2013,"All","All","LAU",69,,
"HUM",2013,"All",6,"LAU",,,.884615384615385
"HUM",2013,"All",24,"LAU",,,.890625
"HUM",2013,"All","All","MCM",212,,
"HUM",2013,"All",6,"MCM",,,.929032258064516
"HUM",2013,"All",24,"MCM",,,.943502824858757
"HUM",2013,"All","All","NIP",53,,
"HUM",2013,"All",6,"NIP",,,.894736842105263
"HUM",2013,"All",24,"NIP",,,.941176470588235
"HUM",2013,"All","All","OTT",344,,
"HUM",2013,"All",6,"OTT",,,.893835616438356
"HUM",2013,"All",24,"OTT",,,.932692307692308
"HUM",2013,"All","All","QUE",180,,
"HUM",2013,"All",6,"QUE",,,.892857142857143
"HUM",2013,"All",24,"QUE",,,.935251798561151
"HUM",2013,"All","All","RYE",55,,
"HUM",2013,"All",6,"RYE",,,.849056603773585
"HUM",2013,"All",24,"RYE",,,.886792452830189
"HUM",2013,"All","All","TOR",558,,
"HUM",2013,"All",6,"TOR",,,.848699763593381
"HUM",2013,"All",24,"TOR",,,.904555314533623
"HUM",2013,"All","All","TRE",113,,
"HUM",2013,"All",6,"TRE",,,.933333333333333
"HUM",2013,"All",24,"TRE",,,.924528301886792
"HUM",2013,"All","All","UOI",41,,
