Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
ALA	Architecture & Landscape Architecture               	Architecture et architecture paysagère
BCO	Business & Commerce                                 	Affaires et commerce
CSC	Computer Science                                    	Sciences informatiques
DEN	Dentistry                                           	Médecine dentaire
EDU	Education   (teacher training)                      	Éducation (formation des enseignants)
ENG	Engineering                                         	Ingénierie
FAA	Fine & Applied Arts                                 	Beaux-arts et arts appliqués
FOR	Forestry                                            	Foresterie
FSN	Food Science & Nutrition                            	Sciences alimentaires et nutrition
HPR	Health Professions                                  	Autres professions de la santé
HUM	Humanities                                          	Sciences humaines
JOU	Journalism                                          	Journalisme
KRP	Kinesiology / Recreation / Physical Education       	Kinésiologie, récréologie et éducation physique
LAW	Law                                                 	Droit
MAT	Mathematics                                         	Mathématiques
MED	Medicine                                            	Médecine 
NRE	Not reported                                        	Non reporté
NUR	Nursing                                             	Sciences infirmières
OAS	Other Arts & Science                                	Autres programmes en arts et en sciences
OPT	Optometry                                           	Optométrie
PHA	Pharmacy                                            	Pharmacie
PSC	Physical Sciences                                   	Sciences physiques
SSC	Social Sciences                                     	Sciences sociales
THE	Theology                                            	Théologie
TRE	Therapy & Rehabilitation                            	Thérapie et réadaptation
VME	Veterinary Medicine                                 	Médecine vétérinaire


NOC / CNP
---------

0   	Management occupations                                                                                                                                                                                                                                                	Gestion
00  	Management occupations -> Senior management occupations                                                                                                                                                                                                               	Gestion -> Cadres supérieurs/cadres supérieures
001 	Management occupations -> Senior management occupations -> Legislators and senior management                                                                                                                                                                          	Gestion -> Cadres supérieurs/cadres supérieures -> Membres des corps législatifs et cadres supérieurs/cadres supérieures
0011	Management occupations -> Senior management occupations -> Legislators                                                                                                                                                                                                	Gestion -> Cadres supérieurs/cadres supérieures -> Membres des corps législatifs
0012	Management occupations -> Senior management occupations -> Senior government managers and officials                                                                                                                                                                   	Gestion -> Cadres supérieurs/cadres supérieures -> Cadres supérieurs/cadres supérieures - administration publique
0013	Management occupations -> Senior management occupations -> Senior managers - financial, communications and other business services                                                                                                                                    	Gestion -> Cadres supérieurs/cadres supérieures -> Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises
0014	Management occupations -> Senior management occupations -> Senior managers - health, education, social and community services and membership organizations                                                                                                            	Gestion -> Cadres supérieurs/cadres supérieures -> Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles
0015	Management occupations -> Senior management occupations -> Senior managers - trade, broadcasting and other services, n.e.c.                                                                                                                                           	Gestion -> Cadres supérieurs/cadres supérieures -> Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a.
0016	Management occupations -> Senior management occupations -> Senior managers - construction, transportation, production and utilities                                                                                                                                   	Gestion -> Cadres supérieurs/cadres supérieures -> Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique
01  	Management occupations -> Specialized middle management occupations                                                                                                                                                                                                   	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées
011 	Management occupations -> Specialized middle management occupations -> Administrative services managers                                                                                                                                                               	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Membres des corps législatifs
0111	Management occupations -> Specialized middle management occupations -> Financial managers                                                                                                                                                                             	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs financiers/directrices financières
0112	Management occupations -> Specialized middle management occupations -> Human resources managers                                                                                                                                                                       	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des ressources humaines
0113	Management occupations -> Specialized middle management occupations -> Purchasing managers                                                                                                                                                                            	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des achats
0114	Management occupations -> Specialized middle management occupations -> Other administrative services managers                                                                                                                                                         	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices d'autres services administratifs
012 	Management occupations -> Specialized middle management occupations -> Managers in financial and business services                                                                                                                                                    	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Cadres supérieurs/cadres supérieures - administration publique
0121	Management occupations -> Specialized middle management occupations -> Insurance, real estate and financial brokerage managers                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des assurances, de l'immobilier et du courtage financier
0122	Management occupations -> Specialized middle management occupations -> Banking, credit and other investment managers                                                                                                                                                  	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de banque, du crédit et d'autres services de placements
0124	Management occupations -> Specialized middle management occupations -> Advertising, marketing and public relations managers                                                                                                                                           	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de la publicité, du marketing et des relations publiques
0125	Management occupations -> Specialized middle management occupations -> Other business services managers                                                                                                                                                               	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices d'autres services aux entreprises
0131	Management occupations -> Specialized middle management occupations -> Telecommunication carriers managers                                                                                                                                                            	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices d'entreprises de télécommunications
0132	Management occupations -> Specialized middle management occupations -> Postal and courier services managers                                                                                                                                                           	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des services postaux et de messageries
021 	Management occupations -> Specialized middle management occupations -> Managers in engineering, architecture, science and information systems                                                                                                                         	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des services de génie, d'architecture, de sciences et des systèmes informatiques
0211	Management occupations -> Specialized middle management occupations -> Engineering managers                                                                                                                                                                           	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des services de génie
0212	Management occupations -> Specialized middle management occupations -> Architecture and science managers                                                                                                                                                              	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des services d'architecture et de sciences
0213	Management occupations -> Specialized middle management occupations -> Computer and information systems managers                                                                                                                                                      	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Gestionnaires des systèmes informatiques
0311	Management occupations -> Specialized middle management occupations -> Managers in health care                                                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des soins de santé
041 	Management occupations -> Specialized middle management occupations -> Managers in public administration                                                                                                                                                              	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de la fonction publique
