"Year","Program","NOC","Employed","Self-Employed"
2012,"DEN",3113,16,16
2012,"EDU",0,3,0
2012,"EDU",1,1,1
2012,"EDU",13,1,1
2012,"EDU",14,1,0
2012,"EDU",15,1,0
2012,"EDU",1,1,0
2012,"EDU",112,2,0
2012,"EDU",113,1,0
2012,"EDU",114,2,1
2012,"EDU",121,1,0
2012,"EDU",122,3,0
2012,"EDU",124,1,0
2012,"EDU",211,1,0
2012,"EDU",213,1,0
2012,"EDU",4,1,0
2012,"EDU",413,1,0
2012,"EDU",42,3,0
2012,"EDU",421,3,0
2012,"EDU",422,6,1
2012,"EDU",423,2,0
2012,"EDU",432,1,0
2012,"EDU",512,2,0
2012,"EDU",513,4,0
2012,"EDU",6,3,0
2012,"EDU",601,4,0
2012,"EDU",621,6,0
2012,"EDU",631,3,0
2012,"EDU",632,3,0
2012,"EDU",651,0,1
2012,"EDU",711,1,0
2012,"EDU",714,2,0
2012,"EDU",912,1,0
2012,"EDU",1,1,0
2012,"EDU",1112,1,0
2012,"EDU",1114,1,1
2012,"EDU",112,2,0
2012,"EDU",1121,3,0
2012,"EDU",1122,2,0
2012,"EDU",1123,9,1
2012,"EDU",12,1,0
2012,"EDU",1215,1,0
2012,"EDU",122,1,0
2012,"EDU",1221,13,0
2012,"EDU",1223,3,0
2012,"EDU",1224,1,0
2012,"EDU",1226,1,1
2012,"EDU",1228,2,0
2012,"EDU",1241,17,0
2012,"EDU",1242,2,0
2012,"EDU",1243,1,0
2012,"EDU",1251,1,0
2012,"EDU",1254,2,0
2012,"EDU",1311,1,1
2012,"EDU",1312,2,0
2012,"EDU",1313,2,0
2012,"EDU",1411,9,0
2012,"EDU",1414,4,0
2012,"EDU",1415,1,0
2012,"EDU",1431,5,0
2012,"EDU",1434,1,0
2012,"EDU",1435,1,0
2012,"EDU",1451,6,0
2012,"EDU",1452,1,0
2012,"EDU",1523,1,0
2012,"EDU",1525,1,0
2012,"EDU",2111,1,0
2012,"EDU",2131,1,0
2012,"EDU",2161,1,0
2012,"EDU",2171,1,0
2012,"EDU",2172,1,0
2012,"EDU",2174,1,0
2012,"EDU",2211,1,0
2012,"EDU",222,1,0
2012,"EDU",2225,1,0
2012,"EDU",2242,1,0
2012,"EDU",2251,1,0
2012,"EDU",2263,3,0
2012,"EDU",2282,1,0
2012,"EDU",3,1,0
2012,"EDU",3012,2,0
2012,"EDU",3124,1,0
2012,"EDU",3143,1,0
2012,"EDU",3144,3,0
2012,"EDU",3211,1,0
2012,"EDU",3212,1,0
2012,"EDU",3222,1,0
2012,"EDU",3234,1,0
2012,"EDU",3237,2,0
2012,"EDU",3414,1,0
2012,"EDU",4,3,0
2012,"EDU",40,24,1
2012,"EDU",4011,11,0
2012,"EDU",4012,19,1
2012,"EDU",4021,35,0
2012,"EDU",403,417,3
2012,"EDU",4031,354,1
2012,"EDU",4032,1075,1
2012,"EDU",4033,7,0
2012,"EDU",4151,1,0
2012,"EDU",4152,1,0
2012,"EDU",4153,4,0
2012,"EDU",4154,1,0
2012,"EDU",4156,6,0
2012,"EDU",416,2,0
2012,"EDU",4161,5,0
2012,"EDU",4163,1,0
2012,"EDU",4164,7,0
2012,"EDU",4165,4,0
2012,"EDU",4166,22,1
2012,"EDU",4167,5,0
2012,"EDU",4169,1,0
2012,"EDU",42,1,0
2012,"EDU",4211,3,0
2012,"EDU",4212,17,0
2012,"EDU",4214,114,1
2012,"EDU",4215,11,1
2012,"EDU",4216,9,9
2012,"EDU",4311,2,0
2012,"EDU",4411,4,2
2012,"EDU",4412,3,0
2012,"EDU",4413,39,0
2012,"EDU",5111,2,0
2012,"EDU",5121,1,0
2012,"EDU",5122,1,0
2012,"EDU",5125,1,0
2012,"EDU",5131,1,0
2012,"EDU",5133,2,2
2012,"EDU",5134,0,1
2012,"EDU",5136,2,1
2012,"EDU",5211,4,0
2012,"EDU",5212,2,0
2012,"EDU",5221,0,1
2012,"EDU",5222,1,0
2012,"EDU",5225,0,1
2012,"EDU",5226,1,1
2012,"EDU",5241,2,1
2012,"EDU",5252,7,1
2012,"EDU",5253,1,0
2012,"EDU",5254,7,2
2012,"EDU",6,1,0
2012,"EDU",6211,10,0
2012,"EDU",6221,5,0
2012,"EDU",6231,1,0
