"Year","College","MTCUCode","Entrants","Graduates"
"16-17","ALGO","41469",176,144
"15-16","ALGO","41469",190,153
"14-15","ALGO","41469",180,142
"12-13","ALGO","41469",157,135
"13-14","ALGO","41469",176,142
"13-14","ALGO","41603",36,23
"12-13","ALGO","41603",23,16
"15-16","ALGO","41603",41,34
"14-15","ALGO","41603",40,28
"16-17","ALGO","41603",32,15
"16-17","ALGO","41605",19,14
"15-16","ALGO","41605",22,15
"13-14","ALGO","41605",17,15
"14-15","ALGO","41605",33,24
"12-13","ALGO","41605",18,17
"16-17","ALGO","41622",26,21
"16-17","ALGO","41629",44,41
"14-15","ALGO","41629",51,42
"13-14","ALGO","41629",58,41
"15-16","ALGO","41629",54,49
"12-13","ALGO","41629",59,47
"16-17","ALGO","41911",23,18
"14-15","ALGO","42305",19,16
"13-14","ALGO","42305",23,21
"12-13","ALGO","42313",143,85
"13-14","ALGO","42313",141,94
"14-15","ALGO","42313",185,109
"15-16","ALGO","42313",261,154
"16-17","ALGO","42313",315,207
"16-17","ALGO","43006",56,51
"13-14","ALGO","43006",48,43
"12-13","ALGO","43006",54,53
"14-15","ALGO","43006",53,48
"15-16","ALGO","43006",58,51
"15-16","ALGO","43106",117,98
"14-15","ALGO","43106",138,96
"12-13","ALGO","43106",87,69
"13-14","ALGO","43106",102,81
"16-17","ALGO","43106",140,103
"16-17","ALGO","43107",122,82
"12-13","ALGO","43107",99,51
"14-15","ALGO","43107",130,81
"13-14","ALGO","43107",117,63
"15-16","ALGO","43107",149,91
"15-16","ALGO","43108",79,34
"14-15","ALGO","43108",42,28
"16-17","ALGO","43108",76,35
"12-13","ALGO","43901",31,24
"14-15","ALGO","44900",42,24
"15-16","ALGO","44900",43,33
"16-17","ALGO","44900",63,46
"16-17","ALGO","45211",32,29
"15-16","ALGO","45211",35,28
"12-13","ALGO","45211",29,16
"14-15","ALGO","45211",27,16
"13-14","ALGO","45211",33,21
"16-17","ALGO","47600",21,21
"16-17","ALGO","50100",195,77
"14-15","ALGO","50100",179,80
"12-13","ALGO","50100",126,64
"13-14","ALGO","50100",158,68
"15-16","ALGO","50100",175,62
"14-15","ALGO","50102",61,37
"15-16","ALGO","50102",55,33
"13-14","ALGO","50102",59,37
"12-13","ALGO","50102",61,43
"16-17","ALGO","50102",64,45
"16-17","ALGO","50200",46,33
"13-14","ALGO","50200",33,24
"12-13","ALGO","50200",35,22
"15-16","ALGO","50200",19,11
"14-15","ALGO","50200",27,21
"13-14","ALGO","50200",149,78
"15-16","ALGO","50200",142,69
"12-13","ALGO","50200",192,92
"16-17","ALGO","50200",180,96
"14-15","ALGO","50231",172,67
"12-13","ALGO","50243",44,33
"13-14","ALGO","50243",46,37
"15-16","ALGO","50243",48,42
"14-15","ALGO","50243",51,44
"16-17","ALGO","50243",55,50
"16-17","ALGO","50265",77,64
"14-15","ALGO","50265",56,50
"15-16","ALGO","50265",69,52
"13-14","ALGO","50265",46,33
"12-13","ALGO","50503",73,41
"13-14","ALGO","50503",88,60
"15-16","ALGO","50503",122,67
"14-15","ALGO","50503",76,38
"16-17","ALGO","50503",126,66
"16-17","ALGO","50505",165,79
"15-16","ALGO","50505",205,111
"12-13","ALGO","50505",169,92
"13-14","ALGO","50505",198,128
"14-15","ALGO","50505",181,100
"14-15","ALGO","50513",24,13
"15-16","ALGO","50513",42,25
"13-14","ALGO","50513",28,18
"12-13","ALGO","50513",25,14
"16-17","ALGO","50513",39,25
"16-17","ALGO","50600",169,87
"13-14","ALGO","50600",119,73
"14-15","ALGO","50600",154,92
"12-13","ALGO","50600",70,27
"15-16","ALGO","50600",146,80
"12-13","ALGO","50705",47,35
"14-15","ALGO","50705",56,41
"15-16","ALGO","50705",46,35
"13-14","ALGO","50705",45,37
"16-17","ALGO","50705",70,48
"16-17","ALGO","50721",145,125
"12-13","ALGO","50721",134,115
"14-15","ALGO","50721",151,121
"15-16","ALGO","50721",141,124
"13-14","ALGO","50721",151,127
"13-14","ALGO","50805",39,27
"15-16","ALGO","50805",35,33
"12-13","ALGO","50805",35,27
"14-15","ALGO","50805",38,30
"16-17","ALGO","50805",36,31
"16-17","ALGO","51021",60,29
"12-13","ALGO","51021",46,23
"14-15","ALGO","51021",33,22
"15-16","ALGO","51021",44,26
"13-14","ALGO","51021",71,34
"13-14","ALGO","51211",229,176
"15-16","ALGO","51211",315,233
"14-15","ALGO","51211",246,190
"12-13","ALGO","51211",199,146
"16-17","ALGO","51211",392,296
"16-17","ALGO","51407",242,188
"14-15","ALGO","51407",204,148
"12-13","ALGO","51407",189,153
"15-16","ALGO","51407",205,162
"13-14","ALGO","51407",203,148
"13-14","ALGO","51603",67,32
"14-15","ALGO","51603",47,32
"15-16","ALGO","51603",51,33
"12-13","ALGO","51603",50,33
"16-17","ALGO","51603",65,48
"13-14","ALGO","51628",55,52
"12-13","ALGO","51628",59,57
"14-15","ALGO","51628",54,49
"15-16","ALGO","51637",48,31
"14-15","ALGO","51637",49,40
"12-13","ALGO","51637",45,36
"13-14","ALGO","51637",45,32
"16-17","ALGO","51637",66,51
"16-17","ALGO","51641",116,73
"14-15","ALGO","51641",117,82
"13-14","ALGO","51641",116,80
"12-13","ALGO","51641",121,84
"15-16","ALGO","51641",104,72
"13-14","ALGO","51831",67,42
"15-16","ALGO","51831",67,44
"14-15","ALGO","51831",59,32
"12-13","ALGO","51831",63,35
"16-17","ALGO","51831",66,41
"16-17","ALGO","51838",36,32
"13-14","ALGO","51838",40,27
"14-15","ALGO","51838",35,28
"15-16","ALGO","51838",44,37
"12-13","ALGO","51838",44,29
"16-17","ALGO","51900",24,15
"16-17","ALGO","51903",48,33
"14-15","ALGO","51903",42,26
"15-16","ALGO","51903",47,36
"13-14","ALGO","51903",44,31
"12-13","ALGO","51903",48,34
"12-13","ALGO","51904",63,48
"15-16","ALGO","51904",67,48
"13-14","ALGO","51904",62,47
"14-15","ALGO","51904",61,43
"16-17","ALGO","51904",71,56
"16-17","ALGO","51911",23,14
"13-14","ALGO","51911",32,21
"12-13","ALGO","51911",36,25
"14-15","ALGO","51911",32,19
"15-16","ALGO","51911",25,12
"14-15","ALGO","52001",39,20
"15-16","ALGO","52001",41,27
"12-13","ALGO","52001",35,24
"13-14","ALGO","52001",34,19
"16-17","ALGO","52001",51,36
"16-17","ALGO","52005",52,34
"15-16","ALGO","52005",52,39
"14-15","ALGO","52005",53,38
"12-13","ALGO","52005",54,34
"13-14","ALGO","52005",46,32
"15-16","ALGO","52201",59,30
"12-13","ALGO","52201",61,38
"13-14","ALGO","52201",51,30
"14-15","ALGO","52201",64,32
"16-17","ALGO","52201",66,26
"16-17","ALGO","52201",31,14
"12-13","ALGO","52201",29,17
"15-16","ALGO","52201",29,10
"13-14","ALGO","52201",33,15
"12-13","ALGO","52203",57,40
"15-16","ALGO","52203",65,42
