"University","Year","Program","GraduationRate"
"BRO",2014,"ABS",.653
"BRO",2014,"BCO",.766
"BRO",2014,"CSC",.529
"BRO",2014,"EDU",.984
"BRO",2014,"FAA",.698
"BRO",2014,"HUM",.651
"BRO",2014,"KRP",.818
"BRO",2014,"MAT",.727
"BRO",2014,"NUR",.885
"BRO",2014,"OAS",.634
"BRO",2014,"OHP",.692
"BRO",2014,"PSC",.628
"BRO",2014,"SSC",.687
"BRO",2014,"OAV",.742
"BRO",2013,"ABS",.706
"BRO",2013,"BCO",.708
"BRO",2013,"CSC",.425
"BRO",2013,"EDU",.99
"BRO",2013,"FAA",.654
"BRO",2013,"HUM",.661
"BRO",2013,"KRP",.823
"BRO",2013,"MAT",.6
"BRO",2013,"OAS",.67
"BRO",2013,"OHP",.674
"BRO",2013,"PSC",.68
"BRO",2013,"SSC",.671
"BRO",2013,"OAV",.744
"BRO",2012,"ABS",.742
"BRO",2012,"BCO",.742
"BRO",2012,"CSC",.583
"BRO",2012,"EDU",.991
"BRO",2012,"FAA",.627
"BRO",2012,"HUM",.667
"BRO",2012,"KRP",.791
"BRO",2012,"MAT",.64
"BRO",2012,"OAS",.645
"BRO",2012,"OHP",.624
"BRO",2012,"PSC",.542
"BRO",2012,"SSC",.71
"BRO",2012,"OAV",.745
"BRO",2011,"ABS",.579
"BRO",2011,"BCO",.734
"BRO",2011,"CSC",.523
"BRO",2011,"EDU",.988
"BRO",2011,"FAA",.702
"BRO",2011,"HUM",.658
"BRO",2011,"KRP",.775
"BRO",2011,"MAT",.655
"BRO",2011,"OAS",.717
"BRO",2011,"OHP",.663
"BRO",2011,"PSC",.593
"BRO",2011,"SSC",.716
"BRO",2011,"OAV",.751
"BRO",2010,"ABS",.727
"BRO",2010,"BCO",.837
"BRO",2010,"CSC",.588
"BRO",2010,"EDU",.985
"BRO",2010,"FAA",.745
"BRO",2010,"HUM",.75
"BRO",2010,"KRP",.861
"BRO",2010,"MAT",.91
"BRO",2010,"OAS",.718
"BRO",2010,"OHP",.738
"BRO",2010,"PSC",.731
"BRO",2010,"SSC",.748
"BRO",2010,"OAV",.801
"BRO",2009,"ABS",.792
"BRO",2009,"BCO",.76
"BRO",2009,"CSC",.737
"BRO",2009,"EDU",.948
"BRO",2009,"FAA",.841
"BRO",2009,"HUM",.742
"BRO",2009,"KRP",.851
"BRO",2009,"MAT",.6
"BRO",2009,"OAS",.758
"BRO",2009,"OHP",.739
"BRO",2009,"PSC",.533
"BRO",2009,"SSC",.77
"BRO",2009,"OAV",.808
"BRO",2008,"ABS",.735
"BRO",2008,"BCO",.809
"BRO",2008,"CSC",.625
"BRO",2008,"EDU",.946
"BRO",2008,"FAA",.716
"BRO",2008,"HUM",.734
"BRO",2008,"KRP",.849
"BRO",2008,"MAT",.885
"BRO",2008,"OAS",.687
"BRO",2008,"OHP",.757
"BRO",2008,"PSC",.75
"BRO",2008,"SSC",.765
"BRO",2007,"ABS",.66
"BRO",2007,"BCO",.744
"BRO",2007,"CSC",.585
"BRO",2007,"EDU",.951
"BRO",2007,"FAA",.709
"BRO",2007,"HUM",.697
"BRO",2007,"KRP",.833
"BRO",2007,"MAT",.778
"BRO",2007,"OAS",.681
"BRO",2007,"OHP",.732
"BRO",2007,"PSC",.429
"BRO",2007,"SSC",.746
"BRO",2007,"OAV",.786
"BRO",2006,"ABS",.57
"BRO",2006,"BCO",.693
"BRO",2006,"CSC",.629
"BRO",2006,"EDU",.958
"BRO",2006,"FAA",.694
"BRO",2006,"HUM",.674
"BRO",2006,"KRP",.789
"BRO",2006,"MAT",.68
"BRO",2006,"OAS",.552
"BRO",2006,"OHP",.652
"BRO",2006,"PSC",.615
"BRO",2006,"SSC",.723
"BRO",2006,"OAV",.745
"BRO",2005,"ABS",.607
"BRO",2005,"BCO",.72
"BRO",2005,"CSC",.542
"BRO",2005,"EDU",.997
"BRO",2005,"FAA",.651
"BRO",2005,"HUM",.65
"BRO",2005,"KRP",.761
"BRO",2005,"MAT",.813
"BRO",2005,"OAS",.527
"BRO",2005,"OHP",.622
"BRO",2005,"PSC",.588
"BRO",2005,"SSC",.663
"BRO",2004,"ABS",.653
"BRO",2004,"BCO",.662
"BRO",2004,"CSC",.47
"BRO",2004,"EDU",.986
"BRO",2004,"FAA",.765
"BRO",2004,"HUM",.625
"BRO",2004,"KRP",.772
"BRO",2004,"MAT",.846
"BRO",2004,"OAS",.568
"BRO",2004,"OHP",.771
"BRO",2004,"PSC",.318
"BRO",2004,"SSC",.705
"BRO",2003,"ABS",.636
"BRO",2003,"BCO",.73
"BRO",2003,"CSC",.311
"BRO",2003,"EDU",.994
"BRO",2003,"FAA",.692
"BRO",2003,"HUM",.688
"BRO",2003,"KRP",.808
"BRO",2003,"MAT",.73
"BRO",2003,"OAS",.615
"BRO",2003,"PSC",.464
"BRO",2003,"SSC",.737
"CAR",2014,"ABS",.67
"CAR",2014,"ARC",.929
"CAR",2014,"BCO",.783
"CAR",2014,"CSC",.487
"CAR",2014,"ENG",.759
"CAR",2014,"FAA",.548
"CAR",2014,"HUM",.616
"CAR",2014,"JOU",.746
"CAR",2014,"MAT",.588
"CAR",2014,"OAS",.744
"CAR",2014,"PSC",.769
"CAR",2014,"SSC",.671
"CAR",2013,"ABS",.745
"CAR",2013,"ARC",.938
"CAR",2013,"BCO",.765
"CAR",2013,"CSC",.592
"CAR",2013,"ENG",.729
"CAR",2013,"FAA",.644
"CAR",2013,"HUM",.61
"CAR",2013,"JOU",.802
"CAR",2013,"MAT",.649
"CAR",2013,"OAS",.753
"CAR",2013,"PSC",.69
"CAR",2013,"SSC",.671
"CAR",2012,"ABS",.629
"CAR",2012,"ARC",.93
"CAR",2012,"BCO",.743
"CAR",2012,"CSC",.746
"CAR",2012,"ENG",.709
"CAR",2012,"FAA",.691
"CAR",2012,"HUM",.608
"CAR",2012,"JOU",.835
"CAR",2012,"MAT",.667
"CAR",2012,"OAS",.716
"CAR",2012,"PSC",.702
"CAR",2012,"SSC",.681
"CAR",2011,"ABS",.657
"CAR",2011,"ARC",.952
"CAR",2011,"BCO",.784
"CAR",2011,"CSC",.603
"CAR",2011,"ENG",.763
"CAR",2011,"FAA",.784
"CAR",2011,"HUM",.612
"CAR",2011,"JOU",.826
"CAR",2011,"MAT",.622
"CAR",2011,"OAS",.746
"CAR",2011,"PSC",.733
"CAR",2011,"SSC",.696
"CAR",2010,"ABS",.665
"CAR",2010,"ARC",.833
"CAR",2010,"BCO",.782
"CAR",2010,"CSC",.518
"CAR",2010,"ENG",.721
"CAR",2010,"FAA",.766
"CAR",2010,"HUM",.631
"CAR",2010,"JOU",.778
"CAR",2010,"MAT",.656
"CAR",2010,"OAS",.803
"CAR",2010,"OHP",.421
"CAR",2010,"PSC",.732
"CAR",2010,"SSC",.732
"CAR",2009,"ABS",.689
"CAR",2009,"ARC",.862
"CAR",2009,"BCO",.809
"CAR",2009,"CSC",.66
"CAR",2009,"ENG",.784
"CAR",2009,"FAA",.633
"CAR",2009,"HUM",.604
"CAR",2009,"JOU",.743
"CAR",2009,"MAT",.688
"CAR",2009,"OAS",.639
"CAR",2009,"PSC",.773
"CAR",2009,"SSC",.699
"CAR",2008,"ABS",.685
"CAR",2008,"ARC",.77
"CAR",2008,"BCO",.79
"CAR",2008,"CSC",.591
"CAR",2008,"ENG",.769
"CAR",2008,"FAA",.626
"CAR",2008,"HUM",.616
"CAR",2008,"JOU",.764
"CAR",2008,"MAT",.58
"CAR",2008,"OAS",.596
"CAR",2008,"PSC",.686
"CAR",2008,"SSC",.697
"CAR",2007,"ABS",.769
"CAR",2007,"ARC",.836
"CAR",2007,"BCO",.77
"CAR",2007,"CSC",.613
"CAR",2007,"ENG",.731
"CAR",2007,"FAA",.578
"CAR",2007,"HUM",.608
"CAR",2007,"JOU",.786
"CAR",2007,"MAT",.537
"CAR",2007,"OAS",.634
"CAR",2007,"PSC",.783
"CAR",2007,"SSC",.661
"CAR",2006,"ABS",.588
"CAR",2006,"ARC",.731
"CAR",2006,"BCO",.743
"CAR",2006,"CSC",.567
"CAR",2006,"ENG",.673
"CAR",2006,"FAA",.6
"CAR",2006,"HUM",.469
"CAR",2006,"JOU",.752
"CAR",2006,"MAT",.583
"CAR",2006,"OAS",.58
"CAR",2006,"PSC",.522
"CAR",2006,"SSC",.558
"CAR",2005,"ABS",.63
"CAR",2005,"ARC",.723
"CAR",2005,"BCO",.726
"CAR",2005,"CSC",.624
"CAR",2005,"ENG",.681
"CAR",2005,"FAA",.593
"CAR",2005,"HUM",.527
"CAR",2005,"JOU",.754
"CAR",2005,"MAT",.636
"CAR",2005,"OAS",.529
"CAR",2005,"PSC",.65
"CAR",2005,"SSC",.588
"CAR",2004,"ABS",.591
"CAR",2004,"ARC",.745
"CAR",2004,"BCO",.666
"CAR",2004,"CSC",.558
"CAR",2004,"ENG",.677
"CAR",2004,"FAA",.603
"CAR",2004,"HUM",.481
"CAR",2004,"JOU",.743
"CAR",2004,"MAT",.583
"CAR",2004,"OAS",.57
"CAR",2004,"PSC",.522
"CAR",2004,"SSC",.573
"CAR",2003,"ABS",.591
"CAR",2003,"ARC",.745
"CAR",2003,"BCO",.666
"CAR",2003,"CSC",.558
"CAR",2003,"ENG",.677
"CAR",2003,"FAA",.603
"CAR",2003,"HUM",.481
"CAR",2003,"JOU",.743
"CAR",2003,"MAT",.583
"CAR",2003,"OAS",.57
"CAR",2003,"PSC",.522
"CAR",2003,"SSC",.573
"LAK",2014,"ABS",.75
"LAK",2014,"BCO",.71
"LAK",2014,"CSC",.92
"LAK",2014,"EDU",.99
"LAK",2014,"ENG",.69
"LAK",2014,"FAA",.73
"LAK",2014,"FOR",.75
"LAK",2014,"HUM",.78
"LAK",2014,"KRP",.71
"LAK",2014,"MAT",.81
"LAK",2014,"NUR",.93
"LAK",2014,"OAS",.6
"LAK",2014,"PSC",.65
"LAK",2014,"SSC",.66
"LAK",2014,"OAV",.795
"LAK",2013,"ABS",.773
"LAK",2013,"BCO",.747
"LAK",2013,"CSC",.727
"LAK",2013,"EDU",.98
"LAK",2013,"ENG",.707
"LAK",2013,"FAA",.781
"LAK",2013,"FOR",.682
"LAK",2013,"HUM",.703
"LAK",2013,"KRP",.697
"LAK",2013,"MAT",.636
"LAK",2013,"NUR",.845
"LAK",2013,"OAS",.641
"LAK",2013,"PSC",.769
"LAK",2013,"SSC",.665
"LAK",2013,"OAV",.777
"LAK",2012,"ABS",.764
"LAK",2012,"BCO",.704
"LAK",2012,"CSC",.636
"LAK",2012,"EDU",.971
"LAK",2012,"ENG",.707
"LAK",2012,"FAA",.6
"LAK",2012,"FOR",.727
"LAK",2012,"HUM",.756
"LAK",2012,"KRP",.79
"LAK",2012,"MAT",.8
"LAK",2012,"NUR",.825
"LAK",2012,"OAS",.512
"LAK",2012,"PSC",.652
"LAK",2012,"SSC",.749
"LAK",2012,"OAV",.799
"LAK",2011,"ABS",.831
"LAK",2011,"BCO",.722
"LAK",2011,"CSC",.636
"LAK",2011,"EDU",.969
"LAK",2011,"ENG",.627
"LAK",2011,"FAA",.758
"LAK",2011,"FOR",.742
"LAK",2011,"HUM",.727
"LAK",2011,"KRP",.719
"LAK",2011,"MAT",.875
"LAK",2011,"NUR",.859
"LAK",2011,"OAS",.536
"LAK",2011,"PSC",.792
"LAK",2011,"SSC",.7
"LAK",2011,"OAV",.773
"LAK",2010,"ABS",.798
"LAK",2010,"BCO",.738
"LAK",2010,"CSC",.545
"LAK",2010,"EDU",.984
"LAK",2010,"FAA",.816
"LAK",2010,"FOR",.68
"LAK",2010,"HUM",.743
"LAK",2010,"KRP",.735
"LAK",2010,"MAT",.658
"LAK",2010,"NUR",.813
"LAK",2010,"OAS",.602
"LAK",2010,"PSC",.774
"LAK",2010,"SSC",.725
"LAK",2010,"OAV",.788
"LAK",2009,"ABS",.859
"LAK",2009,"BCO",.726
"LAK",2009,"CSC",.722
"LAK",2009,"EDU",.992
"LAK",2009,"FAA",.727
"LAK",2009,"FOR",.625
"LAK",2009,"HUM",.788
"LAK",2009,"KRP",.745
"LAK",2009,"MAT",.765
"LAK",2009,"NUR",.93
"LAK",2009,"OAS",.585
"LAK",2009,"PSC",.778
"LAK",2009,"SSC",.747
"LAK",2009,"OAV",.815
"LAK",2008,"ABS",.733
"LAK",2008,"BCO",.75
"LAK",2008,"CSC",.813
"LAK",2008,"EDU",.983
"LAK",2008,"FAA",.652
"LAK",2008,"FOR",.714
"LAK",2008,"HUM",.772
"LAK",2008,"KRP",.784
"LAK",2008,"MAT",.706
"LAK",2008,"NUR",.842
"LAK",2008,"OAS",.55
"LAK",2008,"PSC",.875
"LAK",2008,"SSC",.731
"LAK",2007,"ABS",.889
"LAK",2007,"BCO",.793
"LAK",2007,"CSC",.75
"LAK",2007,"EDU",.986
"LAK",2007,"FAA",.643
"LAK",2007,"FOR",.724
"LAK",2007,"HUM",.796
"LAK",2007,"KRP",.788
"LAK",2007,"MAT",.762
"LAK",2007,"NUR",.893
"LAK",2007,"OAS",.6
"LAK",2007,"PSC",.762
"LAK",2007,"SSC",.718
"LAK",2007,"OAV",.819
"LAK",2006,"ABS",.843
"LAK",2006,"BCO",.67
"LAK",2006,"CSC",.714
"LAK",2006,"EDU",.983
"LAK",2006,"FAA",.4
"LAK",2006,"FOR",.865
"LAK",2006,"HUM",.815
"LAK",2006,"KRP",.764
"LAK",2006,"MAT",.765
"LAK",2006,"NUR",.667
"LAK",2006,"OAS",.569
"LAK",2006,"PSC",.882
"LAK",2006,"SSC",.701
"LAK",2005,"ABS",.638
"LAK",2005,"BCO",.684
"LAK",2005,"CSC",.4
"LAK",2005,"EDU",.892
"LAK",2005,"FAA",.385
"LAK",2005,"FOR",.654
"LAK",2005,"HUM",.639
"LAK",2005,"KRP",.698
"LAK",2005,"MAT",.4
"LAK",2005,"NUR",.6
"LAK",2005,"OAS",.346
"LAK",2005,"PSC",.722
"LAK",2005,"SSC",.617
"LAK",2005,"OAV",.73
"LAK",2004,"ABS",.729
"LAK",2004,"BCO",.713
"LAK",2004,"CSC",.641
"LAK",2004,"EDU",.876
"LAK",2004,"FAA",.609
"LAK",2004,"FOR",.606
"LAK",2004,"HUM",.564
"LAK",2004,"KRP",.768
"LAK",2004,"MAT",.6
"LAK",2004,"NUR",.5
"LAK",2004,"OAS",.417
"LAK",2004,"PSC",.714
"LAK",2004,"SSC",.54
"LAK",2004,"OAV",.731
"LAK",2003,"ABS",.681
"LAK",2003,"BCO",.667
"LAK",2003,"CSC",.528
"LAK",2003,"EDU",.903
"LAK",2003,"FAA",.481
"LAK",2003,"FOR",.75
"LAK",2003,"HUM",.457
"LAK",2003,"KRP",.797
"LAK",2003,"MAT",.667
"LAK",2003,"NUR",.926
"LAK",2003,"OAS",.459
"LAK",2003,"PSC",.654
"LAK",2003,"SSC",.604
"LAK",2003,"OAV",.742
"LAU",2014,"ABS",.708
"LAU",2014,"BCO",.702
"LAU",2014,"CSC",.545
"LAU",2014,"EDU",.902
"LAU",2014,"ENG",.714
"LAU",2014,"FAA",.625
"LAU",2014,"HUM",.463
"LAU",2014,"KRP",.855
"LAU",2014,"MAT",.625
"LAU",2014,"NUR",.791
"LAU",2014,"OAS",.611
"LAU",2014,"OHP",.719
"LAU",2014,"PSC",.714
"LAU",2014,"SSC",.5
"LAU",2014,"OAV",.723
"LAU",2013,"ABS",.632
"LAU",2013,"BCO",.657
"LAU",2013,"CSC",.583
"LAU",2013,"EDU",.884
"LAU",2013,"ENG",.613
"LAU",2013,"FAA",.6
"LAU",2013,"HUM",.568
"LAU",2013,"KRP",.793
"LAU",2013,"MAT",.875
"LAU",2013,"NUR",.643
"LAU",2013,"OAS",.625
"LAU",2013,"OHP",.7
"LAU",2013,"PSC",.75
"LAU",2013,"SSC",.464
"LAU",2013,"OAV",.699
"LAU",2012,"ABS",.706
"LAU",2012,"BCO",.676
"LAU",2012,"CSC",.571
"LAU",2012,"EDU",.895
"LAU",2012,"ENG",.692
"LAU",2012,"FAA",.79
"LAU",2012,"HUM",.692
"LAU",2012,"KRP",.695
"LAU",2012,"MAT",.7
"LAU",2012,"NUR",.8
"LAU",2012,"OAS",.586
"LAU",2012,"OHP",.833
"LAU",2012,"PSC",.5
"LAU",2012,"SSC",.583
"LAU",2012,"OAV",.703
"LAU",2011,"ABS",.643
"LAU",2011,"BCO",.717
"LAU",2011,"CSC",.652
"LAU",2011,"EDU",.891
"LAU",2011,"ENG",.714
"LAU",2011,"FAA",.429
"LAU",2011,"HUM",.6
"LAU",2011,"KRP",.912
"LAU",2011,"NUR",.844
"LAU",2011,"OAS",.611
"LAU",2011,"OHP",.818
"LAU",2011,"SSC",.598
"LAU",2011,"OAV",.709
"LAU",2010,"ABS",.864
"LAU",2010,"BCO",.701
"LAU",2010,"CSC",.615
"LAU",2010,"EDU",.956
"LAU",2010,"ENG",.455
"LAU",2010,"FAA",.8
"LAU",2010,"HUM",.583
"LAU",2010,"KRP",.894
"LAU",2010,"NUR",.932
"LAU",2010,"OAS",.672
"LAU",2010,"OHP",.857
"LAU",2010,"SSC",.744
"LAU",2010,"OAV",.731
"LAU",2009,"ABS",.68
"LAU",2009,"BCO",.726
"LAU",2009,"CSC",.409
"LAU",2009,"EDU",.97
"LAU",2009,"ENG",.438
"LAU",2009,"FAA",.636
"LAU",2009,"HUM",.65
"LAU",2009,"KRP",.881
"LAU",2009,"MAT",.25
"LAU",2009,"NUR",.736
"LAU",2009,"OAS",.652
"LAU",2009,"SSC",.617
"LAU",2009,"OAV",.709
"LAU",2008,"ABS",.64
"LAU",2008,"BCO",.734
"LAU",2008,"CSC",.486
"LAU",2008,"EDU",.943
"LAU",2008,"ENG",.455
"LAU",2008,"FAA",.8
"LAU",2008,"HUM",.692
"LAU",2008,"KRP",.85
"LAU",2008,"MAT",.75
"LAU",2008,"NUR",.864
"LAU",2008,"OAS",.642
"LAU",2008,"PSC",.8
"LAU",2008,"SSC",.591
"LAU",2007,"ABS",.717
"LAU",2007,"BCO",.664
"LAU",2007,"CSC",.542
"LAU",2007,"EDU",.938
"LAU",2007,"ENG",.455
"LAU",2007,"FAA",.8
"LAU",2007,"HUM",.714
"LAU",2007,"KRP",.705
"LAU",2007,"MAT",.9
"LAU",2007,"NUR",.845
"LAU",2007,"OAS",.631
"LAU",2007,"PSC",.857
"LAU",2007,"SSC",.508
"LAU",2007,"OAV",.689
"LAU",2006,"ABS",.671
"LAU",2006,"BCO",.669
"LAU",2006,"CSC",.412
"LAU",2006,"EDU",.947
"LAU",2006,"ENG",.308
"LAU",2006,"FAA",.75
"LAU",2006,"HUM",.727
"LAU",2006,"KRP",.704
"LAU",2006,"MAT",.75
"LAU",2006,"NUR",.792
"LAU",2006,"OAS",.533
"LAU",2006,"OHP",.875
"LAU",2006,"SSC",.535
"LAU",2005,"ABS",.596
"LAU",2005,"BCO",.708
"LAU",2005,"CSC",.697
"LAU",2005,"EDU",.967
"LAU",2005,"ENG",.387
"LAU",2005,"FAA",1
"LAU",2005,"HUM",.629
"LAU",2005,"KRP",.697
"LAU",2005,"MAT",.5
"LAU",2005,"NUR",.705
"LAU",2005,"OAS",.565
"LAU",2005,"PSC",.375
"LAU",2005,"SSC",.582
"LAU",2005,"OAV",.649
"LAU",2004,"ABS",.638
"LAU",2004,"BCO",.68
"LAU",2004,"CSC",.429
"LAU",2004,"EDU",.971
"LAU",2004,"ENG",.38
"LAU",2004,"FAA",.571
"LAU",2004,"HUM",.636
"LAU",2004,"KRP",.766
"LAU",2004,"MAT",.75
"LAU",2004,"NUR",.736
"LAU",2004,"OAS",.571
"LAU",2004,"PSC",.586
"LAU",2004,"SSC",.553
"LAU",2003,"ABS",.633
"LAU",2003,"BCO",.634
"LAU",2003,"CSC",.222
"LAU",2003,"EDU",.986
"LAU",2003,"ENG",.324
"LAU",2003,"HUM",.696
