"Occupation","WageRate","Year","Value"
"MAN","TE",1997,403.2
"MAN","TE",1998,400.6
"MAN","TE",1999,394.6
"MAN","TE",2000,389.6
"MAN","TE",2001,382.9
"MAN","TE",2002,391.1
"MAN","TE",2003,402.9
"MAN","TE",2004,441.4
"MAN","TE",2005,440.3
"MAN","TE",2006,467.2
"MAN","TE",2007,443.6
"MAN","TE",2008,471.6
"MAN","TE",2009,444.3
"MAN","TE",2010,436.4
"MAN","TE",2011,425.1
"MAN","TE",2012,430.9
"MAN","TE",2013,417.3
"MAN","TE",2014,393.2
"MAN","TE",2015,377.4
"MAN","TE",2016,392.3
"MAN","AH",1997,23.23
"MAN","AH",1998,22.64
"MAN","AH",1999,25.58
"MAN","AH",2000,27.05
"MAN","AH",2001,28.31
"MAN","AH",2002,29.11
"MAN","AH",2003,29.77
"MAN","AH",2004,30.96
"MAN","AH",2005,31.01
"MAN","AH",2006,32.79
"MAN","AH",2007,33.79
"MAN","AH",2008,34.36
"MAN","AH",2009,35
"MAN","AH",2010,36.1
"MAN","AH",2011,36.61
"MAN","AH",2012,38.45
"MAN","AH",2013,39.38
"MAN","AH",2014,40.87
"MAN","AH",2015,41.92
"MAN","AH",2016,44.14
"MAN","AW",1997,947.38
"MAN","AW",1998,910.42
"MAN","AW",1999,1036.02
"MAN","AW",2000,1097
"MAN","AW",2001,1151.26
"MAN","AW",2002,1178.63
"MAN","AW",2003,1206.06
"MAN","AW",2004,1251.89
"MAN","AW",2005,1252.57
"MAN","AW",2006,1322.5
"MAN","AW",2007,1353.09
"MAN","AW",2008,1366.39
"MAN","AW",2009,1392.5
"MAN","AW",2010,1439.01
"MAN","AW",2011,1465.52
"MAN","AW",2012,1526.22
"MAN","AW",2013,1570.2
"MAN","AW",2014,1615.75
"MAN","AW",2015,1663.4
"MAN","AW",2016,1754.1
"PRO","TE",1997,695
"PRO","TE",1998,712.8
"PRO","TE",1999,771.1
"PRO","TE",2000,810.1
"PRO","TE",2001,843
"PRO","TE",2002,854.5
"PRO","TE",2003,843.3
"PRO","TE",2004,862.8
"PRO","TE",2005,921.4
"PRO","TE",2006,948.4
"PRO","TE",2007,998.2
"PRO","TE",2008,1023.4
"PRO","TE",2009,1027.7
"PRO","TE",2010,1059.4
"PRO","TE",2011,1083.1
"PRO","TE",2012,1096.3
"PRO","TE",2013,1107.4
"PRO","TE",2014,1141.3
"PRO","TE",2015,1212
"PRO","TE",2016,1262.2
"PRO","AH",1997,22.75
"PRO","AH",1998,22.84
"PRO","AH",1999,24.44
"PRO","AH",2000,25.22
"PRO","AH",2001,25.72
"PRO","AH",2002,26.84
"PRO","AH",2003,27.36
"PRO","AH",2004,28.44
"PRO","AH",2005,28.88
"PRO","AH",2006,29.82
"PRO","AH",2007,30.75
"PRO","AH",2008,31.87
"PRO","AH",2009,32.45
"PRO","AH",2010,33.4
"PRO","AH",2011,34.37
"PRO","AH",2012,35.06
"PRO","AH",2013,35.92
"PRO","AH",2014,36.16
"PRO","AH",2015,36.62
"PRO","AH",2016,37.35
"PRO","AW",1997,836.42
"PRO","AW",1998,845.35
"PRO","AW",1999,910.87
"PRO","AW",2000,939.22
"PRO","AW",2001,956.04
"PRO","AW",2002,991.05
"PRO","AW",2003,1003.95
"PRO","AW",2004,1039.36
"PRO","AW",2005,1058.7
"PRO","AW",2006,1090.85
"PRO","AW",2007,1133.11
"PRO","AW",2008,1162.79
"PRO","AW",2009,1179.11
"PRO","AW",2010,1213.42
"PRO","AW",2011,1258.6
"PRO","AW",2012,1282.79
"PRO","AW",2013,1312.97
"PRO","AW",2014,1316.78
"PRO","AW",2015,1339.93
"PRO","AW",2016,1369.37
"NSB","TE",1997,1302.5
"NSB","TE",1998,1359.8
"NSB","TE",1999,1369.4
"NSB","TE",2000,1403.4
"NSB","TE",2001,1504.6
"NSB","TE",2002,1517.1
"NSB","TE",2003,1567.1
"NSB","TE",2004,1554.5
"NSB","TE",2005,1579.5
"NSB","TE",2006,1589.9
"NSB","TE",2007,1607.6
"NSB","TE",2008,1683.3
"NSB","TE",2009,1613.7
"NSB","TE",2010,1633.4
"NSB","TE",2011,1666.9
"NSB","TE",2012,1654.7
"NSB","TE",2013,1744.7
"NSB","TE",2014,1789.3
"NSB","TE",2015,1789.1
"NSB","TE",2016,1887.1
"NSB","AH",1997,17.03
"NSB","AH",1998,17.29
"NSB","AH",1999,17.37
"NSB","AH",2000,18.14
"NSB","AH",2001,18.62
"NSB","AH",2002,18.89
"NSB","AH",2003,19.4
"NSB","AH",2004,19.71
"NSB","AH",2005,20.4
"NSB","AH",2006,20.73
"NSB","AH",2007,21.24
"NSB","AH",2008,22.01
"NSB","AH",2009,22.56
"NSB","AH",2010,22.61
"NSB","AH",2011,23.21
"NSB","AH",2012,23.63
"NSB","AH",2013,24.01
"NSB","AH",2014,24.49
"NSB","AH",2015,25.28
"NSB","AH",2016,25.39
"NSB","AW",1997,644.23
"NSB","AW",1998,655.77
"NSB","AW",1999,659.07
"NSB","AW",2000,691.56
"NSB","AW",2001,709.63
"NSB","AW",2002,717.95
"NSB","AW",2003,737.64
"NSB","AW",2004,748.01
"NSB","AW",2005,772.13
"NSB","AW",2006,786.75
"NSB","AW",2007,799.15
"NSB","AW",2008,830.07
"NSB","AW",2009,846.57
"NSB","AW",2010,845.83
"NSB","AW",2011,870.73
"NSB","AW",2012,889
"NSB","AW",2013,897.28
"NSB","AW",2014,919.82
"NSB","AW",2015,949.05
"NSB","AW",2016,950.49
"NSC","TE",1997,1478.2
"NSC","TE",1998,1536.6
"NSC","TE",1999,1634.6
"NSC","TE",2000,1710.3
"NSC","TE",2001,1735.9
"NSC","TE",2002,1762.8
"NSC","TE",2003,1844
"NSC","TE",2004,1878.4
"NSC","TE",2005,1839.2
"NSC","TE",2006,1835.7
"NSC","TE",2007,1836.2
"NSC","TE",2008,1765.7
"NSC","TE",2009,1724.1
"NSC","TE",2010,1734.3
"NSC","TE",2011,1767.3
"NSC","TE",2012,1764
"NSC","TE",2013,1803.6
"NSC","TE",2014,1766
"NSC","TE",2015,1764.7
"NSC","TE",2016,1652.6
"NSC","AH",1997,13.01
"NSC","AH",1998,13.4
"NSC","AH",1999,13.41
"NSC","AH",2000,13.85
"NSC","AH",2001,14.39
"NSC","AH",2002,14.61
"NSC","AH",2003,14.9
"NSC","AH",2004,15.13
"NSC","AH",2005,15.7
"NSC","AH",2006,15.86
"NSC","AH",2007,16.27
"NSC","AH",2008,16.82
"NSC","AH",2009,17.25
"NSC","AH",2010,17.64
"NSC","AH",2011,17.95
"NSC","AH",2012,18.28
"NSC","AH",2013,18.4
"NSC","AH",2014,18.59
"NSC","AH",2015,19.19
"NSC","AH",2016,19.03
"NSC","AW",1997,470.49
"NSC","AW",1998,487.18
"NSC","AW",1999,489.1
"NSC","AW",2000,506.75
"NSC","AW",2001,525.28
"NSC","AW",2002,533.46
"NSC","AW",2003,542.29
"NSC","AW",2004,547.9
"NSC","AW",2005,572.12
"NSC","AW",2006,575.95
"NSC","AW",2007,584.57
"NSC","AW",2008,603.6
"NSC","AW",2009,611.16
"NSC","AW",2010,625.97
"NSC","AW",2011,636.47
"NSC","AW",2012,651.41
"NSC","AW",2013,652.99
"NSC","AW",2014,661.39
"NSC","AW",2015,685.44
"NSC","AW",2016,674.85
"NSD","TE",1997,559.9
"NSD","TE",1998,570.9
"NSD","TE",1999,572.5
"NSD","TE",2000,600
"NSD","TE",2001,578.5
"NSD","TE",2002,617.1
"NSD","TE",2003,639.3
"NSD","TE",2004,640
"NSD","TE",2005,666.1
"NSD","TE",2006,672.3
"NSD","TE",2007,676.6
"NSD","TE",2008,662.6
"NSD","TE",2009,617.7
"NSD","TE",2010,659.5
"NSD","TE",2011,691.7
"NSD","TE",2012,713.1
"NSD","TE",2013,688
"NSD","TE",2014,732.7
"NSD","TE",2015,691.7
"NSD","TE",2016,709.4
"NSD","AH",1997,10.6
"NSD","AH",1998,10.64
"NSD","AH",1999,10.45
"NSD","AH",2000,10.48
"NSD","AH",2001,10.64
"NSD","AH",2002,10.73
"NSD","AH",2003,11.07
"NSD","AH",2004,11.16
"NSD","AH",2005,11.6
"NSD","AH",2006,11.96
"NSD","AH",2007,12.39
"NSD","AH",2008,12.51
"NSD","AH",2009,12.85
"NSD","AH",2010,13.41
"NSD","AH",2011,13.75
"NSD","AH",2012,14.03
"NSD","AH",2013,14.21
"NSD","AH",2014,14.39
"NSD","AH",2015,14.51
"NSD","AH",2016,14.9
"NSD","AW",1997,341.54
"NSD","AW",1998,347.94
"NSD","AW",1999,339.04
"NSD","AW",2000,335.17
"NSD","AW",2001,340.37
"NSD","AW",2002,342.27
"NSD","AW",2003,355.35
"NSD","AW",2004,361.98
"NSD","AW",2005,377.41
"NSD","AW",2006,388.61
"NSD","AW",2007,402.16
"NSD","AW",2008,394.08
"NSD","AW",2009,397.53
"NSD","AW",2010,411.86
"NSD","AW",2011,428.93
"NSD","AW",2012,439.63
"NSD","AW",2013,446.02
"NSD","AW",2014,450.37
"NSD","AW",2015,454.5
"NSD","AW",2016,469.61
