"Grade","Years","Sex","Credential","Field","Measure","Value"
2005,1,"All","DEG","All","P10",13400
2005,1,"All","DEG","All","P90",73900
2005,1,"All","DEG","All","P20",22600
2005,1,"All","DEG","All","P40",37600
2005,1,"All","DEG","All","P60",50400
2005,1,"All","DEG","All","P80",64400
2005,1,"All","DEG","All","P25",26900
2005,1,"All","DEG","All","P50",43800
2005,1,"All","DEG","All","P75",60600
2005,1,"All","DEG","All","Mean",45200
2005,1,"All","DEG","All","Mean L",44700
2005,1,"All","DEG","All","Mean H",45700
2005,1,"All","DEG","All","Count",13970
2005,2,"All","DEG","All","P10",17900
2005,2,"All","DEG","All","P90",83800
2005,2,"All","DEG","All","P20",30100
2005,2,"All","DEG","All","P40",45600
2005,2,"All","DEG","All","P60",58900
2005,2,"All","DEG","All","P80",72700
2005,2,"All","DEG","All","P25",34800
2005,2,"All","DEG","All","P50",52300
2005,2,"All","DEG","All","P75",68500
2005,2,"All","DEG","All","Mean",53000
2005,2,"All","DEG","All","Mean L",52500
2005,2,"All","DEG","All","Mean H",53500
2005,2,"All","DEG","All","Count",12170
2005,3,"All","DEG","All","P10",19500
2005,3,"All","DEG","All","P90",91900
2005,3,"All","DEG","All","P20",33600
2005,3,"All","DEG","All","P40",50700
2005,3,"All","DEG","All","P60",64200
2005,3,"All","DEG","All","P80",78700
2005,3,"All","DEG","All","P25",38900
2005,3,"All","DEG","All","P50",57700
2005,3,"All","DEG","All","P75",74300
2005,3,"All","DEG","All","Mean",58400
2005,3,"All","DEG","All","Mean L",57700
2005,3,"All","DEG","All","Mean H",59100
2005,3,"All","DEG","All","Count",10960
2005,4,"All","DEG","All","P10",20200
2005,4,"All","DEG","All","P90",97500
2005,4,"All","DEG","All","P20",35700
2005,4,"All","DEG","All","P40",54400
2005,4,"All","DEG","All","P60",69200
2005,4,"All","DEG","All","P80",84300
2005,4,"All","DEG","All","P25",41200
2005,4,"All","DEG","All","P50",62300
2005,4,"All","DEG","All","P75",79800
2005,4,"All","DEG","All","Mean",62400
2005,4,"All","DEG","All","Mean L",61600
2005,4,"All","DEG","All","Mean H",63300
2005,4,"All","DEG","All","Count",9980
2005,5,"All","DEG","All","P10",19500
2005,5,"All","DEG","All","P90",101600
2005,5,"All","DEG","All","P20",35200
2005,5,"All","DEG","All","P40",55400
2005,5,"All","DEG","All","P60",71400
2005,5,"All","DEG","All","P80",87300
2005,5,"All","DEG","All","P25",41600
2005,5,"All","DEG","All","P50",63700
2005,5,"All","DEG","All","P75",82600
2005,5,"All","DEG","All","Mean",64600
2005,5,"All","DEG","All","Mean L",63600
2005,5,"All","DEG","All","Mean H",65500
2005,5,"All","DEG","All","Count",9400
2005,6,"All","DEG","All","P10",19100
2005,6,"All","DEG","All","P90",107500
2005,6,"All","DEG","All","P20",35800
2005,6,"All","DEG","All","P40",57400
2005,6,"All","DEG","All","P60",74500
2005,6,"All","DEG","All","P80",91300
2005,6,"All","DEG","All","P25",42500
2005,6,"All","DEG","All","P50",66300
2005,6,"All","DEG","All","P75",86400
2005,6,"All","DEG","All","Mean",67300
2005,6,"All","DEG","All","Mean L",66400
2005,6,"All","DEG","All","Mean H",68200
2005,6,"All","DEG","All","Count",9010
2005,7,"All","DEG","All","P10",18900
2005,7,"All","DEG","All","P90",114000
2005,7,"All","DEG","All","P20",36900
2005,7,"All","DEG","All","P40",59400
2005,7,"All","DEG","All","P60",77200
2005,7,"All","DEG","All","P80",95300
2005,7,"All","DEG","All","P25",44000
2005,7,"All","DEG","All","P50",68300
2005,7,"All","DEG","All","P75",89600
2005,7,"All","DEG","All","Mean",70500
2005,7,"All","DEG","All","Mean L",69400
2005,7,"All","DEG","All","Mean H",71500
2005,7,"All","DEG","All","Count",8630
2005,8,"All","DEG","All","P10",20300
2005,8,"All","DEG","All","P90",120900
2005,8,"All","DEG","All","P20",37000
2005,8,"All","DEG","All","P40",62100
2005,8,"All","DEG","All","P60",80600
2005,8,"All","DEG","All","P80",100700
2005,8,"All","DEG","All","P25",44400
2005,8,"All","DEG","All","P50",71600
2005,8,"All","DEG","All","P75",94200
2005,8,"All","DEG","All","Mean",74900
2005,8,"All","DEG","All","Mean L",73200
2005,8,"All","DEG","All","Mean H",76600
2005,8,"All","DEG","All","Count",8380
2006,1,"All","DEG","All","P10",14500
2006,1,"All","DEG","All","P90",77400
2006,1,"All","DEG","All","P20",24400
2006,1,"All","DEG","All","P40",39700
2006,1,"All","DEG","All","P60",52500
2006,1,"All","DEG","All","P80",66600
2006,1,"All","DEG","All","P25",28500
2006,1,"All","DEG","All","P50",45500
2006,1,"All","DEG","All","P75",63000
2006,1,"All","DEG","All","Mean",47100
2006,1,"All","DEG","All","Mean L",46700
2006,1,"All","DEG","All","Mean H",47500
2006,1,"All","DEG","All","Count",15130
2006,2,"All","DEG","All","P10",18400
2006,2,"All","DEG","All","P90",87500
2006,2,"All","DEG","All","P20",31300
2006,2,"All","DEG","All","P40",47100
2006,2,"All","DEG","All","P60",60300
2006,2,"All","DEG","All","P80",74700
2006,2,"All","DEG","All","P25",36300
2006,2,"All","DEG","All","P50",53800
2006,2,"All","DEG","All","P75",70500
2006,2,"All","DEG","All","Mean",54700
2006,2,"All","DEG","All","Mean L",54200
2006,2,"All","DEG","All","Mean H",55200
2006,2,"All","DEG","All","Count",12990
2006,3,"All","DEG","All","P10",19200
2006,3,"All","DEG","All","P90",93600
2006,3,"All","DEG","All","P20",34700
2006,3,"All","DEG","All","P40",51700
2006,3,"All","DEG","All","P60",65800
2006,3,"All","DEG","All","P80",80700
2006,3,"All","DEG","All","P25",39900
2006,3,"All","DEG","All","P50",58900
2006,3,"All","DEG","All","P75",76100
2006,3,"All","DEG","All","Mean",59300
2006,3,"All","DEG","All","Mean L",58700
2006,3,"All","DEG","All","Mean H",59900
2006,3,"All","DEG","All","Count",11410
2006,4,"All","DEG","All","P10",19500
2006,4,"All","DEG","All","P90",97500
2006,4,"All","DEG","All","P20",35700
2006,4,"All","DEG","All","P40",54100
2006,4,"All","DEG","All","P60",68900
2006,4,"All","DEG","All","P80",84500
2006,4,"All","DEG","All","P25",41900
2006,4,"All","DEG","All","P50",61700
2006,4,"All","DEG","All","P75",79800
2006,4,"All","DEG","All","Mean",62200
2006,4,"All","DEG","All","Mean L",61600
2006,4,"All","DEG","All","Mean H",62900
2006,4,"All","DEG","All","Count",10420
2006,5,"All","DEG","All","P10",20100
2006,5,"All","DEG","All","P90",103200
2006,5,"All","DEG","All","P20",36100
2006,5,"All","DEG","All","P40",56400
2006,5,"All","DEG","All","P60",71600
2006,5,"All","DEG","All","P80",88500
2006,5,"All","DEG","All","P25",42500
2006,5,"All","DEG","All","P50",64200
2006,5,"All","DEG","All","P75",83400
2006,5,"All","DEG","All","Mean",65200
2006,5,"All","DEG","All","Mean L",64400
2006,5,"All","DEG","All","Mean H",65900
2006,5,"All","DEG","All","Count",9900
2006,6,"All","DEG","All","P10",20100
2006,6,"All","DEG","All","P90",109300
2006,6,"All","DEG","All","P20",37000
2006,6,"All","DEG","All","P40",58300
2006,6,"All","DEG","All","P60",75000
2006,6,"All","DEG","All","P80",92700
2006,6,"All","DEG","All","P25",43600
2006,6,"All","DEG","All","P50",66900
2006,6,"All","DEG","All","P75",87300
2006,6,"All","DEG","All","Mean",68400
2006,6,"All","DEG","All","Mean L",67600
2006,6,"All","DEG","All","Mean H",69300
2006,6,"All","DEG","All","Count",9400
2006,7,"All","DEG","All","P10",19300
