"Year","University","Program","Qualification","Count"
2015,"BRO","ABS","B1P",123
2015,"BRO","ABS","DDE",8
2015,"BRO","BCO","B1P",593
2015,"BRO","BCO","MDE",315
2015,"BRO","CSC","B1P",35
2015,"BRO","CSC","MDE",6
2015,"BRO","EDU","B1P",805
2015,"BRO","EDU","MDE",153
2015,"BRO","EDU","DDE",6
2015,"BRO","FAA","B1P",96
2015,"BRO","HUM","B1P",389
2015,"BRO","HUM","MDE",54
2015,"BRO","KRP","B1P",513
2015,"BRO","MAT","B1P",45
2015,"BRO","MAT","MDE",12
2015,"BRO","NUR","B1P",106
2015,"BRO","OAS","B1P",208
2015,"BRO","OHP","B1P",135
2015,"BRO","OHP","MDE",46
2015,"BRO","PSC","B1P",29
2015,"BRO","PSC","DDE",6
2015,"BRO","SSC","B1P",825
2015,"BRO","SSC","MDE",123
2014,"BRO","ABS","B1P",113
2014,"BRO","ABS","MDE",11
2014,"BRO","ABS","DDE",7
2014,"BRO","BCO","B1P",536
2014,"BRO","BCO","MDE",279
2014,"BRO","CSC","B1P",35
2014,"BRO","CSC","MDE",9
2014,"BRO","EDU","B1P",774
2014,"BRO","EDU","MDE",144
2014,"BRO","EDU","DDE",6
2014,"BRO","FAA","B1P",109
2014,"BRO","HUM","B1P",393
2014,"BRO","HUM","MDE",54
2014,"BRO","KRP","B1P",470
2014,"BRO","MAT","B1P",32
2014,"BRO","MAT","MDE",7
2014,"BRO","NUR","B1P",100
2014,"BRO","OAS","B1P",207
2014,"BRO","OHP","B1P",112
2014,"BRO","OHP","MDE",49
2014,"BRO","PSC","B1P",29
2014,"BRO","PSC","MDE",14
2014,"BRO","SSC","B1P",806
2014,"BRO","SSC","MDE",140
2014,"BRO","SSC","DDE",6
2013,"BRO","ABS","B1P",97
2013,"BRO","ABS","MDE",10
2013,"BRO","ABS","DDE",6
2013,"BRO","BCO","B1P",594
2013,"BRO","BCO","MDE",219
2013,"BRO","CSC","B1P",31
2013,"BRO","CSC","MDE",6
2013,"BRO","EDU","B1P",793
2013,"BRO","EDU","MDE",172
2013,"BRO","FAA","B1P",111
2013,"BRO","HUM","B1P",442
2013,"BRO","HUM","MDE",41
2013,"BRO","KRP","B1P",402
2013,"BRO","MAT","B1P",36
2013,"BRO","MAT","MDE",11
2013,"BRO","NUR","B1P",90
2013,"BRO","OAS","B1P",206
2013,"BRO","OHP","B1P",109
2013,"BRO","OHP","MDE",40
2013,"BRO","PSC","B1P",52
2013,"BRO","PSC","MDE",9
2013,"BRO","SSC","B1P",778
2013,"BRO","SSC","MDE",102
2012,"BRO","ABS","B1P",79
2012,"BRO","ABS","MDE",13
2012,"BRO","ABS","DDE",4
2012,"BRO","BCO","B1P",508
2012,"BRO","BCO","MDE",143
2012,"BRO","CSC","B1P",23
2012,"BRO","CSC","MDE",7
2012,"BRO","EDU","B1P",844
2012,"BRO","EDU","MDE",176
2012,"BRO","EDU","DDE",3
2012,"BRO","FAA","B1P",101
2012,"BRO","HUM","B1P",451
2012,"BRO","HUM","MDE",73
2012,"BRO","KRP","B1P",444
2012,"BRO","MAT","B1P",33
2012,"BRO","MAT","MDE",9
2012,"BRO","NUR","B1P",111
2012,"BRO","OAS","B1P",218
2012,"BRO","OHP","B1P",94
2012,"BRO","OHP","MDE",28
2012,"BRO","OHP","DDE",1
2012,"BRO","PSC","B1P",29
2012,"BRO","PSC","MDE",14
2012,"BRO","PSC","DDE",1
2012,"BRO","SSC","B1P",752
2012,"BRO","SSC","MDE",96
2012,"BRO","SSC","DDE",4
2011,"BRO","ABS","B1P",93
2011,"BRO","ABS","MDE",12
2011,"BRO","ABS","DDE",10
2011,"BRO","BCO","B1P",474
2011,"BRO","BCO","MDE",173
2011,"BRO","CSC","B1P",16
2011,"BRO","CSC","MDE",11
2011,"BRO","EDU","B1P",766
2011,"BRO","EDU","MDE",202
2011,"BRO","EDU","DDE",3
2011,"BRO","FAA","B1P",100
2011,"BRO","HUM","B1P",438
2011,"BRO","HUM","MDE",67
2011,"BRO","KRP","B1P",411
2011,"BRO","MAT","B1P",26
2011,"BRO","MAT","MDE",14
2011,"BRO","NUR","B1P",72
2011,"BRO","OAS","B1P",180
2011,"BRO","OHP","B1P",84
2011,"BRO","OHP","MDE",31
2011,"BRO","PSC","B1P",27
2011,"BRO","PSC","MDE",6
2011,"BRO","PSC","DDE",2
2011,"BRO","SSC","B1P",732
2011,"BRO","SSC","MDE",136
2011,"BRO","SSC","DDE",6
2010,"BRO","ABS","B1P",88
2010,"BRO","ABS","MDE",9
2010,"BRO","ABS","DDE",5
2010,"BRO","BCO","B1P",487
2010,"BRO","BCO","MDE",132
2010,"BRO","CSC","B1P",35
2010,"BRO","CSC","MDE",8
2010,"BRO","EDU","B1P",800
2010,"BRO","EDU","MDE",217
2010,"BRO","EDU","DDE",4
2010,"BRO","FAA","B1P",100
2010,"BRO","HUM","B1P",446
2010,"BRO","HUM","MDE",69
2010,"BRO","KRP","B1P",399
2010,"BRO","MAT","B1P",21
2010,"BRO","MAT","MDE",8
2010,"BRO","NUR","B1P",96
2010,"BRO","OAS","B1P",167
2010,"BRO","OHP","B1P",78
2010,"BRO","OHP","MDE",31
2010,"BRO","PSC","B1P",26
2010,"BRO","PSC","MDE",13
2010,"BRO","PSC","DDE",4
2010,"BRO","SSC","B1P",753
2010,"BRO","SSC","MDE",77
2010,"BRO","SSC","DDE",5
2009,"BRO","ABS","B1P",107
2009,"BRO","ABS","MDE",7
2009,"BRO","ABS","DDE",3
2009,"BRO","BCO","B1P",448
2009,"BRO","BCO","MDE",129
2009,"BRO","CSC","B1P",38
2009,"BRO","CSC","MDE",5
2009,"BRO","EDU","B1P",764
2009,"BRO","EDU","MDE",127
2009,"BRO","EDU","DDE",3
2009,"BRO","FAA","B1P",93
2009,"BRO","HUM","B1P",459
2009,"BRO","HUM","MDE",55
2009,"BRO","KRP","B1P",443
2009,"BRO","MAT","B1P",24
2009,"BRO","MAT","MDE",7
2009,"BRO","NUR","B1P",60
2009,"BRO","OAS","B1P",181
2009,"BRO","OHP","B1P",74
2009,"BRO","OHP","MDE",49
2009,"BRO","PSC","B1P",21
2009,"BRO","PSC","MDE",7
2009,"BRO","SSC","B1P",843
2009,"BRO","SSC","MDE",78
2009,"BRO","SSC","DDE",2
2008,"BRO","ABS","B1P",118
2008,"BRO","ABS","MDE",10
2008,"BRO","ABS","DDE",6
2008,"BRO","BCO","B1P",494
2008,"BRO","BCO","MDE",142
2008,"BRO","CSC","B1P",47
2008,"BRO","CSC","MDE",1
2008,"BRO","EDU","B1P",708
2008,"BRO","EDU","MDE",112
2008,"BRO","EDU","DDE",2
2008,"BRO","FAA","B1P",103
2008,"BRO","HUM","B1P",593
2008,"BRO","HUM","MDE",69
2008,"BRO","KRP","B1P",542
2008,"BRO","MAT","B1P",44
2008,"BRO","MAT","MDE",8
2008,"BRO","NUR","B1P",50
2008,"BRO","OAS","B1P",154
2008,"BRO","OHP","B1P",97
2008,"BRO","OHP","MDE",26
2008,"BRO","PSC","B1P",25
2008,"BRO","PSC","MDE",6
2008,"BRO","SSC","B1P",878
2008,"BRO","SSC","MDE",45
2008,"BRO","SSC","DDE",1
2007,"BRO","ABS","B1P",113
2007,"BRO","ABS","MDE",11
2007,"BRO","ABS","DDE",3
2007,"BRO","BCO","B1P",503
2007,"BRO","BCO","MDE",131
2007,"BRO","CSC","B1P",52
2007,"BRO","EDU","B1P",729
2007,"BRO","EDU","MDE",121
2007,"BRO","EDU","DDE",1
2007,"BRO","FAA","B1P",94
2007,"BRO","HUM","B1P",529
2007,"BRO","HUM","MDE",32
2007,"BRO","KRP","B1P",586
2007,"BRO","MAT","B1P",43
2007,"BRO","NUR","B1P",60
2007,"BRO","OAS","B1P",81
2007,"BRO","OAS","MDE",10
2007,"BRO","OHP","B1P",102
2007,"BRO","OHP","MDE",17
2007,"BRO","PSC","B1P",21
2007,"BRO","PSC","MDE",4
2007,"BRO","SSC","B1P",983
2007,"BRO","SSC","MDE",27
2007,"BRO","SSC","DDE",1
2006,"BRO","ABS","B1P",63
2006,"BRO","ABS","MDE",3
2006,"BRO","ABS","DDE",1
2006,"BRO","BCO","B1P",386
2006,"BRO","BCO","MDE",97
2006,"BRO","CSC","B1P",58
2006,"BRO","EDU","B1P",735
2006,"BRO","EDU","MDE",157
