"AcademicYear","Division","University","Range","StudentYear","Count","Percentage"
2015,"S","BRO","101-250",1,33,.181
2015,"S","BRO","101-250",2,44,.165
2015,"S","BRO","101-250",3,16,.053
2015,"S","BRO","101-250",4,2,.008
2015,"S","CAR","101-250",1,75,.2
2015,"S","CAR","101-250",2,79,.203
2015,"S","CAR","101-250",3,28,.069
2015,"S","CAR","101-250",4,7,.018
2015,"S","LAK","101-250",1,14,.074
2015,"S","LAK","101-250",2,9,.037
2015,"S","LAK","101-250",3,10,.038
2015,"S","LAK","101-250",4,5,.011
2015,"S","LAU","101-250",1,16,.097
2015,"S","LAU","101-250",2,11,.044
2015,"S","LAU","101-250",3,1,.005
2015,"S","LAU","101-250",4,1,.004
2015,"S","MCM","101-250",1,57,.241
2015,"S","MCM","101-250",2,109,.309
2015,"S","MCM","101-250",3,57,.121
2015,"S","MCM","101-250",4,13,.033
2015,"S","NIP","101-250",1,5,.042
2015,"S","NIP","101-250",2,4,.034
2015,"S","OCA","101-250",1,3,.018
2015,"S","OCA","101-250",2,3,.016
2015,"S","OCA","101-250",3,2,.01
2015,"S","OTT","101-250",1,178,.353
2015,"S","OTT","101-250",2,119,.197
2015,"S","OTT","101-250",3,40,.047
2015,"S","OTT","101-250",4,13,.024
2015,"S","UOI","101-250",1,43,.364
2015,"S","UOI","101-250",2,47,.382
2015,"S","UOI","101-250",3,19,.123
2015,"S","UOI","101-250",4,4,.032
2015,"S","QUE","101-250",1,60,.177
2015,"S","QUE","101-250",2,84,.212
2015,"S","QUE","101-250",3,29,.064
2015,"S","QUE","101-250",4,8,.009
2015,"S","RYE","101-250",1,124,.146
2015,"S","RYE","101-250",2,84,.16
2015,"S","RYE","101-250",3,54,.097
2015,"S","RYE","101-250",4,26,.041
2015,"S","TAC","101-250",1,167,.26
2015,"S","TAC","101-250",2,280,.281
2015,"S","TAC","101-250",3,93,.072
2015,"S","TAC","101-250",4,10,.011
2015,"S","TSG","101-250",1,96,.228
2015,"S","TSG","101-250",2,180,.309
2015,"S","TSG","101-250",3,70,.094
2015,"S","TSG","101-250",4,10,.016
2015,"S","TMI","101-250",1,32,.33
2015,"S","TMI","101-250",2,66,.324
2015,"S","TMI","101-250",3,12,.041
2015,"S","TSC","101-250",1,38,.318
2015,"S","TSC","101-250",2,34,.163
2015,"S","TSC","101-250",3,10,.042
2015,"S","TRE","101-250",1,28,.298
2015,"S","TRE","101-250",2,8,.051
