"Year","University","Metric","Schedule","Count"
2015,"BRO","Women","FT",266
2015,"CAR","Women","FT",320
2015,"LAK","Women","FT",113
2015,"LAU","Women","FT",166
2015,"MCM","Women","FT",332
2015,"NIP","Women","FT",73
2015,"OCA","Women","FT",80
2015,"OTT","Women","FT",473
2015,"OSP","Women","FT",24
2015,"UOI","Women","FT",111
2015,"QUE","Women","FT",273
2015,"RYE","Women","FT",477
2015,"TAC","Women","FT",975
2015,"TRE","Women","FT",105
2015,"WAT","Women","FT",372
2015,"WMC","Women","FT",461
2015,"WBC","Women","FT",29
2015,"WBC","Women","PT",29
2015,"WHC","Women","FT",17
2015,"WKC","Women","FT",47
2015,"WLA","Women","FT",254
2015,"WIN","Women","FT",171
2015,"YOR","Women","FT",724
2014,"BRO","Women","FT",267
2014,"CAR","Women","FT",310
2014,"GUE","Women","FT",274
2014,"LAK","Women","FT",114
2014,"LAU","Women","FT",163
2014,"MCM","Women","FT",346
2014,"NIP","Women","FT",84
2014,"OCA","Women","FT",53
2014,"OTT","Women","FT",585
2014,"OSP","Women","FT",21
2014,"UOI","Women","FT",112
2014,"QUE","Women","FT",267
2014,"RYE","Women","FT",472
2014,"TAC","Women","FT",957
2014,"TRE","Women","FT",101
2014,"WAT","Women","FT",354
2014,"WMC","Women","FT",455
2014,"WBC","Women","FT",28
2014,"WBC","Women","PT",28
2014,"WHC","Women","FT",16
2014,"WHC","Women","PT",16
2014,"WKC","Women","FT",47
2014,"WKC","Women","PT",47
2014,"WLA","Women","FT",242
2014,"WIN","Women","FT",172
2014,"YOR","Women","FT",699
2013,"BRO","Women","FT",263
2013,"CAR","Women","FT",308
2013,"GUE","Women","FT",271
2013,"LAK","Women","FT",117
2013,"LAU","Women","FT",171
2013,"MCM","Women","FT",348
2013,"NIP","Women","FT",83
2013,"OCA","Women","FT",42
2013,"OTT","Women","FT",479
2013,"OSP","Women","FT",23
2013,"UOI","Women","FT",109
2013,"QUE","Women","FT",270
2013,"RYE","Women","FT",464
2013,"TAC","Women","FT",941
2013,"TAC","Women","PT",941
2013,"TRE","Women","FT",100
2013,"WAT","Women","FT",328
2013,"WMC","Women","FT",457
2013,"WBC","Women","FT",28
