Student Year / Année d'Étude
----------------------------

Jr	Junior Year   	Première année
Sr	Senior Year   	Dernière année


Questions & Scores / Questions & Réponses
-----------------------------------------

Q1	How would you evaluate your entire educational experience at this institution?              	Quelle cote donneriez-vous à l'ensemble de votre expérience éducative dans l'établissement que vous fréquentez?
-> S0	Poor                                                                                    	  Insatisfaisante
-> S1	Fair                                                                                    	  Moyenne
-> S2	Good                                                                                    	  Bonne
-> S3	Excellent                                                                               	  Excellente

Q2	If you could start over again, would you go to the same institution you are now attending?  	Si c'était à refaire, choisiriez-vous le même établissement?
-> S0	Definitely No                                                                           	  Absolument pas
-> S1	Probably No                                                                             	  Probablement que non
-> S2	Probably Yes                                                                            	  Probablement que oui
-> S3	Definitely Yes                                                                          	  Oui


Universities
------------

ALG	Algoma
BRO	Brock University
CAR	Carleton University
GUE	University of Guelph
LAK	Lakehead University
LAU	Laurentian University
MCM	McMaster University
NIP	Nipissing University
OCA	OCAD University
OSP	Ottawa » Saint Paul University
OTT	University of Ottawa
QUE	Queen's University
RYE	Ryerson University
TAC	Toronto » All Campuses / Tous les campus
TMI	Toronto » Mississauga
TRE	Trent University
TSC	Toronto » Scarborough
TSG	Toronto » St George
UOI	UOIT
WAT	University of Waterloo
WBC	Western » Brescia University College
WHC	Western » Huron University College
WIN	University of Windsor
WKC	Western » King's University College
WLA	Wilfrid Laurier University
WMC	Western » Main Campus / Campus principal
YOR	York University


Source: Council University Data Ontario (CUDO)

The Ministry of Advanced Education and Skills Development has endeavored to keep the information provided up to date and correct, but makes no representations or warranties of any kind, express or implied, about the completeness, accuracy, reliability, suitability or availability with respect to the information for any purpose.
