"Grade","CourseCode","Course","Prerequisite"
"9","ATC1O","Dance",
"10","ATC2O","Dance",
"11","ATC3M","Dance","ATC1O"
"11","ATC3M","Dance","ATC2O"
"11","ATC3O","Dance",
"12","ATC4M","Dance","ATC3M"
"12","ATC4M","Dance","ATC3O"
"12","ATC4E","Dance","ATC3M"
"12","ATC4E","Dance","ATC3O"
"9","ADA1O","Drama",
"10","ADA2O","Drama",
"11","ADA3M","Drama","ADA1O"
"11","ADA3M","Drama","ADA2O"
"11","ADA3O","Drama",
"12","ADA4M","Drama","ADA3M"
"12","ADA4M","Drama","ADA3O"
"12","ADA4E","Drama","ADA3O"
"12","ADA4E","Drama","ADA3M"
"9,10","ALC1O/2O","Integrated Arts",
"11,12","AEA3O/4O","Exploring and Creating in the Arts",
"10","ASM2O","Media Arts",
"11","ASM3M","Media Arts","ASM2O"
"11","ASM3O","Media Arts",
"12","ASM4M","Media Arts","ASM3M"
"12","ASM4M","Media Arts","ASM3O"
"12","ASM4E","Media Arts","ASM3M"
"12","ASM4E","Media Arts","ASM3O"
"9","AMU1O","Music",
"10","AMU2O","Music",
"11","AMU3M","Music","AMU1O"
"11","AMU3M","Music","AMU2O"
"11","AMU3O","Music",
"12","AMU4M","Music","AMU3M"
"12","AMU4M","Music","AMU3O"
"12","AMU4E","Music","AMU3M"
"12","AMU4E","Music","AMU3O"
"9","AVI1O","Visual Arts",
"10","AVI2O","Visual Arts",
"11","AVI3M","Visual Arts","AVI1O"
"11","AVI3M","Visual Arts","AVI2O"
"11","AVI3O","Visual Arts",
"12","AVI4M","Visual Arts","AVI3M"
"12","AVI4M","Visual Arts","AVI3O"
"12","AVI4E","Visual Arts","AVI3M"
"12","AVI4E","Visual Arts","AVI3O"
"9","BTT1O","Information and Communication Technology in Business",
"9","BBI1O","Introduction to Business",
"10","BTT2O","Information and Communication Technology in Business",
"10","BBI2O","Introduction to Business",
"11","BAF3M","Financial Accounting Fundamentals",
"11","BAI3E","Accounting Essentials",
"12","BAT4M","Financial Accounting Principles","BAF3M"
"12","BAN4E","Accounting for a Small Business","BAI3E"
"11","BDI3C","Entrepreneurship: The Venture",
"11","BDP3O","Entrepreneurship: The Enterprising Person",
"12","BDV4C","Entrepreneurship: Venture Planning in an Electronic Age",
"11","BTA3O","Information and Communication Technology : The Digital Environment",
"12","BTX4C","Information and Communication Technology: Multimedia Solutions","BTA3O"
"12","BTX4E","Information and Communication Technology in the Workplace","BTX4E"
"12","BBB4M","International Business Fundamentals",
"12","BBB4E","International Business Essentials",
"11","BMI3C","Marketing: Goods, Servics, Events",
"11","BMX3E","Marketing: Retail and Service",
"12","BOH4M","Business Leadership: Management Fundamentals",
"12","BOG4E","Business Leadership: Becoming a Manager",
"10","CHV2O","Civics",
"11","CIE3M","The Individual and the Economy","CHC2D"
"11","CIE3M","The Individual and the Economy","CHC2P"
"11","CIC3E","Making Economic Choices","CHC2D"
"11","CIC3E","Making Economic Choices","CHC2P"
"12","CIA4U","Analysing Current Economic Issues",
"9","CGC1D","Geography of Canada",
"9","CGC1P","Geography of Canada",
"11","CGD3M","The Americas: Geographic Patters and Issues","CGC1D"
"11","CGD3M","The Americas: Geographic Patters and Issues","CGC1P"
"11","CGF3M","Physical Geography: Patterns, Processes, and Interactions","CGC1D"
"11","CGF3M","Physical Geography: Patterns, Processes, and Interactions","CGC1P"
"11","CGT3E","Geographics: The Geographer's Toolkit","CGC1D"
