"University","Program","MaxEnrolment","ProgramType","MinGradeAvg","Specialization","Recommended","PrerequisiteGroup","PrerequisitePicks","PrerequisiteCodes"
"ALG","JAB","Open","Reg/Coop/Int","65","All",,1,1,"ENG4U"
"ALG","JAB","Open","Reg/Coop/Int","65","All",,2,5,"Other 4U/M"
"ALG","JFA","Open","Reg/Coop/Int","70+","All",,1,2,"ENG4U"
"ALG","JFA","Open","Reg/Coop/Int","70+","All",,1,2,"MHF4U"
"ALG","JFA","Open","Reg/Coop/Int","70+","All",,2,2,"4U/M Science"
"ALG","JFA","Open","Reg/Coop/Int","70+","All",,3,2,"Other 4U/M"
"ALG","JIA","Open","Reg","65+","All",,1,2,"ENG4U"
"ALG","JIA","Open","Reg","65+","All",,1,2,"MHF4U"
"ALG","JIA","Open","Reg","65+","All",,2,1,"4U/M Math"
"ALG","JEA","Open","Reg/Coop","65+","All",,1,2,"ENG4U"
"ALG","JEA","Open","Reg/Coop","65+","All",,1,2,"MHF4U"
"ALG","JEA","Open","Reg/Coop","65+","All",,2,1,"4U/M Math"
"ALG","JEA","Open","Reg/Coop","65+","All",,3,3,"Other 4U/M"
"ALG","JBB","Open","Reg/Coop","65+","All",,1,1,"ENG4U"
"ALG","JBB","Open","Reg/Coop","65+","All",,2,5,"Other 4U/M"
"ALG","JBC","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBC","Open","Reg/Coop/Int","65+","All",,2,2,"4U/M Math"
"ALG","JBC","Open","Reg/Coop/Int","65+","All",,3,3,"Other 4U/M"
"ALG","JGC","Open","Reg/Coop/Int","65+","All",,1,2,"ENG4U"
"ALG","JGC","Open","Reg/Coop/Int","65+","All",,1,2,"MHF4U"
"ALG","JGC","Open","Reg/Coop/Int","65+","All",,2,2,"4U/M Science"
"ALG","JGC","Open","Reg/Coop/Int","65+","All",,3,2,"Other 4U/M"
"ALG","JHA","Open","Reg/Int/Prac","70","All",,1,1,"ENG4U"
"ALG","JHA","Open","Reg/Int/Prac","70","All",,2,5,"Other 4U/M"
"ALG","JAS","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAS","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JAA","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAA","Open","Reg/Coop/Int","65+","All",,2,2,"4U/M Math"
"ALG","JAA","Open","Reg/Coop/Int","65+","All",,3,3,"Other 4U/M"
"ALG","JGA","Open","Reg/Coop","70+","All",,1,2,"ENG4U"
"ALG","JGA","Open","Reg/Coop","70+","All",,1,2,"MHF4U"
"ALG","JGA","Open","Reg/Coop","70+","All",,2,2,"4U/M Science"
"ALG","JGA","Open","Reg/Coop","70+","All",,3,2,"Other 4U/M"
"ALG","JDA","Open","Reg/Coop","70+","All",,1,1,"ENG4U"
"ALG","JDA","Open","Reg/Coop","70+","All",,2,2,"4U/M Math"
"ALG","JDA","Open","Reg/Coop","70+","All",,3,3,"Other 4U/M"
"ALG","JAC","Open","Reg/Int/Prac","65+","All",,1,1,"ENG4U"
"ALG","JAC","Open","Reg/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JBA","Open","Reg/Int/Prac","65+","All",,1,1,"ENG4U"
"ALG","JBA","Open","Reg/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JAD","Open","Reg/Int/Prac","65+","All",,1,1,"ENG4U"
"ALG","JAD","Open","Reg/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JFB","Open","Reg/Coop","65+","All",,1,2,"ENG4U"
"ALG","JFB","Open","Reg/Coop","65+","All",,1,2,"MHF4U"
"ALG","JFB","Open","Reg/Coop","65+","All",,2,2,"4U/M Science"
"ALG","JFB","Open","Reg/Coop","65+","All",,3,2,"Other 4U/M"
"ALG","JGB","Open","Reg/Coop","65+","All",,1,2,"ENG4U"
"ALG","JGB","Open","Reg/Coop","65+","All",,1,2,"MHF4U"
"ALG","JGB","Open","Reg/Coop","65+","All",,2,2,"4U/M Science"
"ALG","JGB","Open","Reg/Coop","65+","All",,3,2,"Other 4U/M"
"ALG","JAG","Open","Reg","","All",,1,1,"ENG4U"
"ALG","JAG","Open","Reg","","All",,2,2,"4U/M Math"
"ALG","JAG","Open","Reg","","All",,3,3,"Other 4U/M"
"ALG","JAH","Open","Reg/Coop","65+","All",,1,1,"ENG4U"
"ALG","JAH","Open","Reg/Coop","65+","All",,2,5,"Other 4U/M"
"ALG","JAI","Open","Reg/Coop","65+","All",,1,1,"ENG4U"
"ALG","JAI","Open","Reg/Coop","65+","All",,2,5,"Other 4U/M"
"ALG","JAI","Open","Reg/Coop","65+","All",,3,1,"Portfolio"
"ALG","JAK","Open","Reg/Coop/Int/Prac","65+","All",,1,1,"ENG4U"
"ALG","JAK","Open","Reg/Coop/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JBJ","Open","Reg/Coop/Int/Prac","65+","All",,1,1,"ENG4U"
"ALG","JBJ","Open","Reg/Coop/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JAN","Open","Reg/Coop/Int/Prac","65+","All",,1,1,"ENG4U"
