"CodeTâche","CNF","Compétence","NiveauCompétence","NiveauFormation"
"1","112","S8","L3","0"
"2","112","S10","L3","0"
"3","112","S10","L3","0"
"4","112","S11","L4","0"
"5","112","S12","L2","0"
"6","112","S12","L2","0"
"7","112","S12","L2","0"
"8","112","S12","L2","0"
"9","112","S12","L2","0"
"10","112","S12","L2","0"
"11","112","S12","L2","0"
"12","112","S12","L2","0"
"13","112","S13","L1","0"
"14","112","S13","L2","0"
"15","112","S3","L2","0"
"16","112","S3","L3","0"
"17","112","S3","L3","0"
"18","112","S9","L4","0"
"19","112","S9","L4","0"
"20","112","S9","L4","0"
"21","112","S10","L3","0"
"22","112","S10","L5","0"
"23","112","S11","L2","0"
"24","112","S11","L3","0"
"25","112","S11","L3","0"
"26","112","S11","L3","0"
"27","112","S7","L3","0"
"28","112","S7","L3","0"
"29","112","S14","L4","0"
"30","112","S14","L4","0"
"31","112","S14","L4","0"
"32","112","S14","L4","0"
"33","112","S14","L4","0"
"34","112","S14","L4","0"
"35","112","S10","L4","0"
"36","112","S10","L4","0"
"37","112","S10","L4","0"
"38","112","S8","L3","0"
"39","112","S8","L3","0"
"40","112","S8","L3","0"
"41","112","S8","L4","0"
"42","112","S9","L2","0"
"43","112","S9","L3","0"
"44","112","S14","L4","0"
"45","112","S1","L4","0"
"46","112","S1","L4","0"
"47","112","S2","L2","0"
"48","112","S2","L3","0"
"49","112","S2","L3","0"
"50","112","S2","L4","0"
"51","112","S3","L1","0"
"52","112","S4","L4","0"
"53","112","S3","L4","0"
"54","112","S3","L4","0"
"55","112","S13","L3","0"
"56","112","S13","L3","0"
"57","112","S13","L1","0"
"58","112","S14","L3","0"
"59","112","S10","L2","0"
"60","112","S10","L2","0"
"61","112","S10","L3","0"
"62","112","S8","L2","0"
"63","112","S8","L3","0"
"64","112","S8","L3","0"
"65","112","S8","L3","0"
"66","125","S7","L2","0"
"67","125","S8","L1","0"
"68","125","S14","L2","0"
"69","125","S14","L1","0"
"70","125","S14","L1","0"
"71","125","S14","L2","0"
"72","125","S14","L2","0"
"73","125","S8","L1","0"
"74","125","S10","L3","0"
"75","125","S10","L3","0"
"76","125","S10","L4","0"
"77","125","S10","L4","0"
"78","125","S11","L2","0"
"79","125","S3","L2","0"
"80","125","S3","L3","0"
"81","125","S9","L2","0"
"82","125","S9","L2","0"
"83","125","S11","L2","0"
"84","125","S12","L1","0"
"85","125","S12","L1","0"
"86","125","S12","L1","0"
"87","125","S12","L1","0"
"88","125","S12","L2","0"
"89","125","S12","L2","0"
"90","125","S12","L2","0"
"91","125","S12","L2","0"
"92","125","S13","L2","0"
"93","125","S13","L2","0"
"94","125","S13","L3","0"
"95","125","S8","L3","0"
"96","125","S8","L3","0"
"97","125","S8","L3","0"
"98","125","S8","L3","0"
"99","125","S6","L1","0"
"100","125","S6","L2","0"
"101","125","S6","L3","0"
"102","125","S9","L3","0"
"103","125","S9","L2","0"
"104","125","S10","L1","0"
"105","125","S10","L1","0"
"106","125","S10","L1","0"
"107","125","S10","L2","0"
"108","125","S10","L4","0"
"109","125","S10","L3","0"
"110","125","S10","L2","0"
"111","125","S10","L2","0"
"112","125","S1","L2","0"
"113","125","S1","L2","0"
"114","125","S2","L1","0"
"115","125","S2","L3","0"
"116","125","S2","L3","0"
"117","125","S2","L2","0"
"118","125","S2","L2","0"
"119","125","S2","L2","0"
"120","125","S2","L3","0"
"121","125","S14","L3","0"
"122","125","S11","L3",
"123","125","S11","L3",
"124","125","S11","L4",
"125","125","S11","L4",
"126","125","S1","L3",
"127","125","S1","L3",
"128","125","S1","L3",
"129","125","S1","L4",
"130","125","S7","L2",
"131","125","S7","L3",
"132","125","S8","L4",
"133","125","S9","L3",
"134","125","S15","L1",
"135","125","S15","L2",
"136","125","S15","L2",
"137","125","S15","L3",
"138","125","S15","L3",
"139","125","S15","L3",
"140","125","S12","L2",
"141","125","S12","L2",
"142","125","S12","L2",
"143","125","S12","L2",
"144","125","S12","L3",
"145","125","S12","L3",
"146","125","S12","L3",
"147","125","S12","L3",
"148","125","S12","L3",
"149","125","S12","L3",
"150","125","S12","L3",
"151","125","S11","L2",
"152","125","S12","L2",
"153","125","S2","L4","0"
"154","125","S3","L2","0"
"155","125","S4","L4","0"
"156","125","S14","L3","0"
"157","125","S14","L3","0"
"158","125","S11","L2",
"159","125","S11","L2",
"160","125","S8","L4","0"
"161","125","S14","L4","0"
"162","125","S14","L4","0"
"163","125","S14","L4","0"
"164","125","S8","L3","0"
"165","125","S8","L3","0"
"166","125","S13","L1","0"
"167","125","S9","L2","0"
"168","125","S12","L2","0"
"169","125","S8","L2","0"
"170","125","S8","L2","0"
"100","0621a","S6","L2","0"
"171","0621a","S11","L3","0"
"84","0621a","S12","L1","0"
"85","0621a","S12","L1","0"
"86","0621a","S12","L1","0"
"87","0621a","S12","L1","0"
"88","0621a","S12","L2","0"
"89","0621a","S12","L2","0"
"90","0621a","S12","L2","0"
"91","0621a","S12","L2","0"
"106","0621a","S10","L1","0"
"172","0621a","S10","L4","0"
"173","0621a","S10","L3","0"
"76","0621a","S10","L4","0"
"77","0621a","S10","L4","0"
"160","0621a","S8","L4","0"
"164","0621a","S8","L3","0"
"165","0621a","S8","L3","0"
"79","0621a","S3","L2","0"
"110","0621a","S10","L2","0"
"107","0621a","S10","L2","0"
"109","0621a","S10","L3","0"
"111","0621a","S10","L2","0"
"174","0621a","S14","L3","0"
"72","0621a","S14","L2","0"
"175","0621a","S14","L4","0"
"157","0621a","S14","L3","0"
"156","0621a","S14","L3","0"
"163","0621a","S14","L4","0"
"161","0621a","S14","L4","0"
"78","0621a","S11","L2","0"
"169","0621a","S8","L2","0"
"73","0621a","S8","L1","0"
"95","0621a","S8","L3","0"
"96","0621a","S8","L3","0"
"97","0621a","S8","L3","0"
"176","0621a","S8","L3","0"
"170","0621a","S8","L2","0"
"83","0621a","S11","L2",
"101","0621a","S6","L3","0"
"66","0621a","S7","L2","0"
"177","0621a","S8","L1","0"
"112","0621a","S1","L2","0"
"113","0621a","S1","L2","0"
"82","0621a","S9","L2","0"
"81","0621a","S9","L2","0"
"102","0621a","S9","L3","0"
"103","0621a","S9","L2","0"
"178","0621a","S9","L2","0"
"120","0621a","S2","L3","0"
"115","0621a","S2","L3","0"
"114","0621a","S2","L1","0"
"117","0621a","S2","L2","0"
"116","0621a","S2","L3","0"
"153","0621a","S2","L4","0"
"80","0621a","S3","L3","0"
"154","0621a","S3","L2","0"
"118","0621a","S2","L2","0"
"119","0621a","S2","L2","0"
"179","0621a","S4","L4","0"
"180","0621a","S5","L1","0"
"181","0621a","S6","L1","0"
"182","0621a","S15","L2",
"183","0621a","S15","L1",
"136","0621a","S15","L2",
"135","0621a","S15","L2",
"137","0621a","S15","L2",
"138","0621a","S15","L3",
"139","0621a","S15","L3",
"184","0621a","S15","L3",
"145","0621a","S12","L3",
"146","0621a","S12","L3",
"147","0621a","S12","L3",
"185","0621a","S12","L3",
"149","0621a","S12","L3",
"150","0621a","S12","L3",
"152","0621a","S12","L2",
"140","0621a","S12","L2",
"141","0621a","S12","L2",
"142","0621a","S12","L2",
"143","0621a","S12","L2",
"144","0621a","S12","L3",
"168","0621a","S12","L2","0"
"186","0621a","S13","L1","0"
"166","0621a","S13","L1","0"
"92","0621a","S13","L2","0"
"187","0621a","S13","L3","0"
"94","0621a","S13","L3","0"
"93","0621a","S13","L2","0"
"105","0621a","S10","L1","0"
"104","0621a","S10","L1","0"
"132","0621a","S8","L4",
"133","0621a","S9","L3",
"74","0621a","S10","L3","0"
"69","0621a","S14","L1","0"
"123","0621a","S11","L3",
"188","0621a","S11","L4",
"189","0621a","S11","L4",
"126","0621a","S1","L3",
"190","0621a","S1","L3",
"128","0621a","S1","L3",
"129","0621a","S1","L4",
"130","0621a","S7","L2",
"191","0621a","S7","L3",
"71","0621a","S14","L2","0"
"68","0621a","S14","L2","0"
"70","0621a","S14","L1","0"
"159","0621a","S11","L2",
"158","0621a","S11","L2",
"151","0621a","S11","L2",
"192","0621b","S10","L2","0"
"193","0621b","S3","L2","0"
"194","0621b","S10","L3","0"
"195","0621b","S10","L4","0"
"196","0621b","S12","L2","0"
"197","0621b","S9","L3","0"
"198","0621b","S10","L2","0"
"199","0621b","S3","L2","0"
"200","0621b","S6","L1","0"
"201","0621b","S6","L2","0"
"202","0621b","S6","L3","0"
"203","0621b","S7","L3","0"
"204","0621b","S8","L1","0"
"205","0621b","S8","L1","0"
"206","0621b","S8","L2","0"
"207","0621b","S8","L2","0"
"208","0621b","S8","L2","0"
"209","0621b","S8","L3","0"
"210","0621b","S8","L3","0"
"211","0621b","S8","L3","0"
"212","0621b","S9","L2","0"
"213","0621b","S9","L2","0"
"214","0621b","S2","L2","0"
"215","0621b","S2","L3","0"
"216","0621b","S2","L3","0"
"217","0621b","S2","L4","0"
"218","0621b","S2","L4","0"
"219","0621b","S14","L4","0"
"220","0621b","S10","L4","0"
"221","0621b","S11","L2","0"
"222","0621b","S11","L3","0"
"223","0621b","S11","L3","0"
"224","0621b","S11","L4","0"
"225","0621b","S12","L2","0"
"226","0621b","S12","L2","0"
"227","0621b","S1","L1","0"
"228","0621b","S12","L1","0"
"229","0621b","S13","L1","0"
"230","0621b","S13","L2","0"
"231","0621b","S13","L2","0"
"232","0621b","S13","L2","0"
"233","0621b","S13","L2","0"
"234","0621b","S9","L3","0"
"235","0621b","S12","L3","0"
"236","0621b","S12","L3","0"
"237","0621b","S12","L2","0"
"238","0621b","S10","L2","0"
"239","0621b","S10","L4","0"
"240","0621b","S13","L2","0"
"241","0621b","S13","L3","0"
"242","0621b","S13","L4","0"
"243","0621b","S13","L4","0"
"244","0621b","S14","L1","0"
"245","0621b","S14","L1","0"
"246","0621b","S14","L2","0"
"247","0621b","S14","L2","0"
"248","0621b","S14","L3","0"
"249","0621b","S14","L3","0"
"250","0621b","S14","L4","0"
"251","0621b","S3","L4","0"
"252","0621b","S4","L3","0"
"253","0621b","S3","L1","0"
"254","0621b","S10","L2","0"
"152","631","S12","L2",
"140","631","S12","L2",
"141","631","S12","L2",
"142","631","S12","L2",
"143","631","S12","L2",
"144","631","S12","L3",
"145","631","S12","L3",
"146","631","S12","L3",
"147","631","S12","L3",
"148","631","S12","L3",
"149","631","S12","L3",
"150","631","S12","L3",
"137","631","S15","L2",
"180","631","S5","L1",
"113","631","S1","L2",
"126","631","S1","L3",
"190","631","S1","L3",
"128","631","S1","L3",
"255","631","S1","L4",
"139","631","S15","L3",
"138","631","S15","L3",
"256","631","S7","L2",
"92","631","S13","L2","0"
"158","631","S11","L2",
"151","631","S11","L2",
"171","631","S11","L3",
"123","631","S11","L3",
"159","631","S11","L2",
"188","631","S11","L4",
"189","631","S11","L4",
"191","631","S7","L3",
"132","631","S8","L4",
"133","631","S9","L3",
"183","631","S15","L1",
"135","631","S15","L2",
"136","631","S15","L2",
"257","631","S1","L1","0"
"112","631","S1","L2","0"
"117","631","S2","L2","0"
"115","631","S2","L3","0"
"119","631","S2","L2","0"
"160","631","S8","L4","0"
"107","631","S10","L2","0"
"111","631","S10","L2","0"
"93","631","S13","L2","0"
"258","631","S10","L4","0"
"72","631","S14","L2","0"
"259","631","S14","L3","0"
