"TaskCode","NOC","Skill","SkillLevel","EducationTrainingLevel"
"1","112","S1","L4","0"
"2","112","S1","L4","0"
"3","112","S2","L2","0"
"4","112","S2","L3","0"
"5","112","S2","L3","0"
"6","112","S2","L4","0"
"7","112","S3","L1","0"
"8","112","S3","L2","0"
"9","112","S3","L3","0"
"10","112","S3","L3","0"
"11","112","S3","L4","0"
"12","112","S3","L4","0"
"13","112","S4","L4","0"
"14","112","S7","L3","0"
"15","112","S7","L3","0"
"16","112","S8","L2","0"
"17","112","S8","L3","0"
"18","112","S8","L3","0"
"19","112","S8","L3","0"
"20","112","S8","L3","0"
"21","112","S8","L3","0"
"22","112","S8","L3","0"
"23","112","S8","L3","0"
"24","112","S8","L4","0"
"25","112","S9","L2","0"
"26","112","S9","L3","0"
"27","112","S9","L4","0"
"28","112","S9","L4","0"
"29","112","S9","L4","0"
"30","112","S10","L2","0"
"31","112","S10","L2","0"
"32","112","S10","L3","0"
"33","112","S10","L3","0"
"34","112","S10","L3","0"
"35","112","S10","L3","0"
"36","112","S10","L4","0"
"37","112","S10","L4","0"
"38","112","S10","L4","0"
"39","112","S10","L5","0"
"40","112","S11","L2","0"
"41","112","S11","L3","0"
"42","112","S11","L3","0"
"43","112","S11","L3","0"
"44","112","S11","L4","0"
"45","112","S12","L2","0"
"46","112","S12","L2","0"
"47","112","S12","L2","0"
"48","112","S12","L2","0"
"49","112","S12","L2","0"
"50","112","S12","L2","0"
"51","112","S12","L2","0"
"52","112","S12","L2","0"
"53","112","S13","L1","0"
"54","112","S13","L2","0"
"55","112","S13","L3","0"
"56","112","S13","L3","0"
"57","112","S13","L1","0"
"58","112","S14","L3","0"
"59","112","S14","L4","0"
"60","112","S14","L4","0"
"61","112","S14","L4","0"
"62","112","S14","L4","0"
"63","112","S14","L4","0"
"64","112","S14","L4","0"
"65","112","S14","L4","0"
"66","123","S1","L2","0"
"67","123","S2","L1","0"
"68","123","S2","L3","0"
"69","123","S2","L3","0"
"70","123","S2","L2","0"
"71","123","S2","L2","0"
"72","123","S2","L2","0"
"73","123","S2","L3","0"
"74","123","S2","L4","0"
"75","123","S3","L2","0"
"76","123","S3","L3","0"
"77","123","S3","L2","0"
"78","123","S4","L4","0"
"79","123","S5","L1","0"
"80","123","S6","L1","0"
"81","123","S6","L2","0"
"82","123","S6","L3","0"
"83","123","S7","L2","0"
"84","123","S8","L1","0"
"85","123","S8","L2","0"
"86","123","S8","L1","0"
"87","123","S8","L2","0"
"88","123","S8","L3","0"
"89","123","S8","L3","0"
"90","123","S8","L3","0"
"91","123","S8","L3","0"
"92","123","S8","L3","0"
"93","123","S8","L3","0"
"94","123","S8","L4","0"
"95","123","S9","L2","0"
"96","123","S9","L2","0"
"97","123","S9","L2","0"
"98","123","S9","L3","0"
"99","123","S9","L2","0"
"100","123","S10","L1","0"
"101","123","S10","L1","0"
"102","123","S10","L1","0"
"103","123","S10","L3","0"
"104","123","S10","L3","0"
"105","123","S10","L2","0"
"106","123","S10","L2","0"
"107","123","S10","L2","0"
"108","123","S10","L4","0"
"109","123","S10","L3","0"
"110","123","S10","L4","0"
"111","123","S10","L4","0"
"112","123","S11","L2","0"
"113","123","S11","L2","0"
"114","123","S12","L1","0"
"115","123","S12","L1","0"
"116","123","S12","L1","0"
"117","123","S12","L1","0"
"118","123","S12","L2","0"
"119","123","S12","L2","0"
"120","123","S12","L2","0"
"121","123","S12","L2","0"
"122","123","S12","L2","0"
"123","123","S13","L2","0"
"124","123","S13","L2","0"
"125","123","S13","L1","0"
"126","123","S13","L3","0"
"127","123","S14","L2","0"
"128","123","S14","L1","0"
"129","123","S14","L1","0"
"130","123","S14","L2","0"
"131","123","S14","L2","0"
"132","123","S14","L4","0"
"133","123","S14","L3","0"
