"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E0","LFO","15-24","M",8.2
2001,"E0","LFO","15-24","F",6.3
2001,"E0","LFO","25-34","M",8.6
2001,"E0","LFO","25-34","F",5
2001,"E0","LFO","55+","M",44
2001,"E0","LFO","55+","F",21.2
2001,"E0","LFO","55-64","M",34.1
2001,"E0","LFO","55-64","F",18.3
2001,"E0","EFT","15-24","M",3.3
2001,"E0","EFT","15-24","F",1.7
2001,"E0","EFT","25-34","M",7.4
2001,"E0","EFT","25-34","F",3.7
2001,"E0","EFT","55+","M",37.2
2001,"E0","EFT","55+","F",12.8
2001,"E0","EFT","55-64","M",30.2
2001,"E0","EFT","55-64","F",12.2
2001,"E0","EPT","15-24","M",2.6
2001,"E0","EPT","15-24","F",3.2
2001,"E0","EPT","55+","M",4.8
2001,"E0","EPT","55+","F",7
2001,"E0","EPT","55-64","M",2
2001,"E0","EPT","55-64","F",4.7
2001,"E0","UNE","15-24","M",2.4
2001,"E0","UNE","55+","M",2
2001,"E0","UNE","55-64","M",1.9
2001,"E0","NLF","15-24","M",14.9
2001,"E0","NLF","15-24","F",15.6
2001,"E0","NLF","25-34","M",2.6
2001,"E0","NLF","25-34","F",6.8
2001,"E0","NLF","55+","M",185.4
2001,"E0","NLF","55+","F",274.3
2001,"E0","NLF","55-64","M",34.3
2001,"E0","NLF","55-64","F",56.4
2001,"E0","URT","15-24","M",29.3
2001,"E0","URT","55+","M",4.5
2001,"E0","URT","55-64","M",5.6
2001,"E0","PRT","15-24","M",35.5
2001,"E0","PRT","15-24","F",28.6
2001,"E0","PRT","25-34","M",76.8
2001,"E0","PRT","25-34","F",42.4
2001,"E0","PRT","55+","M",19.2
2001,"E0","PRT","55+","F",7.2
2001,"E0","PRT","55-64","M",49.8
2001,"E0","PRT","55-64","F",24.5
2001,"E0","ERT","15-24","M",25.5
2001,"E0","ERT","15-24","F",22.3
2001,"E0","ERT","25-34","M",71.4
2001,"E0","ERT","25-34","F",40.7
2001,"E0","ERT","55+","M",18.3
2001,"E0","ERT","55+","F",6.7
2001,"E0","ERT","55-64","M",47
2001,"E0","ERT","55-64","F",22.8
2001,"E1+2","LFO","15-24","M",192.7
2001,"E1+2","LFO","15-24","F",166.8
2001,"E1+2","LFO","25-34","M",59.2
2001,"E1+2","LFO","25-34","F",37.5
2001,"E1+2","LFO","55+","M",52.1
2001,"E1+2","LFO","55+","F",39.6
2001,"E1+2","LFO","55-64","M",43.2
2001,"E1+2","LFO","55-64","F",33
2001,"E1+2","EFT","15-24","M",52.1
2001,"E1+2","EFT","15-24","F",25.8
2001,"E1+2","EFT","25-34","M",50.1
2001,"E1+2","EFT","25-34","F",25.3
2001,"E1+2","EFT","55+","M",42.7
2001,"E1+2","EFT","55+","F",23.6
2001,"E1+2","EFT","55-64","M",37.3
2001,"E1+2","EFT","55-64","F",21.2
2001,"E1+2","EPT","15-24","M",104.9
2001,"E1+2","EPT","15-24","F",115
2001,"E1+2","EPT","25-34","M",2.8
2001,"E1+2","EPT","25-34","F",8.5
2001,"E1+2","EPT","55+","M",7.1
2001,"E1+2","EPT","55+","F",13.9
2001,"E1+2","EPT","55-64","M",3.7
2001,"E1+2","EPT","55-64","F",10
2001,"E1+2","UNE","15-24","M",35.7
2001,"E1+2","UNE","15-24","F",26
2001,"E1+2","UNE","25-34","M",6.3
2001,"E1+2","UNE","25-34","F",3.8
2001,"E1+2","UNE","55+","M",2.4
2001,"E1+2","UNE","55+","F",2
2001,"E1+2","UNE","55-64","M",2.2
2001,"E1+2","UNE","55-64","F",1.8
2001,"E1+2","NLF","15-24","M",158.5
2001,"E1+2","NLF","15-24","F",139.6
2001,"E1+2","NLF","25-34","M",8.3
2001,"E1+2","NLF","25-34","F",20
2001,"E1+2","NLF","55+","M",140.9
2001,"E1+2","NLF","55+","F",228.5
2001,"E1+2","NLF","55-64","M",33.3
2001,"E1+2","NLF","55-64","F",61.5
2001,"E1+2","URT","15-24","M",18.5
2001,"E1+2","URT","15-24","F",15.6
2001,"E1+2","URT","25-34","M",10.6
2001,"E1+2","URT","25-34","F",10.1
2001,"E1+2","URT","55+","M",4.6
2001,"E1+2","URT","55+","F",5.1
2001,"E1+2","URT","55-64","M",5.1
2001,"E1+2","URT","55-64","F",5.5
2001,"E1+2","PRT","15-24","M",54.9
2001,"E1+2","PRT","15-24","F",54.4
2001,"E1+2","PRT","25-34","M",87.7
2001,"E1+2","PRT","25-34","F",65.2
2001,"E1+2","PRT","55+","M",27
2001,"E1+2","PRT","55+","F",14.8
2001,"E1+2","PRT","55-64","M",56.5
2001,"E1+2","PRT","55-64","F",34.9
2001,"E1+2","ERT","15-24","M",44.7
2001,"E1+2","ERT","15-24","F",46
2001,"E1+2","ERT","25-34","M",78.4
2001,"E1+2","ERT","25-34","F",58.8
2001,"E1+2","ERT","55+","M",25.8
2001,"E1+2","ERT","55+","F",14
2001,"E1+2","ERT","55-64","M",53.6
2001,"E1+2","ERT","55-64","F",33
2001,"E3","LFO","15-24","M",135.8
2001,"E3","LFO","15-24","F",107
2001,"E3","LFO","25-34","M",163.8
2001,"E3","LFO","25-34","F",113.8
2001,"E3","LFO","55+","M",80.7
2001,"E3","LFO","55+","F",70.4
2001,"E3","LFO","55-64","M",69.6
2001,"E3","LFO","55-64","F",64.2
2001,"E3","EFT","15-24","M",89.1
2001,"E3","EFT","15-24","F",55.7
2001,"E3","EFT","25-34","M",147.9
2001,"E3","EFT","25-34","F",85.6
2001,"E3","EFT","55+","M",69.4
2001,"E3","EFT","55+","F",47.8
2001,"E3","EFT","55-64","M",62.2
2001,"E3","EFT","55-64","F",45.9
2001,"E3","EPT","15-24","M",28.5
