"NOC","AutomationProbability"
1211,0.014
1212,0.014
1213,0.014
1214,0.014
1215,0.014
1221,0.96
1222,0.86
1223,0.31
1224,0.81
1225,0.77
1226,0.037
1227,0.64
1228,0.418
1241,0.96
1242,0.94
1243,0.3
1251,0.695
1252,0.91
1253,0.95
1254,0.66
1511,0.865
1512,0.68
1513,0.94
1521,0.98
1522,0.64
1523,0.88
1524,0.77
1525,0.96
1526,0.96
1311,0.98
1312,0.98
1313,0.99
1314,0.9
1315,0.98
1411,0.96
1414,0.96
1415,0.9
1416,0.46
1422,0.99
1423,0.16
1431,0.98
1432,0.97
1434,0.98
1435,0.93
1451,0.95
1452,0.87
1454,0.66
1111,0.94
1112,0.23
1113,0.016
1114,0.33
1121,0.201
1122,0.071
1123,0.039
3411,0.51
3413,0.385
3414,0.594
3111,0.004
3112,0.004
3113,0.004
3114,0.038
3121,0.14
3122,0.027
3124,0.055
3125,0.02
3131,0.012
3132,0.004
3141,0.005
3142,0.021
3143,0.004
3144,0.012
3011,0.007
3012,0.009
3211,0.9
3212,0.47
3213,0.029
3214,0.066
3215,0.23
3216,0.35
3217,0.23
3219,0.4
3221,0.004
3222,0.68
3223,0.97
3231,0.71
3232,0.158
3233,0.058
3234,0.049
3236,0.54
3237,0.373
601,0.013
621,0.205
631,0.044
632,0.004
651,0.171
711,0.071
712,0.071
714,0.81
731,0.59
811,0.36
821,0.47
822,0.47
823,0.47
911,0.03
912,0.31
11,0.015
12,0.088
13,0.088
14,0.11
15,0.088
16,0.088
111,0.069
112,0.006
113,0.03
114,0.73
121,0.81
122,0.069
124,0.023
125,0.232
131,0.25
132,0.59
211,0.017
212,0.017
213,0.035
311,0.007
411,0.25
412,0.25
413,0.25
414,0.25
421,0.01
422,0.01
423,0.007
431,0.098
432,0.004
511,0.25
512,0.25
513,0.25
2111,0.071
2112,0.1
2113,0.63
2114,0.67
2115,0.43
2121,0.156
2122,0.008
2123,0.49
2131,0.019
2132,0.011
2133,0.063
2134,0.017
2141,0.029
2142,0.021
2143,0.14
2144,0.14
2145,0.16
2146,0.017
2147,0.22
2148,0.108
2151,0.018
2152,0.045
2153,0.13
2154,0.38
2161,0.159
2171,0.113
2172,0.03
2173,0.086
2174,0.048
2175,0.21
2211,0.57
2212,0.91
2221,0.3
2222,0.94
2223,0.42
2224,0.361
2225,0.95
2231,0.75
2232,0.38
2233,0.03
2234,0.57
2241,0.84
2242,0.41
2243,0.67
2244,0.63
2251,0.52
2252,0.037
2253,0.67
2254,0.96
2255,0.415
2261,0.795
2262,0.61
2263,0.08
2264,0.63
2271,0.18
2272,0.11
2273,0.27
2274,0.01
2275,0.895
2281,0.03
