Credentials / Accréditations
----------------------------

ATC	Apprenticeship or trades certificate or diploma                     	Certificat ou diplôme technique ou d'apprentissage
BDE	Bachelor's degree                                                   	Baccalauréat
CCO	College, CEGEP or other non-university certificate or diploma       	Certificat ou diplôme non-universitaire
CDB	University certificate or diploma below bachelor level              	Certificat ou diplôme universitaire inférieur au baccalauréat
CDD	University certificate, diploma or degree above bachelor level      	Certificat ou diplôme universitaire supérieur au baccalauréat
HSD	High school diploma or equivalent                                   	Études secondaires ou equivalent
NCD	No certificate, diploma or degree                                   	Aucun certificat ou diplôme


Occupations (NOC / CNP)
-----------------------

0011	Legislators                                                                                                          	Membres des corps législatifs
0012	Senior government managers and officials                                                                             	Cadres supérieurs/cadres supérieures - administration publique
0013	Senior managers - financial, communications and other business services                                              	Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises
0014	Senior managers - health, education, social and community services and membership organizations                      	Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles
0015	Senior managers - trade, broadcasting and other services, n.e.c.                                                     	Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a.
0016	Senior managers - construction, transportation, production and utilities                                             	Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique
0111	Financial managers                                                                                                   	Directeurs financiers/directrices financières
0112	Human resources managers                                                                                             	Directeurs/directrices des ressources humaines
0113	Purchasing managers                                                                                                  	Directeurs/directrices des achats
0114	Other administrative services managers                                                                               	Directeurs/directrices d'autres services administratifs
0121	Insurance, real estate and financial brokerage managers                                                              	Directeurs/directrices des assurances, de l'immobilier et du courtage financier
0122	Banking, credit and other investment managers                                                                        	Directeurs/directrices de banque, du crédit et d'autres services de placements
0124	Advertising, marketing and public relations managers                                                                 	Directeurs/directrices de la publicité, du marketing et des relations publiques
0125	Other business services managers                                                                                     	Directeurs/directrices d'autres services aux entreprises
0131	Telecommunication carriers managers                                                                                  	Directeurs/directrices d'entreprises de télécommunications
0132	Postal and courier services managers                                                                                 	Directeurs/directrices des services postaux et de messageries
0211	Engineering managers                                                                                                 	Directeurs/directrices des services de génie
0212	Architecture and science managers                                                                                    	Directeurs/directrices des services d'architecture et de sciences
0213	Computer and information systems managers                                                                            	Gestionnaires des systèmes informatiques
0311	Managers in health care                                                                                              	Directeurs/directrices des soins de santé
0411	Government managers - health and social policy development and program administration                                	Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé
0412	Government managers - economic analysis, policy development and program administration                               	Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes
0413	Government managers - education policy development and program administration                                        	Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes
0414	Other managers in public administration                                                                              	Autres gestionnaires de la fonction publique
0421	Administrators - post-secondary education and vocational training                                                    	Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle
0422	School principals and administrators of elementary and secondary education                                           	Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire
0423	Managers in social, community and correctional services                                                              	Directeurs/directrices des services sociaux, communautaires et correctionnels
0431	Commissioned police officers                                                                                         	Officiers/officières de direction des services de police
0432	Fire chiefs and senior firefighting officers                                                                         	Chefs et officiers supérieurs/officières supérieures des services d'incendie
0433	Commissioned officers of the Canadian Forces                                                                         	Officiers/officières de direction des Forces armées canadiennes
0511	Library, archive, museum and art gallery managers                                                                    	Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art
0512	Managers - publishing, motion pictures, broadcasting and performing arts                                             	Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène
0513	Recreation, sports and fitness program and service directors                                                         	Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique
0601	Corporate sales managers                                                                                             	Directeurs/directrices des ventes corporatives
0621	Retail and wholesale trade managers                                                                                  	Directeurs/directrices - commerce de détail et de gros
0631	Restaurant and food service managers                                                                                 	Directeurs/directrices de la restauration et des services alimentaires
0632	Accommodation service managers                                                                                       	Directeurs/directrices des services d'hébergement
0651	Managers in customer and personal services, n.e.c.                                                                   	Directeurs/directrices du service à la clientèle et des services personnels, n.c.a.
0711	Construction managers                                                                                                	Directeurs/directrices de la construction
0712	Home building and renovation managers                                                                                	Gestionnaires en construction et rénovation domiciliaire
0714	Facility operation and maintenance managers                                                                          	Directeurs/directrices de l'exploitation et de l'entretien d'immeubles
0731	Managers in transportation                                                                                           	Directeurs/directrices des transports
0811	Managers in natural resources production and fishing                                                                 	Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
0821	Managers in agriculture                                                                                              	Gestionnaires en agriculture
0822	Managers in horticulture                                                                                             	Gestionnaires en horticulture
0823	Managers in aquaculture                                                                                              	Gestionnaires en aquaculture
0911	Manufacturing managers                                                                                               	Directeurs/directrices de la fabrication
0912	Utilities managers                                                                                                   	Directeurs/directrices des services d'utilité publique
1111	Financial auditors and accountants                                                                                   	Vérificateurs/vérificatrices et comptables
1112	Financial and investment analysts                                                                                    	Analystes financiers/analystes financières et analystes en placements
1113	Securities agents, investment dealers and brokers                                                                    	Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs
1114	Other financial officers                                                                                             	Autres agents financiers/agentes financières
1121	Human resources professionals                                                                                        	Professionnels/professionnelles en ressources humaines
1122	Professional occupations in business management consulting                                                           	Professionnels/professionnelles des services-conseils en gestion aux entreprises
1123	Professional occupations in advertising, marketing and public relations                                              	Professionnels/professionnelles en publicité, en marketing et en relations publiques
1211	Supervisors, general office and administrative support workers                                                       	Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif
1212	Supervisors, finance and insurance office workers                                                                    	Superviseurs/superviseures de commis de finance et d'assurance
1213	Supervisors, library, correspondence and related information workers                                                 	Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information
1214	Supervisors, mail and message distribution occupations                                                               	Superviseurs/superviseures de services postaux et de messageries
1215	Supervisors, supply chain, tracking and scheduling co-ordination occupations                                         	Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires
1221	Administrative officers                                                                                              	Agents/agentes d'administration
1222	Executive assistants                                                                                                 	Adjoints/adjointes de direction
1223	Human resources and recruitment officers                                                                             	Agents/agentes des ressources humaines et de recrutement
1224	Property administrators                                                                                              	Agents/agentes de gestion immobilière
1225	Purchasing agents and officers                                                                                       	Agents/agentes aux achats
1226	Conference and event planners                                                                                        	Planificateurs/planificatrices de congrès et d'événements
1227	Court officers and justices of the peace                                                                             	Juges de paix et officiers/officières de justice
1228	Employment insurance, immigration, border services and revenue officers                                              	Agents/agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu
1241	Administrative assistants                                                                                            	Adjoints administratifs/adjointes administratives
1242	Legal administrative assistants                                                                                      	Adjoints administratifs juridiques/adjointes administratives juridiques
1243	Medical administrative assistants                                                                                    	Adjoints administratifs médicaux/adjointes administratives médicales
1251	Court reporters, medical transcriptionists and related occupations                                                   	Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé
1252	Health information management occupations                                                                            	Professionnels/professionnelles de la gestion de l'information sur la santé
1253	Records management technicians                                                                                       	Techniciens/techniciennes à la gestion des documents
1254	Statistical officers and related research support occupations                                                        	Agents/agentes de statistiques et professions connexes du soutien de la recherche
1311	Accounting technicians and bookkeepers                                                                               	Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
1312	Insurance adjusters and claims examiners                                                                             	Experts/expertes en sinistres et rédacteurs/rédactrices sinistres
1313	Insurance underwriters                                                                                               	Assureurs/assureures
1314	Assessors, valuators and appraisers                                                                                  	Estimateurs/estimatrices et évaluateurs/évaluatrices
1315	Customs, ship and other brokers                                                                                      	Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières
1411	General office support workers                                                                                       	Employés de soutien de bureau généraux/employées de soutien de bureau générales
1414	Receptionists                                                                                                        	Réceptionnistes
