"Occupation","Credential","AgeGroup","Program","Count"
"NA","ATC","15-24","13.99",15
"NA","ATC","15-24","10.02",15
"NA","ATC","15-24","10.03",45
"NA","ATC","15-24","50.04",65
"NA","ATC","15-24","50.09",55
"NA","ATC","15-24","24.01",135
"NA","ATC","15-24","55.99",45
"NA","ATC","15-24","19.01",45
"NA","ATC","15-24","19.07",130
"NA","ATC","15-24","22.03",80
"NA","ATC","15-24","52.01",110
"NA","ATC","15-24","52.02",75
"NA","ATC","15-24","52.03",65
"NA","ATC","15-24","52.04",40
"NA","ATC","15-24","52.09",35
"NA","ATC","15-24","52.10",25
"NA","ATC","15-24","52.19",30
"NA","ATC","15-24","41.00",60
"NA","ATC","15-24","11.01",40
"NA","ATC","15-24","11.02",15
"NA","ATC","15-24","11.10",30
"NA","ATC","15-24","15.00",50
"NA","ATC","15-24","15.03",60
"NA","ATC","15-24","15.04",25
"NA","ATC","15-24","15.07",50
"NA","ATC","15-24","15.08",30
"NA","ATC","15-24","15.09",45
"NA","ATC","15-24","15.12",55
"NA","ATC","15-24","46.00",80
"NA","ATC","15-24","46.01",35
"NA","ATC","15-24","46.02",195
"NA","ATC","15-24","46.03",205
"NA","ATC","15-24","46.04",75
"NA","ATC","15-24","46.05",95
"NA","ATC","15-24","46.99",20
"NA","ATC","15-24","47.00",85
"NA","ATC","15-24","47.02",160
"NA","ATC","15-24","47.06",550
"NA","ATC","15-24","48.05",180
"NA","ATC","15-24","01.05",30
"NA","ATC","15-24","31.01",20
"NA","ATC","15-24","31.05",95
"NA","ATC","15-24","51.00",55
"NA","ATC","15-24","51.06",25
"NA","ATC","15-24","51.07",105
"NA","ATC","15-24","51.08",85
"NA","ATC","15-24","51.26",350
"NA","ATC","15-24","51.39",50
"NA","ATC","15-24","12.04",940
"NA","ATC","15-24","12.05",465
"NA","ATC","15-24","29.05",35
"NA","ATC","15-24","43.01",135
"NA","ATC","15-24","43.02",30
"NA","ATC","15-24","49.02",180
"NA","ATC","25-34","50.04",50
"NA","ATC","25-34","50.06",25
"NA","ATC","25-34","50.07",15
"NA","ATC","25-34","23.99",30
"NA","ATC","25-34","24.01",85
"NA","ATC","25-34","19.07",230
"NA","ATC","25-34","19.09",80
"NA","ATC","25-34","22.03",110
"NA","ATC","25-34","44.00",50
"NA","ATC","25-34","52.01",80
"NA","ATC","25-34","52.02",65
"NA","ATC","25-34","52.03",130
"NA","ATC","25-34","52.04",135
"NA","ATC","25-34","52.08",30
"NA","ATC","25-34","52.09",120
"NA","ATC","25-34","52.10",20
"NA","ATC","25-34","52.15",20
"NA","ATC","25-34","52.17",30
"NA","ATC","25-34","52.18",20
"NA","ATC","25-34","52.19",70
"NA","ATC","25-34","41.00",65
"NA","ATC","25-34","11.01",165
"NA","ATC","25-34","11.02",25
"NA","ATC","25-34","11.06",25
"NA","ATC","25-34","11.10",35
"NA","ATC","25-34","15.00",55
"NA","ATC","25-34","15.03",35
"NA","ATC","25-34","15.04",30
"NA","ATC","25-34","15.05",15
"NA","ATC","25-34","15.08",40
"NA","ATC","25-34","15.09",65
"NA","ATC","25-34","15.12",30
"NA","ATC","25-34","15.13",30
"NA","ATC","25-34","46.00",30
"NA","ATC","25-34","46.01",25
"NA","ATC","25-34","46.02",95
"NA","ATC","25-34","46.03",135
"NA","ATC","25-34","46.04",170
"NA","ATC","25-34","46.05",65
"NA","ATC","25-34","47.00",85
"NA","ATC","25-34","47.01",30
"NA","ATC","25-34","47.02",35
"NA","ATC","25-34","47.03",45
"NA","ATC","25-34","47.06",405
"NA","ATC","25-34","48.05",505
"NA","ATC","25-34","48.07",35
"NA","ATC","25-34","01.06",80
"NA","ATC","25-34","03.05",30
"NA","ATC","25-34","31.05",35
"NA","ATC","25-34","51.06",80
"NA","ATC","25-34","51.07",225
"NA","ATC","25-34","51.08",110
"NA","ATC","25-34","51.09",30
"NA","ATC","25-34","51.10",80
"NA","ATC","25-34","51.15",10
"NA","ATC","25-34","51.26",1075
"NA","ATC","25-34","51.31",30
"NA","ATC","25-34","51.35",10
"NA","ATC","25-34","51.39",130
"NA","ATC","25-34","12.04",1695
"NA","ATC","25-34","12.05",350
"NA","ATC","25-34","43.01",195
"NA","ATC","25-34","43.02",20
"NA","ATC","25-34","43.99",20
"NA","ATC","25-34","49.01",30
"NA","ATC","25-34","49.02",265
"NA","ATC","35-44","13.99",25
"NA","ATC","35-44","10.03",45
"NA","ATC","35-44","50.04",80
"NA","ATC","35-44","50.06",20
"NA","ATC","35-44","50.07",40
"NA","ATC","35-44","24.01",95
"NA","ATC","35-44","19.06",20
"NA","ATC","35-44","19.07",320
"NA","ATC","35-44","19.09",130
"NA","ATC","35-44","22.03",135
"NA","ATC","35-44","44.00",30
"NA","ATC","35-44","44.07",15
"NA","ATC","35-44","52.01",130
"NA","ATC","35-44","52.02",165
"NA","ATC","35-44","52.03",400
"NA","ATC","35-44","52.04",305
"NA","ATC","35-44","52.08",75
"NA","ATC","35-44","52.09",80
"NA","ATC","35-44","52.15",30
"NA","ATC","35-44","52.17",15
"NA","ATC","35-44","52.18",30
"NA","ATC","35-44","52.19",115
"NA","ATC","35-44","41.03",15
"NA","ATC","35-44","11.01",185
"NA","ATC","35-44","11.02",100
"NA","ATC","35-44","11.06",50
"NA","ATC","35-44","11.08",15
"NA","ATC","35-44","11.10",50
"NA","ATC","35-44","27.03",20
"NA","ATC","35-44","15.00",70
"NA","ATC","35-44","15.03",105
"NA","ATC","35-44","15.05",15
"NA","ATC","35-44","15.07",25
"NA","ATC","35-44","15.08",20
"NA","ATC","35-44","15.09",100
"NA","ATC","35-44","15.12",30
