"Year","Metric","AgeGroup","Occupation","Value"
2001,"TEM","15-24","OC",864.2
2001,"TEM","15-24","AS",7.6
2001,"TEM","15-24","CA",3.2
2001,"TEM","15-24","EL",5.9
2001,"TEM","15-24","EI",9.7
2001,"TEM","15-24","EF",2.2
2001,"TEM","15-24","FS",36.2
2001,"TEM","15-24","HE",6.3
2001,"TEM","15-24","TD",3.3
2001,"TEM","15-24","IF",4.1
2001,"TEM","15-24","LH",7.7
2001,"TEM","15-24","MA",4.8
2001,"TEM","15-24","SM",5
2001,"TEM","15-24","MT",4.7
2001,"TEM","15-24","PP",2.3
2001,"TEM","15-24","TH",40.9
2001,"TEM","15-24","WE",4.5
2001,"TEM","15-24","OT",11.5
2001,"TEM","25-34","OC",1243.9
2001,"TEM","25-34","AS",15.6
2001,"TEM","25-34","CA",5.2
2001,"TEM","25-34","EL",10.1
2001,"TEM","25-34","EI",23.3
2001,"TEM","25-34","EF",4.2
2001,"TEM","25-34","FS",19.5
2001,"TEM","25-34","HE",7.9
2001,"TEM","25-34","TD",13.6
2001,"TEM","25-34","HE",5.4
2001,"TEM","25-34","IF",6.7
2001,"TEM","25-34","LH",4.6
2001,"TEM","25-34","MA",13.9
2001,"TEM","25-34","SM",12.2
2001,"TEM","25-34","MT",12.1
2001,"TEM","25-34","PP",5.1
2001,"TEM","25-34","TH",33.7
2001,"TEM","25-34","WE",7.9
2001,"TEM","25-34","OT",34.8
2001,"TEM","35-44","OC",1405
2001,"TEM","35-44","AS",15.7
2001,"TEM","35-44","CA",6.3
2001,"TEM","35-44","EL",15.8
2001,"TEM","35-44","EI",29.2
2001,"TEM","35-44","EF",6.3
2001,"TEM","35-44","FS",24.1
2001,"TEM","35-44","HE",4
2001,"TEM","35-44","TD",24.9
2001,"TEM","35-44","HE",5.4
2001,"TEM","35-44","IF",6.1
2001,"TEM","35-44","LH",5.1
2001,"TEM","35-44","MA",17.5
2001,"TEM","35-44","SM",17.3
2001,"TEM","35-44","MT",21.2
2001,"TEM","35-44","PP",4.7
2001,"TEM","35-44","TH",42.1
2001,"TEM","35-44","WE",11
2001,"TEM","35-44","OT",36.3
2001,"TEM","45-54","OC",1072.4
2001,"TEM","45-54","AS",8.8
2001,"TEM","45-54","CA",3.3
2001,"TEM","45-54","EL",13.8
2001,"TEM","45-54","EI",13.2
2001,"TEM","45-54","EF",2.3
2001,"TEM","45-54","FS",18.4
2001,"TEM","45-54","HE",2.1
2001,"TEM","45-54","TD",14.9
2001,"TEM","45-54","HE",5.6
2001,"TEM","45-54","IF",4
2001,"TEM","45-54","LH",1.6
2001,"TEM","45-54","MA",9.1
2001,"TEM","45-54","SM",11.5
2001,"TEM","45-54","MT",18.9
2001,"TEM","45-54","PP",5.2
2001,"TEM","45-54","TH",31
2001,"TEM","45-54","WE",7.4
2001,"TEM","45-54","OT",18.8
2001,"TEM","55-64","OC",413.6
2001,"TEM","55-64","AS",4.2
2001,"TEM","55-64","CA",2.3
2001,"TEM","55-64","EL",4.4
2001,"TEM","55-64","EI",3.1
2001,"TEM","55-64","FS",6.6
2001,"TEM","55-64","TD",10.3
2001,"TEM","55-64","HE",2.7
2001,"TEM","55-64","MA",4.7
2001,"TEM","55-64","SM",3.4
2001,"TEM","55-64","MT",6.2
2001,"TEM","55-64","TH",14.9
2001,"TEM","55-64","WE",3.4
2001,"TEM","55-64","OT",5.1
2001,"TEM","65+","OC",45.9
2001,"TEM","65+","TH",2.1
2001,"AHW","15-24","OC",10.18
2001,"AHW","15-24","AS",10.57
2001,"AHW","15-24","CA",11.27
2001,"AHW","15-24","EL",12.42
2001,"AHW","15-24","EI",13.14
2001,"AHW","15-24","EF",13.76
2001,"AHW","15-24","FS",8.17
2001,"AHW","15-24","HE",9.33
2001,"AHW","15-24","TD",13.57
2001,"AHW","15-24","IF",11.94
2001,"AHW","15-24","LH",9.88
2001,"AHW","15-24","MA",13.33
2001,"AHW","15-24","SM",13.48
2001,"AHW","15-24","MT",14.15
2001,"AHW","15-24","PP",14.53
2001,"AHW","15-24","TH",10.19
2001,"AHW","15-24","WE",13.6
2001,"AHW","15-24","OT",14.64
2001,"AHW","25-34","OC",18.24
2001,"AHW","25-34","AS",15.84
2001,"AHW","25-34","CA",16.35
2001,"AHW","25-34","EL",19.76
