"ServiceDeliverySiteCode","TradeCode","NewRegistrations"
"4832A","240P",8
"4832A","241A",0
"4832A","244G",0
"4832A","244K",0
"4832A","245R",9
"4832A","246F",0
"4832A","246R",0
"4832A","246T",0
"4832A","253A",0
"4832A","253H",0
"4832A","255B",0
"4832A","259L",0
"4832A","268R",0
"4832A","269E",0
"4832A","274L",0
"4832A","277Z",0
"4832A","278B",0
"4832A","282E",0
"4832A","289F",0
"4832A","295A",0
"4832A","297A",0
"4832A","297B",0
"4832A","306A",38
"4832A","307A",0
"4832A","308A",19
"4832A","308R",0
"4832A","309A",41
"4832A","309C",6
"4832A","310B",11
"4832A","310D",0
"4832A","310E",0
"4832A","310G",0
"4832A","310J",0
"4832A","310K",0
"4832A","310Q",0
"4832A","310S",103
"4832A","310T",50
"4832A","313A",8
"4832A","313D",8
"4832A","332A",32
"4832A","339A",100
"4832A","339B",27
"4832A","339C",0
"4832A","401A",0
"4832A","403A",33
"4832A","404C",0
"4832A","404D",0
"4832A","410N",0
"4832A","415A",0
"4832A","415B",0
"4832A","415D",0
"4832A","420A",0
"4832A","421A",7
"4832A","423A",0
"4832A","423C",0
"4832A","424A",0
"4832A","425A",6
"4832A","426A",0
"4832A","427A",0
"4832A","428A",0
"4832A","429A",0
"4832A","430A",0
"4832A","430M",0
"4832A","431A",0
"4832A","433A",10
"4832A","434A",15
"4832A","435A",0
"4832A","435B",0
"4832A","437A",0
"4832A","438A",0
"4832A","441C",0
"4832A","442A",0
"4832A","443A",0
"4832A","444A",0
"4832A","444B",0
"4832A","445A",0
"4832A","446A",0
"4832A","447A",0
"4832A","448A",0
"4832A","449A",0
"4832A","450A",0
"4832A","451A",0
"4832A","452A",0
"4832A","453A",0
"4832A","456A",16
"4832A","456P",0
"4832A","600H",0
"4832A","600P",0
"4832A","602C",0
"4832A","606G",0
"4832A","614A",0
"4832A","617A",0
"4832A","620A",0
"4832A","620C",29
"4832A","620D",0
"4832A","620E",0
"4832A","630A",0
"4832A","630T",0
"4832A","631A",0
"4832A","634A",0
"4832A","634B",0
"4832A","634C",0
"4832A","634D",0
"4832A","634E",0
"4832A","636A",109
"4832A","636B",111
"4832A","636C",110
"4832A","636E",0
"4832A","637C",9
"4832A","638A",115
"4832A","670C",0
"4832A","690H",0
"3714C","240P",81
"3714C","241A",0
"3714C","244G",0
"3714C","244K",0
"3714C","245R",0
"3714C","246F",0
"3714C","246R",0
"3714C","246T",0
"3714C","253A",0
"3714C","253H",0
"3714C","255B",8
"3714C","259L",0
"3714C","268R",0
"3714C","269E",0
"3714C","274L",0
"3714C","277Z",0
"3714C","278B",0
"3714C","282E",0
"3714C","289F",0
"3714C","295A",0
"3714C","297A",0
"3714C","297B",0
"3714C","306A",114
"3714C","307A",0
"3714C","308A",9
"3714C","308R",0
"3714C","309A",147
"3714C","309C",7
"3714C","310B",17
"3714C","310D",0
"3714C","310E",0
"3714C","310G",0
"3714C","310J",0
"3714C","310K",0
"3714C","310Q",0
"3714C","310S",207
"3714C","310T",47
"3714C","313A",21
"3714C","313D",11
"3714C","332A",142
"3714C","339A",0
"3714C","339B",0
"3714C","339C",0
"3714C","401A",7
"3714C","403A",133
"3714C","404C",0
"3714C","404D",0
"3714C","410N",0
"3714C","415A",12
"3714C","415B",0
"3714C","415D",0
"3714C","420A",0
"3714C","421A",11
"3714C","423A",0
"3714C","423C",0
"3714C","424A",0
"3714C","425A",0
"3714C","426A",0
"3714C","427A",0
"3714C","428A",0
"3714C","429A",0
"3714C","430A",0
"3714C","430M",0
"3714C","431A",0
"3714C","433A",0
"3714C","434A",7
"3714C","435A",0
"3714C","435B",0
"3714C","437A",0
"3714C","438A",6
"3714C","441C",8
"3714C","442A",0
"3714C","443A",0
"3714C","444A",0
"3714C","444B",0
"3714C","445A",0
"3714C","446A",0
"3714C","447A",0
"3714C","448A",0
"3714C","449A",0
"3714C","450A",6
"3714C","451A",23
"3714C","452A",0
"3714C","453A",0
"3714C","456A",12
"3714C","456P",0
"3714C","600H",0
"3714C","600P",0
"3714C","602C",0
"3714C","606G",0
"3714C","614A",0
"3714C","617A",0
"3714C","620A",0
"3714C","620C",67
"3714C","620D",0
"3714C","620E",0
"3714C","630A",0
"3714C","630T",0
"3714C","631A",0
"3714C","634A",0
"3714C","634B",0
"3714C","634C",0
"3714C","634D",0
"3714C","634E",0
"3714C","636A",0
"3714C","636B",0
"3714C","636C",0
"3714C","636E",0
"3714C","637C",0
"3714C","638A",0
"3714C","670C",0
"3714C","690H",0
"3714G","240P",0
"3714G","241A",0
"3714G","244G",0
"3714G","244K",0
"3714G","245R",0
"3714G","246F",0
"3714G","246R",0
"3714G","246T",0
"3714G","253A",0
"3714G","253H",0
"3714G","255B",0
"3714G","259L",0
"3714G","268R",0
"3714G","269E",0
"3714G","274L",0
"3714G","277Z",0
"3714G","278B",0
"3714G","282E",0
"3714G","289F",0
"3714G","295A",0
"3714G","297A",0
"3714G","297B",0
"3714G","306A",15
"3714G","307A",0
"3714G","308A",0
"3714G","308R",0
"3714G","309A",38
"3714G","309C",0
"3714G","310B",7
"3714G","310D",0
"3714G","310E",0
"3714G","310G",0
"3714G","310J",0
"3714G","310K",0
"3714G","310Q",0
"3714G","310S",80
"3714G","310T",26
"3714G","313A",6
"3714G","313D",0
"3714G","332A",39
"3714G","339A",0
"3714G","339B",0
"3714G","339C",0
"3714G","401A",6
"3714G","403A",49
"3714G","404C",0
"3714G","404D",0
"3714G","410N",0
"3714G","415A",0
"3714G","415B",0
"3714G","415D",0
"3714G","420A",0
