"Year","University","Subject","Metric","OSSD","Count"
2008,"ALG","AHS","A1","Y",2194
2008,"ALG","AHS","A1","N",451
2008,"ALG","AHS","R1","Y",1132
2008,"ALG","AHS","R1","N",141
2008,"ALG","AHS","AA","Y",10262
2008,"ALG","AHS","AA","N",1344
2008,"ALG","AHS","RA","Y",1995
2008,"ALG","AHS","RA","N",212
2008,"ALG","SCI","A1","Y",145
2008,"ALG","SCI","A1","N",35
2008,"ALG","SCI","R1","Y",52
2008,"ALG","SCI","R1","N",6
2008,"ALG","SCI","AA","Y",1731
2008,"ALG","SCI","AA","N",266
2008,"ALG","SCI","RA","Y",187
2008,"ALG","SCI","RA","N",11
2008,"ALG","CMB","A1","Y",1235
2008,"ALG","CMB","A1","N",169
2008,"ALG","CMB","R1","Y",467
2008,"ALG","CMB","R1","N",28
2008,"ALG","CMB","AA","Y",6069
2008,"ALG","CMB","AA","N",820
2008,"ALG","CMB","RA","Y",887
2008,"ALG","CMB","RA","N",56
2008,"ALG","PHE","A1","Y",418
2008,"ALG","PHE","A1","N",42
2008,"ALG","PHE","R1","Y",85
2008,"ALG","PHE","R1","N",3
2008,"ALG","PHE","AA","Y",1651
2008,"ALG","PHE","AA","N",141
2008,"ALG","PHE","RA","Y",124
2008,"ALG","PHE","RA","N",7
2008,"ALG","MUS","A1","Y",113
2008,"ALG","MUS","A1","N",32
2008,"ALG","MUS","R1","Y",44
2008,"ALG","MUS","R1","N",13
2008,"ALG","MUS","AA","Y",380
2008,"ALG","MUS","AA","N",85
2008,"ALG","MUS","RA","Y",69
2008,"ALG","MUS","RA","N",18
2008,"ALG","DPR","A1","N",22
2008,"ALG","DPR","AA","N",38
2015,"BCW","AHS","A1","Y",84
2015,"BCW","AHS","A1","N",30
2015,"BCW","AHS","R1","Y",46
2015,"BCW","AHS","R1","N",14
2015,"BCW","AHS","AA","Y",348
2015,"BCW","AHS","AA","N",109
2015,"BCW","AHS","RA","Y",88
2015,"BCW","AHS","RA","N",27
2015,"BCW","CMB","A1","Y",15
2015,"BCW","CMB","A1","N",10
2015,"BCW","CMB","AA","Y",90
2015,"BCW","CMB","AA","N",46
2015,"BCW","CMB","RA","Y",9
2015,"BCW","CMB","RA","N",13
2015,"BCW","PHE","A1","Y",20
2015,"BCW","PHE","R1","Y",6
2015,"BCW","PHE","AA","Y",117
2015,"BCW","PHE","AA","N",20
2015,"BCW","PHE","RA","Y",10
2015,"BCW","HSC","A1","Y",92
2015,"BCW","HSC","A1","N",62
2015,"BCW","HSC","R1","Y",55
2015,"BCW","HSC","R1","N",18
2015,"BCW","HSC","AA","Y",341
2015,"BCW","HSC","AA","N",205
2015,"BCW","HSC","RA","Y",92
2015,"BCW","HSC","RA","N",33
2015,"BCW","ODE","A1","Y",20
2015,"BCW","ODE","A1","N",6
2015,"BCW","ODE","AA","Y",102
2015,"BCW","ODE","AA","N",26
2015,"BCW","ODE","RA","Y",13
2015,"BCW","PYE","A1","N",6
2015,"BCW","PYE","AA","Y",12
2015,"BCW","PYE","AA","N",8
2014,"BCW","AHS","A1","Y",68
2014,"BCW","AHS","A1","N",33
2014,"BCW","AHS","R1","Y",31
2014,"BCW","AHS","R1","N",9
2014,"BCW","AHS","AA","Y",293
2014,"BCW","AHS","AA","N",98
2014,"BCW","AHS","RA","Y",76
2014,"BCW","AHS","RA","N",15
2014,"BCW","CMB","A1","Y",15
2014,"BCW","CMB","A1","N",10
2014,"BCW","CMB","AA","Y",89
2014,"BCW","CMB","AA","N",37
2014,"BCW","CMB","RA","Y",10
2014,"BCW","CMB","RA","N",10
2014,"BCW","PHE","A1","Y",12
2014,"BCW","PHE","AA","Y",98
2014,"BCW","PHE","AA","N",25
2014,"BCW","PHE","RA","Y",7
2014,"BCW","HSC","A1","Y",110
2014,"BCW","HSC","A1","N",76
2014,"BCW","HSC","R1","Y",60
2014,"BCW","HSC","R1","N",21
2014,"BCW","HSC","AA","Y",343
2014,"BCW","HSC","AA","N",187
2014,"BCW","HSC","RA","Y",120
2014,"BCW","HSC","RA","N",34
2014,"BCW","ODE","A1","Y",18
2014,"BCW","ODE","AA","Y",109
2014,"BCW","ODE","AA","N",26
2014,"BCW","ODE","RA","Y",12
2014,"BCW","PYE","A1","Y",8
2014,"BCW","PYE","AA","Y",19
2014,"BCW","PYE","AA","N",8
2013,"BCW","AHS","A1","Y",63
2013,"BCW","AHS","A1","N",37
2013,"BCW","AHS","R1","Y",39
2013,"BCW","AHS","R1","N",14
2013,"BCW","AHS","AA","Y",332
2013,"BCW","AHS","AA","N",114
2013,"BCW","AHS","RA","Y",104
2013,"BCW","AHS","RA","N",27
2013,"BCW","CMB","A1","Y",11
2013,"BCW","CMB","A1","N",11
2013,"BCW","CMB","AA","Y",82
2013,"BCW","CMB","AA","N",38
2013,"BCW","CMB","RA","Y",9
2013,"BCW","CMB","RA","N",6
2013,"BCW","PHE","A1","Y",13
2013,"BCW","PHE","AA","Y",92
2013,"BCW","PHE","AA","N",19
2013,"BCW","PHE","RA","Y",6
2013,"BCW","HSC","A1","Y",88
2013,"BCW","HSC","A1","N",66
2013,"BCW","HSC","R1","Y",49
2013,"BCW","HSC","R1","N",17
2013,"BCW","HSC","AA","Y",353
2013,"BCW","HSC","AA","N",144
2013,"BCW","HSC","RA","Y",99
2013,"BCW","HSC","RA","N",29
2013,"BCW","ODE","A1","Y",8
2013,"BCW","ODE","AA","Y",84
2013,"BCW","ODE","AA","N",22
2013,"BCW","PYE","A1","Y",7
2013,"BCW","PYE","AA","Y",16
2012,"BCW","AHS","A1","Y",56
2012,"BCW","AHS","A1","N",51
2012,"BCW","AHS","R1","Y",30
2012,"BCW","AHS","R1","N",21
2012,"BCW","AHS","AA","Y",295
2012,"BCW","AHS","AA","N",129
2012,"BCW","AHS","RA","Y",72
2012,"BCW","AHS","RA","N",33
2012,"BCW","CMB","A1","Y",14
2012,"BCW","CMB","A1","N",9
2012,"BCW","CMB","R1","Y",5
2012,"BCW","CMB","R1","N",4
2012,"BCW","CMB","AA","Y",87
2012,"BCW","CMB","AA","N",46
2012,"BCW","CMB","RA","Y",12
2012,"BCW","CMB","RA","N",4
2012,"BCW","PHE","A1","Y",11
2012,"BCW","PHE","A1","N",5
2012,"BCW","PHE","R1","Y",1
2012,"BCW","PHE","AA","Y",95
2012,"BCW","PHE","AA","N",17
2012,"BCW","PHE","RA","Y",5
2012,"BCW","HSC","A1","Y",81
2012,"BCW","HSC","A1","N",78
2012,"BCW","HSC","R1","Y",44
2012,"BCW","HSC","R1","N",15
2012,"BCW","HSC","AA","Y",294
2012,"BCW","HSC","AA","N",176
2012,"BCW","HSC","RA","Y",89
2012,"BCW","HSC","RA","N",29
2012,"BCW","ODE","A1","Y",25
2012,"BCW","ODE","A1","N",8
2012,"BCW","ODE","R1","Y",5
2012,"BCW","ODE","R1","N",2
2012,"BCW","ODE","AA","Y",86
2012,"BCW","ODE","AA","N",35
2012,"BCW","ODE","RA","Y",8
2012,"BCW","ODE","RA","N",3
2012,"BCW","PYE","A1","Y",7
2012,"BCW","PYE","A1","N",2
2012,"BCW","PYE","AA","Y",15
2012,"BCW","PYE","AA","N",3
2011,"BCW","AHS","A1","Y",68
2011,"BCW","AHS","A1","N",36
2011,"BCW","AHS","R1","Y",42
2011,"BCW","AHS","R1","N",18
2011,"BCW","AHS","AA","Y",324
2011,"BCW","AHS","AA","N",130
2011,"BCW","AHS","RA","Y",91
2011,"BCW","AHS","RA","N",34
2011,"BCW","CMB","A1","Y",14
2011,"BCW","CMB","A1","N",5
2011,"BCW","CMB","R1","Y",4
2011,"BCW","CMB","R1","N",2
2011,"BCW","CMB","AA","Y",78
2011,"BCW","CMB","AA","N",36
2011,"BCW","CMB","RA","Y",10
2011,"BCW","CMB","RA","N",5
2011,"BCW","PHE","A1","Y",20
2011,"BCW","PHE","A1","N",4
2011,"BCW","PHE","R1","Y",3
2011,"BCW","PHE","AA","Y",97
2011,"BCW","PHE","AA","N",18
2011,"BCW","PHE","RA","Y",6
2011,"BCW","PHE","RA","N",1
2011,"BCW","HSC","A1","Y",78
2011,"BCW","HSC","A1","N",57
2011,"BCW","HSC","R1","Y",37
2011,"BCW","HSC","R1","N",11
2011,"BCW","HSC","AA","Y",314
2011,"BCW","HSC","AA","N",126
2011,"BCW","HSC","RA","Y",82
2011,"BCW","HSC","RA","N",24
2011,"BCW","ODE","A1","Y",10
2011,"BCW","ODE","A1","N",6
2011,"BCW","ODE","R1","Y",4
2011,"BCW","ODE","AA","Y",85
2011,"BCW","ODE","AA","N",14
2011,"BCW","ODE","RA","Y",10
2011,"BCW","ODE","RA","N",2
2011,"BCW","PYE","A1","Y",2
