"Program","Year","Confirmed","Choice","Count"
"AGR","07-08","N",1,176
"AGR","07-08","N",2,97
"AGR","07-08","N",3,54
"AGR","07-08","N",4,49
"AGR","08-09","N",1,186
"AGR","08-09","N",2,104
"AGR","08-09","N",3,78
"AGR","08-09","N",4,80
"AGR","09-10","N",1,195
"AGR","09-10","N",2,93
"AGR","09-10","N",3,75
"AGR","09-10","N",4,65
"AGR","10-11","N",1,188
"AGR","10-11","N",2,119
"AGR","10-11","N",3,82
"AGR","10-11","N",4,71
"AGR","11-12","N",1,219
"AGR","11-12","N",2,93
"AGR","11-12","N",3,72
"AGR","11-12","N",4,63
"AGR","12-13","N",1,229
"AGR","12-13","N",2,124
"AGR","12-13","N",3,100
"AGR","12-13","N",4,87
"AGR","13-14","N",1,231
"AGR","13-14","N",2,138
"AGR","13-14","N",3,107
"AGR","13-14","N",4,102
"AGR","14-15","N",1,254
"AGR","14-15","N",2,153
"AGR","14-15","N",3,120
"AGR","14-15","N",4,107
"AGR","15-16","N",1,262
"AGR","15-16","N",2,175
"AGR","15-16","N",3,140
"AGR","15-16","N",4,128
"AGR","16-17","N",1,260
"AGR","16-17","N",2,183
"AGR","16-17","N",3,174
"AGR","16-17","N",4,127
"ARC","07-08","N",1,1340
"ARC","07-08","N",2,905
"ARC","07-08","N",3,618
"ARC","07-08","N",4,474
"ARC","08-09","N",1,1412
"ARC","08-09","N",2,969
"ARC","08-09","N",3,664
"ARC","08-09","N",4,582
"ARC","09-10","N",1,1458
"ARC","09-10","N",2,1006
"ARC","09-10","N",3,679
"ARC","09-10","N",4,589
"ARC","10-11","N",1,1447
"ARC","10-11","N",2,944
"ARC","10-11","N",3,656
"ARC","10-11","N",4,542
"ARC","11-12","N",1,1418
"ARC","11-12","N",2,963
"ARC","11-12","N",3,655
"ARC","11-12","N",4,594
"ARC","12-13","N",1,1398
"ARC","12-13","N",2,952
"ARC","12-13","N",3,681
"ARC","12-13","N",4,643
"ARC","13-14","N",1,1425
"ARC","13-14","N",2,1007
"ARC","13-14","N",3,772
"ARC","13-14","N",4,751
"ARC","14-15","N",1,1373
"ARC","14-15","N",2,966
"ARC","14-15","N",3,740
"ARC","14-15","N",4,870
"ARC","15-16","N",1,1312
"ARC","15-16","N",2,967
"ARC","15-16","N",3,707
"ARC","15-16","N",4,870
"ARC","16-17","N",1,1303
"ARC","16-17","N",2,961
"ARC","16-17","N",3,716
"ARC","16-17","N",4,864
"ART","07-08","N",1,43669
"ART","07-08","N",2,41016
"ART","07-08","N",3,38042
"ART","07-08","N",4,46452
"ART","08-09","N",1,45163
"ART","08-09","N",2,42537
"ART","08-09","N",3,39564
"ART","08-09","N",4,48226
"ART","09-10","N",1,46502
"ART","09-10","N",2,44027
"ART","09-10","N",3,40464
"ART","09-10","N",4,47307
"ART","10-11","N",1,47039
"ART","10-11","N",2,44538
"ART","10-11","N",3,41256
"ART","10-11","N",4,46466
"ART","11-12","N",1,46780
"ART","11-12","N",2,44725
"ART","11-12","N",3,41621
"ART","11-12","N",4,45713
"ART","12-13","N",1,46386
"ART","12-13","N",2,44408
"ART","12-13","N",3,41656
"ART","12-13","N",4,46327
"ART","13-14","N",1,44167
"ART","13-14","N",2,43121
"ART","13-14","N",3,40625
"ART","13-14","N",4,47047
"ART","14-15","N",1,41911
"ART","14-15","N",2,40484
"ART","14-15","N",3,37405
"ART","14-15","N",4,46418
"ART","15-16","N",1,39307
"ART","15-16","N",2,38240
"ART","15-16","N",3,35394
"ART","15-16","N",4,43241
"ART","16-17","N",1,39764
"ART","16-17","N",2,38375
"ART","16-17","N",3,35775
"ART","16-17","N",4,45298
"BAD","07-08","N",1,21415
"BAD","07-08","N",2,19032
"BAD","07-08","N",3,17302
"BAD","07-08","N",4,29833
"BAD","08-09","N",1,22917
"BAD","08-09","N",2,19923
"BAD","08-09","N",3,17934
"BAD","08-09","N",4,31082
"BAD","09-10","N",1,21318
"BAD","09-10","N",2,18086
"BAD","09-10","N",3,16229
"BAD","09-10","N",4,27028
"BAD","10-11","N",1,21189
"BAD","10-11","N",2,17921
"BAD","10-11","N",3,15863
"BAD","10-11","N",4,26618
"BAD","11-12","N",1,21622
"BAD","11-12","N",2,18340
"BAD","11-12","N",3,16120
"BAD","11-12","N",4,27094
"BAD","12-13","N",1,22532
"BAD","12-13","N",2,19305
"BAD","12-13","N",3,17052
"BAD","12-13","N",4,29094
"BAD","13-14","N",1,23727
"BAD","13-14","N",2,20618
"BAD","13-14","N",3,18154
"BAD","13-14","N",4,32934
"BAD","14-15","N",1,23298
"BAD","14-15","N",2,20489
"BAD","14-15","N",3,18171
"BAD","14-15","N",4,34187
"BAD","15-16","N",1,23710
"BAD","15-16","N",2,20686
"BAD","15-16","N",3,18639
"BAD","15-16","N",4,36226
"BAD","16-17","N",1,23818
"BAD","16-17","N",2,21202
"BAD","16-17","N",3,18981
"BAD","16-17","N",4,37324
"DPR","07-08","N",1,188
"DPR","07-08","N",2,61
"DPR","07-08","N",3,39
"DPR","07-08","N",4,36
"DPR","08-09","N",1,148
"DPR","08-09","N",2,60
"DPR","08-09","N",3,37
"DPR","08-09","N",4,27
"DPR","09-10","N",1,175
"DPR","09-10","N",2,53
"DPR","09-10","N",3,32
"DPR","09-10","N",4,28
"DPR","10-11","N",1,182
"DPR","10-11","N",2,24
"DPR","10-11","N",3,28
"DPR","10-11","N",4,20
"DPR","11-12","N",1,156
"DPR","11-12","N",2,38
"DPR","11-12","N",3,20
"DPR","11-12","N",4,14
"DPR","12-13","N",1,161
"DPR","12-13","N",2,39
"DPR","12-13","N",3,20
"DPR","12-13","N",4,11
"DPR","13-14","N",1,188
"DPR","13-14","N",2,39
"DPR","13-14","N",3,27
"DPR","13-14","N",4,14
"DPR","14-15","N",1,144
"DPR","14-15","N",2,31
"DPR","14-15","N",3,23
"DPR","14-15","N",4,12
"DPR","15-16","N",1,139
"DPR","15-16","N",2,41
"DPR","15-16","N",3,22
"DPR","15-16","N",4,14
"DPR","16-17","N",1,114
"DPR","16-17","N",2,40
"DPR","16-17","N",3,21
"DPR","16-17","N",4,16
"EDU","07-08","N",1,3091
"EDU","07-08","N",2,2538
"EDU","07-08","N",3,2256
"EDU","07-08","N",4,2657
"EDU","08-09","N",1,2499
"EDU","08-09","N",2,2066
"EDU","08-09","N",3,1757
"EDU","08-09","N",4,2219
"EDU","09-10","N",1,2535
"EDU","09-10","N",2,2030
"EDU","09-10","N",3,1741
"EDU","09-10","N",4,2091
"EDU","10-11","N",1,2731
"EDU","10-11","N",2,2232
"EDU","10-11","N",3,1993
"EDU","10-11","N",4,2220
"EDU","11-12","N",1,2886
"EDU","11-12","N",2,2279
"EDU","11-12","N",3,2020
"EDU","11-12","N",4,2223
"EDU","12-13","N",1,2670
"EDU","12-13","N",2,2192
"EDU","12-13","N",3,1903
"EDU","12-13","N",4,2178
"EDU","13-14","N",1,2511
"EDU","13-14","N",2,2006
"EDU","13-14","N",3,1717
"EDU","13-14","N",4,1900
"EDU","14-15","N",1,2057
"EDU","14-15","N",2,1578
"EDU","14-15","N",3,1445
"EDU","14-15","N",4,1760
"EDU","15-16","N",1,1727
"EDU","15-16","N",2,1412
"EDU","15-16","N",3,1219
"EDU","15-16","N",4,1505
"EDU","16-17","N",1,1730
"EDU","16-17","N",2,1393
"EDU","16-17","N",3,1235
"EDU","16-17","N",4,1499
"ENG","07-08","N",1,11926
"ENG","07-08","N",2,9740
"ENG","07-08","N",3,8230
"ENG","07-08","N",4,11278
"ENG","08-09","N",1,12870
"ENG","08-09","N",2,10604
"ENG","08-09","N",3,8961
"ENG","08-09","N",4,12396
"ENG","09-10","N",1,13590
"ENG","09-10","N",2,11076
"ENG","09-10","N",3,9434
"ENG","09-10","N",4,12617
"ENG","10-11","N",1,13966
"ENG","10-11","N",2,11131
"ENG","10-11","N",3,9434
"ENG","10-11","N",4,12713
"ENG","11-12","N",1,15050
"ENG","11-12","N",2,12361
"ENG","11-12","N",3,10305
"ENG","11-12","N",4,13600
"ENG","12-13","N",1,16260
"ENG","12-13","N",2,13034
"ENG","12-13","N",3,11129
"ENG","12-13","N",4,15073
"ENG","13-14","N",1,17397
"ENG","13-14","N",2,14122
"ENG","13-14","N",3,11987
"ENG","13-14","N",4,17715
"ENG","14-15","N",1,19822
"ENG","14-15","N",2,15983
"ENG","14-15","N",3,13512
"ENG","14-15","N",4,22118
"ENG","15-16","N",1,20172
"ENG","15-16","N",2,16241
"ENG","15-16","N",3,13794
"ENG","15-16","N",4,24025
"ENG","16-17","N",1,21090
"ENG","16-17","N",2,17119
"ENG","16-17","N",3,14436
"ENG","16-17","N",4,26275
"EST","07-08","N",1,1204
"EST","07-08","N",2,986
"EST","07-08","N",3,832
"EST","07-08","N",4,1080
"EST","08-09","N",1,1510
"EST","08-09","N",2,1266
"EST","08-09","N",3,958
"EST","08-09","N",4,1312
"EST","09-10","N",1,1483
"EST","09-10","N",2,1286
"EST","09-10","N",3,1111
"EST","09-10","N",4,1348
"EST","10-11","N",1,1491
"EST","10-11","N",2,1319
"EST","10-11","N",3,1012
"EST","10-11","N",4,1285
"EST","11-12","N",1,1533
"EST","11-12","N",2,1275
"EST","11-12","N",3,1075
"EST","11-12","N",4,1385
"EST","12-13","N",1,1404
"EST","12-13","N",2,1194
"EST","12-13","N",3,933
"EST","12-13","N",4,1267
"EST","13-14","N",1,1289
"EST","13-14","N",2,1088
"EST","13-14","N",3,887
"EST","13-14","N",4,1210
"EST","14-15","N",1,1333
"EST","14-15","N",2,1131
"EST","14-15","N",3,912
"EST","14-15","N",4,1250
"EST","15-16","N",1,1001
"EST","15-16","N",2,792
"EST","15-16","N",3,708
"EST","15-16","N",4,1097
"EST","16-17","N",1,1017
"EST","16-17","N",2,911
"EST","16-17","N",3,855
"EST","16-17","N",4,1282
"FCS","07-08","N",1,1630
"FCS","07-08","N",2,1114
"FCS","07-08","N",3,916
"FCS","07-08","N",4,1036
"FCS","08-09","N",1,1904
"FCS","08-09","N",2,1240
"FCS","08-09","N",3,1034
"FCS","08-09","N",4,1004
"FCS","09-10","N",1,1897
"FCS","09-10","N",2,1311
"FCS","09-10","N",3,1071
"FCS","09-10","N",4,1115
"FCS","10-11","N",1,1985
"FCS","10-11","N",2,1370
"FCS","10-11","N",3,1129
"FCS","10-11","N",4,1179
"FCS","11-12","N",1,1921
"FCS","11-12","N",2,1347
"FCS","11-12","N",3,1164
"FCS","11-12","N",4,1150
"FCS","12-13","N",1,2034
"FCS","12-13","N",2,1496
"FCS","12-13","N",3,1285
"FCS","12-13","N",4,1271
"FCS","13-14","N",1,1993
"FCS","13-14","N",2,1532
"FCS","13-14","N",3,1287
"FCS","13-14","N",4,1304
"FCS","14-15","N",1,1984
"FCS","14-15","N",2,1477
"FCS","14-15","N",3,1182
"FCS","14-15","N",4,1330
"FCS","15-16","N",1,1847
"FCS","15-16","N",2,1459
"FCS","15-16","N",3,1254
"FCS","15-16","N",4,1378
"FCS","16-17","N",1,1799
"FCS","16-17","N",2,1263
"FCS","16-17","N",3,1067
"FCS","16-17","N",4,1252
"FAA","07-08","N",1,6962
"FAA","07-08","N",2,4827
"FAA","07-08","N",3,3691
"FAA","07-08","N",4,3298
"FAA","08-09","N",1,7040
"FAA","08-09","N",2,4833
"FAA","08-09","N",3,3620
"FAA","08-09","N",4,3262
"FAA","09-10","N",1,7154
"FAA","09-10","N",2,4960
"FAA","09-10","N",3,3608
"FAA","09-10","N",4,3243
"FAA","10-11","N",1,7139
"FAA","10-11","N",2,4819
"FAA","10-11","N",3,3573
