"Year","University","Retention"
2014,"BRO",.876
2014,"CAR",.881
2014,"LAK",.814
2014,"LAU",.845
2014,"MCM",.903
2014,"NIP",.845
2014,"OCA",.829
2014,"OTT",.872
2014,"UOI",.803
2014,"QUE",.942
2014,"RYE",.888
2014,"TAC",.917
2014,"TSG",.933
2014,"TMI",.911
2014,"TSC",.883
2014,"TRE",.845
2014,"WAT",.932
2014,"WMC",.933
2014,"WBC",.923
2014,"WHC",.876
2014,"WKC",.86
2014,"WLA",.887
2014,"WIN",.857
2014,"YOR",.87
2013,"BRO",.87
2013,"CAR",.874
2013,"GUE",.912
2013,"LAK",.832
2013,"LAU",.844
2013,"MCM",.899
2013,"NIP",.818
2013,"OCA",.849
2013,"OTT",.873
2013,"UOI",.794
2013,"QUE",.948
2013,"RYE",.885
2013,"TAC",.921
2013,"TSG",.935
2013,"TMI",.908
2013,"TSC",.898
2013,"TRE",.83
2013,"WAT",.923
2013,"WMC",.925
2013,"WBC",.893
2013,"WKC",.86
2013,"WLA",.867
2013,"WIN",.851
2013,"YOR",.848
2012,"BRO",.867
2012,"CAR",.872
2012,"GUE",.92
2012,"LAK",.841
2012,"LAU",.831
2012,"MCM",.903
2012,"NIP",.793
2012,"OCA",.889
2012,"OTT",.863
2012,"UOI",.792
2012,"QUE",.946
2012,"RYE",.875
2012,"TAC",.92
2012,"TSG",.934
2012,"TMI",.914
2012,"TSC",.891
2012,"TRE",.828
2012,"WAT",.919
2012,"WMC",.932
2012,"WLA",.876
2012,"WIN",.852
2012,"YOR",.857
2011,"BRO",.879
2011,"CAR",.873
2011,"GUE",.921
2011,"LAK",.839
2011,"LAU",.827
2011,"MCM",.887
2011,"NIP",.803
2011,"OCA",.891
2011,"OTT",.864
2011,"UOI",.772
2011,"QUE",.945
2011,"RYE",.858
2011,"TAC",.912
2011,"TSG",.923
2011,"TMI",.91
2011,"TSC",.884
2011,"TRE",.841
2011,"WAT",.908
2011,"WMC",.928
2011,"WBC",.941
2011,"WKC",.97
2011,"WLA",.88
2011,"WIN",.846
2011,"YOR",.856
2010,"BRO",.872
2010,"CAR",.874
2010,"GUE",.917
2010,"LAK",.853
2010,"LAU",.86
2010,"MCM",.868
2010,"NIP",.82
2010,"OCA",.887
2010,"OTT",.86
2010,"UOI",.824
2010,"QUE",.94
2010,"RYE",.857
2010,"TAC",.913
2010,"TSG",.927
2010,"TMI",.912
2010,"TSC",.877
2010,"TRE",.839
2010,"WAT",.904
2010,"WMC",.932
2010,"WBC",.805
2010,"WHC",.851
2010,"WLA",.884
2010,"WIN",.844
2010,"YOR",.856
2009,"BRO",.875
2009,"CAR",.879
2009,"GUE",.916
2009,"LAK",.878
