"Year","University","Type","Count"
2015,"BRO","A",1045
2015,"BRO","R",180
2015,"CAR","A",1945
2015,"CAR","R",237
2015,"LAK","A",690
2015,"LAK","R",184
2015,"LAU","A",1023
2015,"LAU","R",356
2015,"MCM","A",1865
2015,"MCM","R",228
2015,"NIP","A",376
2015,"NIP","R",66
2015,"OCA","A",445
2015,"OCA","R",235
2015,"OTT","A",4325
2015,"OTT","R",637
2015,"OSP","A",197
2015,"OSP","R",94
2015,"UOI","A",1019
2015,"UOI","R",437
2015,"QUE","A",711
2015,"QUE","R",68
2015,"RYE","A",5575
2015,"RYE","R",859
2015,"TAC","A",4014
2015,"TAC","R",788
2015,"TSG","A",2438
2015,"TSG","R",345
2015,"TMI","A",1432
2015,"TMI","R",240
2015,"TSC","A",1058
2015,"TSC","R",203
2015,"TRE","A",816
2015,"TRE","R",156
2015,"WAT","A",1196
2015,"WAT","R",261
2015,"WMC","A",1358
2015,"WMC","R",124
2015,"WBC","A",151
2015,"WBC","R",24
2015,"WHC","A",124
2015,"WHC","R",7
2015,"WKC","A",181
2015,"WKC","R",51
2015,"WLA","A",995
2015,"WLA","R",49
2015,"WIN","A",689
2015,"WIN","R",116
2015,"YOR","A",2767
2015,"YOR","R",260
2014,"BRO","A",1024
2014,"BRO","R",187
2014,"CAR","A",1915
2014,"CAR","R",245
2014,"GUE","A",1369
2014,"GUE","R",156
2014,"LAK","A",721
2014,"LAK","R",205
2014,"LAU","A",1048
2014,"LAU","R",498
2014,"MCM","A",1551
2014,"MCM","R",182
2014,"NIP","A",360
2014,"NIP","R",42
2014,"OCA","A",417
2014,"OCA","R",197
2014,"OTT","A",4555
2014,"OTT","R",647
2014,"OSP","A",152
2014,"OSP","R",49
2014,"UOI","A",1078
2014,"UOI","R",260
2014,"QUE","A",683
2014,"QUE","R",74
2014,"RYE","A",5643
2014,"RYE","R",720
2014,"TAC","A",4044
2014,"TAC","R",723
2014,"TSG","A",2494
2014,"TSG","R",379
2014,"TMI","A",1496
2014,"TMI","R",218
2014,"TSC","A",902
2014,"TSC","R",126
2014,"TRE","A",755
2014,"TRE","R",129
2014,"WAT","A",1291
2014,"WAT","R",155
2014,"WMC","A",1169
2014,"WMC","R",90
2014,"WBC","A",175
2014,"WBC","R",26
2014,"WHC","A",183
2014,"WHC","R",10
2014,"WKC","A",511
2014,"WKC","R",261
2014,"WLA","A",950
2014,"WLA","R",57
2014,"WIN","A",740
2014,"WIN","R",126
2014,"YOR","A",2860
2014,"YOR","R",271
2013,"BRO","A",1021
2013,"BRO","R",183
2013,"CAR","A",1840
2013,"CAR","R",241
2013,"GUE","A",2808
2013,"GUE","R",385
2013,"LAK","A",682
2013,"LAK","R",219
2013,"LAU","A",945
2013,"LAU","R",456
2013,"MCM","A",1465
2013,"MCM","R",152
2013,"NIP","A",368
2013,"NIP","R",64
2013,"OCA","A",430
2013,"OCA","R",192
2013,"OTT","A",3890
2013,"OTT","R",578
2013,"OSP","A",125
2013,"OSP","R",48
2013,"UOI","A",978
2013,"UOI","R",473
2013,"QUE","A",600
2013,"QUE","R",66
2013,"RYE","A",5612
2013,"RYE","R",670
2013,"TAC","A",3982
2013,"TAC","R",689
2013,"TSG","A",2558
2013,"TSG","R",352
2013,"TMI","A",1410
2013,"TMI","R",195
2013,"TSC","A",948
2013,"TSC","R",142
2013,"TRE","A",1008
2013,"TRE","R",175
2013,"WAT","A",1115
2013,"WAT","R",124
2013,"WMC","A",1260
2013,"WMC","R",140
2013,"WBC","A",167
2013,"WBC","R",32
2013,"WHC","A",150
2013,"WHC","R",16
2013,"WKC","A",385
2013,"WKC","R",75
2013,"WLA","A",899
2013,"WLA","R",64
2013,"WIN","A",778
2013,"WIN","R",132
2013,"YOR","A",2698
2013,"YOR","R",226
2012,"BRO","A",1152
2012,"BRO","R",239
2012,"CAR","A",1936
2012,"CAR","R",266
2012,"GUE","A",2413
2012,"GUE","R",425
2012,"LAK","A",679
2012,"LAK","R",229
2012,"LAU","A",875
2012,"LAU","R",464
2012,"MCM","A",1559
2012,"MCM","R",205
2012,"NIP","A",366
2012,"NIP","R",73
2012,"OCA","A",463
2012,"OCA","R",245
2012,"OTT","A",4018
