"School","Year","Level","Metric","Value","Headcount"
"ALG","12-13","U","Age","18-19",307
"ALG","13-14","U","Age","18-19",269
"ALG","14-15","U","Age","18-19",264
"ALG","15-16","U","Age","18-19",262
"ALG","12-13","U","Age","20-24",558
"ALG","13-14","U","Age","20-24",670
"ALG","14-15","U","Age","20-24",634
"ALG","15-16","U","Age","20-24",569
"ALG","12-13","U","Age","25-29",153
"ALG","13-14","U","Age","25-29",177
"ALG","14-15","U","Age","25-29",197
"ALG","15-16","U","Age","25-29",166
"ALG","12-13","U","Age","30-34",32
"ALG","13-14","U","Age","30-34",48
"ALG","14-15","U","Age","30-34",43
"ALG","15-16","U","Age","30-34",43
"ALG","12-13","U","Age","35-39",24
"ALG","13-14","U","Age","35-39",17
"ALG","14-15","U","Age","35-39",20
"ALG","15-16","U","Age","35-39",19
"ALG","12-13","U","Age","40-44",14
"ALG","13-14","U","Age","40-44",16
"ALG","14-15","U","Age","40-44",12
"ALG","12-13","U","Age","45-49",11
"ALG","13-14","U","Age","45-49",13
"BRO","12-13","U","Age","0-17",39
"BRO","13-14","U","Age","0-17",30
"BRO","14-15","U","Age","0-17",34
"BRO","15-16","U","Age","0-17",30
"BRO","12-13","U","Age","18-19",5267
"BRO","13-14","U","Age","18-19",5325
"BRO","14-15","U","Age","18-19",5328
"BRO","15-16","U","Age","18-19",5370
"BRO","12-13","G","Age","20-24",565
"BRO","12-13","U","Age","20-24",8347
"BRO","13-14","G","Age","20-24",623
"BRO","13-14","U","Age","20-24",8475
"BRO","14-15","G","Age","20-24",605
"BRO","14-15","U","Age","20-24",8578
"BRO","15-16","G","Age","20-24",603
"BRO","15-16","U","Age","20-24",8423
"BRO","12-13","G","Age","25-29",408
"BRO","12-13","U","Age","25-29",685
"BRO","13-14","G","Age","25-29",457
"BRO","13-14","U","Age","25-29",685
"BRO","14-15","G","Age","25-29",447
"BRO","14-15","U","Age","25-29",652
"BRO","15-16","G","Age","25-29",441
"BRO","15-16","U","Age","25-29",563
"BRO","12-13","G","Age","30-34",105
"BRO","12-13","U","Age","30-34",147
"BRO","13-14","G","Age","30-34",107
"BRO","13-14","U","Age","30-34",165
"BRO","14-15","G","Age","30-34",113
"BRO","14-15","U","Age","30-34",146
"BRO","15-16","G","Age","30-34",101
"BRO","15-16","U","Age","30-34",131
"BRO","12-13","G","Age","35-39",40
"BRO","12-13","U","Age","35-39",83
"BRO","13-14","G","Age","35-39",45
"BRO","13-14","U","Age","35-39",72
"BRO","14-15","G","Age","35-39",40
"BRO","14-15","U","Age","35-39",71
"BRO","15-16","G","Age","35-39",42
"BRO","15-16","U","Age","35-39",56
"BRO","12-13","G","Age","40-44",26
"BRO","12-13","U","Age","40-44",48
"BRO","13-14","G","Age","40-44",26
"BRO","13-14","U","Age","40-44",54
"BRO","14-15","G","Age","40-44",20
"BRO","14-15","U","Age","40-44",48
"BRO","15-16","G","Age","40-44",26
"BRO","15-16","U","Age","40-44",35
"BRO","12-13","G","Age","45-49",13
"BRO","12-13","U","Age","45-49",35
"BRO","13-14","G","Age","45-49",16
"BRO","13-14","U","Age","45-49",25
"BRO","14-15","G","Age","45-49",14
"BRO","14-15","U","Age","45-49",27
"BRO","15-16","G","Age","45-49",21
"BRO","15-16","U","Age","45-49",20
"BRO","12-13","G","Age","50-54",12
"BRO","12-13","U","Age","50-54",15
"BRO","13-14","U","Age","50-54",15
"BRO","14-15","U","Age","50-54",15
"BRO","15-16","G","Age","50-54",16
"BRO","15-16","U","Age","50-54",13
"CAR","12-13","U","Age","0-17",107
"CAR","13-14","U","Age","0-17",154
"CAR","14-15","U","Age","0-17",128
"CAR","15-16","U","Age","0-17",137
"CAR","12-13","U","Age","18-19",7328
"CAR","13-14","U","Age","18-19",7691
"CAR","14-15","U","Age","18-19",8020
"CAR","15-16","U","Age","18-19",8168
"CAR","12-13","G","Age","20-24",869
"CAR","12-13","U","Age","20-24",10472
"CAR","13-14","G","Age","20-24",953
"CAR","13-14","U","Age","20-24",10604
"CAR","14-15","G","Age","20-24",1046
"CAR","14-15","U","Age","20-24",10769
"CAR","15-16","G","Age","20-24",1124
"CAR","15-16","U","Age","20-24",10878
"CAR","12-13","G","Age","25-29",1176
"CAR","12-13","U","Age","25-29",1038
